case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",388,388,9.9787521176040173,11.695096269249916,8.0255027860403061,12.738803401589394
0,"length10_b","completed_with_warnings","cpu_frame_ms",388,388,10.05595,11.8129,8.1238,12.536
0,"length10_b","completed_with_warnings","gpu_frame_ms",388,388,9.9450879999999984,11.661568,9.5424,12.6464
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",388,388,1.9322499999999998,2.2836,1.7244,2.9719
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",388,388,18307,18711,15843,113620
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",388,388,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",388,388,0.96396799999999994,1.332992,0.9369599999999999,1.8306559999999998
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",388,388,0.53145599999999993,0.54579199999999994,0.523776,0.6656
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",388,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",388,388,0.132096,0.134912,0.131328,0.79743999999999993
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",388,388,0.205312,0.406016,0.19123199999999999,0.732672
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",388,388,0,0.000256,0,0.0051199999999999996
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",388,388,0.185088,0.19225599999999998,0.155392,0.55424
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",388,388,0.007424,0.011264,0.003072,0.228352
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",388,388,0.088832,0.09267199999999999,0.065279999999999991,0.38144
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",388,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",388,388,0.004352,0.005632,0.003072,0.219136
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",388,388,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",388,388,2.583808,3.0796799999999998,2.317056,3.737856
