observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
5946,93.134071400226759,139162023415,1,10.182801634073257,10.0904,10.369536,1.8871,18307,0,0.96460799999999991,0.525056,,0.131584,0.205568,0,0.1856,0.003328,0.089343999999999993,,0.0038399999999999997,0,2.561792,5946,385,0,
5947,93.1446591978458,139162124319,1,10.587797500193119,10.57,10.16576,1.8285,18307,0,0.968448,0.5312,,0.132096,0.20915199999999998,0,0.18944,0.007936,0.087296,,0.0038399999999999997,0,2.848512,5947,386,0,
5948,93.1550683956916,139162230019,1,10.409197770059109,10.3645,10.56,1.7807,18307,0,0.96512,0.523264,,0.13183999999999998,0.20812799999999998,0,0.18867199999999998,0.0038399999999999997,0.08806399999999999,,0.004608,0,2.56512,5948,387,0,
5949,93.1653297973356,139162333664,1,10.261401534080505,10.3336,10.403072,2.01,18526,0,0.963328,0.530176,,0.339968,0.21145599999999998,0,0.18534399999999998,0.007168,0.090112,,0.005376,0,2.563072,5949,388,0,
5950,93.175792594954643,139162437000,1,10.462797246873379,10.7753,10.241536,1.9205,18307,0,0.97049599999999991,0.529664,,0.131584,0.20710399999999998,0.000256,0.187392,0.0038399999999999997,0.091904,,0.004096,0,2.83392,5950,389,0,
5951,93.186502494331066,139162544753,1,10.709899477660656,10.0739,10.446848,1.8354,18307,0,0.963584,0.525056,,0.13183999999999998,0.200704,0,0.181248,0.004096,0.088576,,0.0051199999999999996,0,2.564864,5951,390,0,
5952,93.196695897108839,139162645492,1,10.193402878940105,10.2436,10.6944,1.9413,18307,0,0.968704,0.530176,,0.325376,0.20377599999999998,0,0.18303999999999998,0.007424,0.086784,,0.004608,0,2.8433919999999997,5952,391,0,
5953,93.207338598356,139162747928,1,10.642700828611851,10.5008,10.181888,1.7937,18509,0,0.958464,0.531968,,0.13183999999999998,0.20607999999999999,0.000256,0.18636799999999998,0.0076799999999999993,0.08806399999999999,,0.003584,0,2.847744,5953,392,0,
5954,93.217908694727882,139162852936,1,10.570096783339977,10.6689,10.616576,1.8197,18307,0,0.96460799999999991,0.532224,,0.131584,0.204032,0,0.184576,0.006144,0.08832,,0.0038399999999999997,0,2.560768,5954,393,0,
5955,93.228173894557813,139162959625,1,10.265199467539787,10.2195,10.558208,1.8669,18307,0,0.96307199999999993,0.53324799999999994,,0.132096,0.206592,0,0.187136,0.004096,0.087296,,0.0048639999999999994,0,2.574848,5955,394,0,
