case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",372,372,10.495999827980995,12.085799127817154,10.119600221514702,14.223802834749222
0,"length50_a","completed_with_warnings","cpu_frame_ms",372,372,10.5611,12.1685,8.0846,14.1625
0,"length50_a","completed_with_warnings","gpu_frame_ms",372,372,10.473472000000001,12.064768,10.103552,14.211584
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",372,372,1.93055,2.3064,1.718,5.7073
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",372,372,18307,18728,15843,113669
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",372,372,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",372,372,0.9653759999999999,1.3672959999999998,0.93721599999999994,1.8475519999999999
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",372,372,0.531712,0.542464,0.523264,0.653824
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",372,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",372,372,0.132096,0.135936,0.131072,0.50432
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",372,372,0.205312,0.35456,0.19712,0.67584
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",372,372,0,0.000256,0,0.002048
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",372,372,0.185088,0.19072,0.10470399999999999,0.649984
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",372,372,0.007424,0.011007999999999999,0.003072,0.31744
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",372,372,0.088832,0.092928,0.058879999999999995,0.82099199999999994
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",372,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",372,372,0.004608,0.005376,0.003072,0.046591999999999995
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",372,372,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",372,372,2.8255999999999997,3.2453119999999998,2.550016,4.082688
