case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_b","completed_with_warnings","frame_interval_ms",367,367,10.701204650104046,12.09589745849371,9.5583973452448845,14.391397126019001
0,"length50_b","completed_with_warnings","cpu_frame_ms",367,367,10.7752,12.2021,9.4104,14.1199
0,"length50_b","completed_with_warnings","gpu_frame_ms",367,367,10.697216,12.072448,10.10432,14.371328
0,"length50_b","completed_with_warnings","cpu_render_thread_ms",367,367,1.9234,2.2383,1.7398,6.8484
0,"length50_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",367,367,18307,20525,15843,113573
0,"length50_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",367,367,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",367,367,0.966144,1.344256,0.940032,2.199808
0,"length50_b","completed_with_warnings","VSM.Allocate_gpu_ms",367,367,0.531968,0.542208,0.523008,0.659968
0,"length50_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",367,0,,,,
0,"length50_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",367,367,0.132096,0.133888,0.131072,0.55833599999999994
0,"length50_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",367,367,0.205568,0.40627199999999997,0.19327999999999998,0.861184
0,"length50_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",367,367,0,0.000256,0,0.000256
0,"length50_b","completed_with_warnings","VSM.PageCull_gpu_ms",367,367,0.18534399999999998,0.19097599999999998,0.145152,0.72959999999999992
0,"length50_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",367,367,0.0076799999999999993,0.010752,0.003328,0.031744
0,"length50_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",367,367,0.088832,0.092928,0.078336,0.598528
0,"length50_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",367,0,,,,
0,"length50_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",367,367,0.004608,0.005376,0.003072,0.34022399999999997
0,"length50_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",367,367,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.Resolve_gpu_ms",367,367,2.836992,3.31648,2.54464,3.828992
