case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",194,194,10.133698116987944,47.032300382852554,8.2536991685628891,47.825504094362259
0,"length10_a","completed_with_warnings","cpu_frame_ms",194,0,,,,
0,"length10_a","completed_with_warnings","gpu_frame_ms",194,0,,,,
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",194,0,,,,
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",194,194,18307,1566589,15843,2559136
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",194,194,0,0,0,0
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",194,194,0.98969599999999991,1.331968,0.884992,1.5196159999999999
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",194,194,0.53312,0.63232,0.51558399999999993,0.851968
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",194,60,0.121984,0.140544,0.119808,0.143616
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",194,194,0.130048,0.32972799999999997,0.119808,0.46464
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",194,194,0.35775999999999997,0.592128,0.313344,0.684032
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",194,194,0,0.000256,0,0.000256
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",194,194,0.336128,0.495104,0.27033599999999997,0.65664
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",194,194,0.007936,35.97184,0.003328,36.171264
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",194,194,0.090239999999999987,0.388096,0.081408,0.439808
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",194,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",194,194,0.004352,0.011007999999999999,0.002048,0.207616
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",194,194,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",194,194,1.89568,2.804224,1.627136,3.252224
