case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",467,467,8.5458969697356224,9.05539933592081,7.9323975369334221,11.185998097062111
0,"length10_b","completed_with_warnings","cpu_frame_ms",467,467,8.5748,9.3146,7.2776,13.2782
0,"length10_b","completed_with_warnings","gpu_frame_ms",467,467,8.527872,9.030144,7.917312,11.165952
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",467,467,2.0861,2.5437,1.8018,6.3808
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",467,467,18307,21661,15843,102976
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",467,467,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",467,467,0.99225599999999992,1.312768,0.966144,1.540864
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",467,467,0.53248,0.550912,0.523008,0.97151999999999994
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",467,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",467,467,0.130304,0.32383999999999996,0.128768,0.472832
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",467,467,0.358656,0.652032,0.350976,0.83507199999999993
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",467,467,0,0.000256,0,0.000256
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",467,467,0.33792,0.526848,0.305664,0.762112
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",467,467,0.007424,0.011519999999999999,0.003328,0.302848
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",467,467,0.087808,0.093183999999999989,0.068608,0.55296
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",467,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",467,467,0.0038399999999999997,0.0048639999999999994,0.002304,0.29670399999999997
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",467,467,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",467,467,1.885184,2.159872,1.6414719999999998,2.696704
