observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
567,56.545486996882083,142399870372,1,11.371400207281113,10.4964,11.380992,2.4479,18307,0,1.311744,0.552704,,0.128768,0.357632,0,0.33792,0.007936,0.086528,,0.0038399999999999997,0,2.83776,567,355,0,
568,56.556895797902492,142399975336,1,11.408801190555096,11.5808,11.355136,2.3924,24125,0,0.99148799999999992,0.53504,,0.130304,0.355584,0,0.335872,0.007936,0.084992,,0.004096,0,2.563584,568,356,0,
569,56.56844319727891,142400091144,1,11.547399684786797,11.7352,11.403008,2.0026,18307,0,1.21088,0.530944,,0.130816,0.355584,0.000256,0.33510399999999996,0.004096,0.087039999999999992,,0.003328,0,2.939136,569,357,0,
570,56.57917869897959,142400208496,1,10.735501535236835,11.1794,11.530496,2.171,18307,0,0.990208,0.534272,,0.338176,0.370944,0.000256,0.34048,0.0076799999999999993,0.086528,,0.002816,0,2.9486079999999997,570,358,0,
571,56.590383900226755,142400320290,1,11.205201037228107,11.2433,10.717696,2.0828,18526,0,0.99456,0.53657599999999994,,0.130304,0.353024,0,0.3328,0.004096,0.093696,,0.003328,0,2.833408,571,359,0,
572,56.601061096938771,142400432723,1,10.677197016775608,11.4416,11.090432,2.2679,51914,0,0.99071999999999993,0.53324799999999994,,0.130816,0.35737599999999997,0,0.337152,0.007936,0.08448,,0.0038399999999999997,0,3.429632,572,360,0,
573,56.612588399943306,142400547139,1,11.527302674949169,10.6586,10.747392,2.1815,30165,0,0.97228799999999993,0.548096,,0.131072,0.35968,0,0.338432,0.007936,0.088832,,0.003584,0,2.56512,573,361,0,
574,56.624152898242627,142400653725,1,11.564497835934162,12.1451,11.50848,2.3371,18307,0,1.517056,0.549376,,0.129024,0.360448,0,0.33971199999999996,0.003328,0.09548799999999999,,0.0038399999999999997,0,2.8131839999999997,574,362,0,
575,56.634886203231289,142400775176,1,10.733304545283318,10.3833,11.555584,2.3126,18654,0,0.988416,0.53401599999999994,,0.132096,0.361984,0,0.342528,0.003584,0.089343999999999993,,0.0038399999999999997,0,2.845952,575,363,0,
576,56.646529400510204,142400879009,1,11.643197387456894,11.5326,10.719232,2.2696,18307,0,0.993536,0.534528,,0.13055999999999998,0.361728,0,0.341248,0.007936,0.087296,,0.004608,0,2.834432,576,364,0,
577,56.657971102607711,142400994335,1,11.441702023148537,11.5202,11.628032,2.4513,18307,0,1.310208,0.55398399999999992,,0.130304,0.35584,0,0.33433599999999997,0.003584,0.096256,,0.002304,0,2.81216,577,365,0,
578,56.669046102607709,142401109537,1,11.075000278651714,10.9744,11.412992,2.3538,18307,0,0.972032,0.52889599999999992,,0.45055999999999996,0.40294399999999997,0.000256,0.37529599999999996,0.007424,0.091392,,0.003328,0,2.5640959999999997,578,366,0,
579,56.680409899376414,142401219281,1,11.363796889781952,11.5133,11.060736,2.0897,18307,0,1.2101119999999999,0.529408,,0.130816,0.35609599999999997,0,0.33536,0.007168,0.09036799999999999,,0.004096,0,2.9527039999999998,579,367,0,
580,56.6920047973356,142401334414,1,11.594898067414761,11.0354,11.342336,2.1571,18307,0,0.9838079999999999,0.53068799999999994,,0.34355199999999997,0.366592,0,0.342016,0.305408,0.088832,,0.003072,0,2.574592,580,368,0,
581,56.703209297052155,142401444768,1,11.204499751329422,11.17,11.577344,2.4227,18307,0,0.99404799999999993,0.534272,,0.13286399999999998,0.3584,0.000256,0.33792,0.007424,0.083712,,0.003584,0,2.826752,581,369,0,
582,56.714841999716548,142401556468,1,11.632702313363552,11.4882,11.165184,1.9984,18307,0,1.313024,0.551936,,0.12953599999999998,0.355584,0,0.33561599999999997,0.007168,0.087039999999999992,,0.004352,0,2.831104,582,370,0,
583,56.726645500283446,142401671350,1,11.803500354290009,11.2457,11.63392,2.0566,18307,0,0.99481599999999992,0.529408,,0.13286399999999998,0.36224,0,0.34176,0.003328,0.089343999999999993,,0.003328,0,2.836224,583,371,0,
584,56.738048596938775,142401783807,1,11.403096839785576,11.4305,11.79904,2.389,18509,0,1.000704,0.528384,,0.13055999999999998,0.477952,0,0.33766399999999996,0.011007999999999999,0.087551999999999991,,0.004608,0,3.199232,584,372,0,
585,56.749106597222223,142401898112,1,11.057999916374683,11.9695,11.383808,2.2258,18526,0,1.191168,0.53248,,0.12953599999999998,0.360448,0.000256,0.34048,0.007168,0.086272,,0.004352,0,2.94144,585,373,0,
586,56.761131299603171,142402017807,1,12.024702504277229,11.7646,11.038464,2.1653,18307,0,0.988416,0.531968,,0.130304,0.565248,0,0.545536,0.0076799999999999993,0.09267199999999999,,0.003584,0,2.963968,586,374,0,
587,56.77197210175737,142402135453,1,10.840802453458309,10.829,12.005376,1.9594,18307,0,0.99558399999999991,0.531968,,0.13055999999999998,0.356608,0.000256,0.336896,0.008192,0.083968,,0.004608,0,2.8372479999999998,587,375,0,
588,56.783565702947847,142402243743,1,11.593600735068321,11.032,10.823424,2.1019,18307,0.000256,0.992768,0.531712,,0.130304,0.352512,0,0.332544,0.007936,0.085504,,0.002816,0,2.8252159999999997,588,376,0,
589,56.794706597222223,142402354063,1,11.140894144773483,12.316,11.579392,2.066,18307,0,1.3273599999999999,0.55065599999999992,,0.130304,0.35584,0.000256,0.33536,0.004608,0.08524799999999999,,0.002816,0,3.04,589,377,0,
590,56.806113796768706,142402477223,1,11.407199315726757,10.8521,11.112448,2.0969,18359,0,0.99558399999999991,0.5312,,0.130048,0.36070399999999997,0,0.34022399999999997,0.005632,0.08806399999999999,,0.004352,0,2.56384,590,378,0,
591,56.817258900226754,142402585744,1,11.145103722810745,11.4946,11.388416,2.5201,18307,0,1.2369919999999999,0.536064,,0.129024,0.35481599999999996,0,0.334592,0.004608,0.086528,,0.004096,0,2.839552,591,379,0,
592,56.828672696995461,142402700690,1,11.413796804845333,11.8118,11.133952,2.7496,18307,0,0.995328,0.53632,,0.129024,0.351744,0,0.331264,0.004096,0.089855999999999991,,0.004608,0,3.190528,592,380,0,
593,56.840101998299318,142402818808,1,11.429301463067532,10.9999,11.371008,2.1081,18509,0,0.990208,0.53734399999999993,,0.130048,0.35942399999999997,0,0.338688,0.007936,0.08524799999999999,,0.0038399999999999997,0,2.840832,593,381,0,
594,56.851434297052151,142402928807,1,11.332298628985882,10.9327,11.430656,2.2181,18307,0,1.286144,0.53888,,0.130304,0.356352,0,0.335872,0.007424,0.086016,,0.004608,0,3.46752,594,382,0,
595,56.862919997165534,142403038134,1,11.485700495541096,11.3894,11.327488,2.408,18307,0,0.98969599999999991,0.53068799999999994,,0.130304,0.35968,0,0.3392,0.007936,0.089855999999999991,,0.002816,0,2.5725439999999997,595,383,0,
596,56.874681299603175,142403152028,1,11.761302128434181,11.5224,11.461632,2.3651,18307,0,1.199104,0.52864,,0.12928,0.356608,0,0.335872,0.007168,0.088576,,0.003328,0,2.9171199999999997,596,384,0,
597,56.885952898242628,142403267252,1,11.271598748862743,11.1781,11.74144,2.5225,18307,0,0.99225599999999992,0.535552,,0.13055999999999998,0.570112,0.000256,0.549376,0.0076799999999999993,0.0896,,0.003328,0,2.97728,597,385,0,
