case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",355,355,11.361599899828434,12.011599726974964,9.3512963503599167,12.787698768079281
0,"length50_a","completed_with_warnings","cpu_frame_ms",355,355,11.3546,12.4973,8.7187,17.1351
0,"length50_a","completed_with_warnings","gpu_frame_ms",355,355,11.337472,11.954688,9.335296,12.766208
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",355,355,2.2911,2.929,1.8528,8.4256
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",355,355,18307,24125,15843,118739
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",355,355,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",355,355,0.995328,1.3273599999999999,0.968448,1.88544
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",355,355,0.53376,0.551936,0.525312,0.797696
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",355,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",355,355,0.130304,0.33638399999999996,0.128512,0.45772799999999997
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",355,355,0.358656,0.62208,0.349952,0.880896
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",355,355,0,0.000256,0,0.002048
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",355,355,0.33792,0.530432,0.306432,0.76646399999999992
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",355,355,0.007424,0.010239999999999999,0.003328,0.305408
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",355,355,0.08832,0.095232,0.080639999999999989,0.38144
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",355,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",355,355,0.0038399999999999997,0.0048639999999999994,0.002304,0.0051199999999999996
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",355,355,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",355,355,2.902784,3.4042879999999998,2.5525759999999997,3.679744
