case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",388,388,10.303702671080828,10.992495343089104,9.6124010160565376,11.419905349612236
0,"length10_a","completed_with_warnings","cpu_frame_ms",388,0,,,,
0,"length10_a","completed_with_warnings","gpu_frame_ms",388,0,,,,
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",388,0,,,,
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",388,388,18307,24125,15843,106162
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",388,388,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",388,388,0.82841599999999993,1.073664,0.75571199999999994,1.3086719999999998
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",388,388,0.528384,0.539648,0.51814399999999994,0.797952
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",388,0,,,,
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",388,388,0.135424,0.144128,0.12236799999999999,0.449024
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",388,388,0.379264,0.602368,0.365056,0.803072
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",388,388,0,0.000256,0,0.004352
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",388,388,0.357888,0.557568,0.31488,0.738304
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",388,388,0.007424,0.010496,0.003328,0.046848
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",388,388,0.08576,0.092159999999999992,0.078336,0.46566399999999997
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",388,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",388,388,0.004608,0.005632,0.002304,0.006912
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",388,388,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",388,388,2.5909759999999995,2.917888,2.297088,3.495424
