observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2679,61.800937103174604,136586898840,1,10.625503025949001,11.2168,10.634496,2.09,18307,0,1.05216,0.534528,,0.135936,0.377088,0,0.356352,0.007424,0.086528,,0.004352,0,2.602496,2679,379,0,
2680,61.8116121031746,136587011008,1,10.67500002682209,10.5473,10.617088,2.1263,18307,0,0.834048,0.5312,,0.135936,0.37248,0.000256,0.35225599999999996,0.007936,0.091136,,0.004608,0,3.004928,2680,380,0,
2681,61.822386401643989,136587116481,1,10.774298571050167,10.734,10.6688,1.9525,18307,0,1.1832319999999998,0.535552,,0.135936,0.386048,0,0.365056,0.007424,0.091648,,0.004352,0,2.580736,2681,381,0,
2682,61.832750503117914,136587223821,1,10.364101268351078,10.3174,10.754048,2.0753,18307,0,1.208064,0.530176,,0.134912,0.387328,0.000256,0.366848,0.007424,0.090112,,0.003584,0,2.328832,2682,382,0,
2683,61.843556498015872,136587326995,1,10.80599520355463,11.1655,10.348288,2.2106,18307,0,0.82816,0.52992,,0.136192,0.592384,0.000256,0.57164799999999993,0.007168,0.091136,,0.005376,0,2.804992,2683,383,0,
2684,61.854343799603171,136587438650,1,10.787301696836948,10.2726,10.781184,2.0351,18509,0,0.80588799999999994,0.51891199999999993,,0.13516799999999998,0.383744,0,0.36275199999999996,0.0076799999999999993,0.083968,,0.0048639999999999994,0,2.586624,2684,384,0,
2685,61.864695698696146,136587541376,1,10.351899079978466,10.4068,10.776064,1.9045,18307,0,0.826368,0.530176,,0.141312,0.38016,0.000256,0.359168,0.007424,0.086784,,0.004352,0,2.3296,2685,385,0,
2686,61.875605102040815,136587645444,1,10.909403674304485,10.9177,10.331648,2.0045,18307,0,0.83686399999999994,0.52812799999999993,,0.13568,0.37657599999999997,0,0.356608,0.007168,0.083712,,0.005376,0,2.747648,2686,386,0,
2687,61.886621598639451,136587754621,1,11.016496457159519,10.9823,10.891776,1.9953,18307,0,0.819456,0.527872,,0.13696,0.380672,0,0.359936,0.004352,0.084735999999999992,,0.004352,0,2.98752,2687,387,0,
2688,61.897151799886622,136587864444,1,10.5302007868886,10.1389,10.997248,2.0012,18307,0,1.189376,0.538368,,0.1344,0.379648,0,0.358912,0.007424,0.087551999999999991,,0.005632,0,2.8354559999999998,2688,388,0,
2689,61.907971102607711,136587965833,1,10.819302871823311,10.9322,10.516224,2.3162,15843,0,0.82048,0.531712,,0.13644799999999999,0.74649599999999994,0.000256,0.359168,0.00896,0.087551999999999991,,0.0051199999999999996,0,2.333952,2689,389,0,
2690,61.919391099773243,136588075155,1,11.419997550547123,11.6819,10.817536,2.4124,18526,0.000256,1.199872,0.53811199999999992,,0.33433599999999997,0.569856,0,0.36147199999999996,0.0084479999999999989,0.087296,,0.004352,0,2.682112,2690,390,0,
2691,61.929905300453512,136588191974,1,10.514200665056705,9.8784,11.394304,1.8989,18307,0,0.830208,0.532992,,0.143872,0.38118399999999997,0,0.36070399999999997,0.007424,0.083712,,0.0048639999999999994,0,2.831104,2691,391,0,
2692,61.940617701247163,136588290758,1,10.712401010096073,10.7398,10.477312,2.1422,18307,0,0.832256,0.526336,,0.13414399999999999,0.37657599999999997,0,0.356608,0.007936,0.084992,,0.004608,0,2.3367679999999997,2692,392,0,
2693,61.95093039965986,136588398156,1,10.312698781490326,11.8958,10.7136,1.9841,18509,0,1.042688,0.53376,,0.135424,0.380672,0,0.36019199999999996,0.007424,0.087808,,0.005376,0,2.736128,2693,393,0,
2694,61.96196490221088,136588517114,1,11.034502647817135,10.5085,10.295808,2.2241,18307,0,0.832256,0.530176,,0.13568,0.376832,0.000256,0.35609599999999997,0.004096,0.091392,,0.0051199999999999996,0,3.017728,2694,394,0,
