case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",376,376,10.638948995620012,11.303195729851723,10.016199201345444,15.07200300693512
0,"length10_b","completed_with_warnings","cpu_frame_ms",376,376,10.63125,11.6079,6.0782,22.0776
0,"length10_b","completed_with_warnings","gpu_frame_ms",376,376,10.617472,11.236608,9.833728,12.064256
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",376,376,2.09955,2.6209,1.8799,3.3692
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",376,376,18307,24091,15843,184217
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",376,376,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",376,376,0.82995199999999991,1.199872,0.80076799999999992,1.425664
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",376,376,0.530944,0.546048,0.51891199999999993,0.716544
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",376,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",376,376,0.13568,0.33228799999999997,0.13286399999999998,0.836352
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",376,376,0.38118399999999997,0.69888,0.367104,1.042688
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",376,376,0,0.000256,0,0.002048
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",376,376,0.35968,0.56319999999999992,0.30976,0.750336
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",376,376,0.007424,0.011264,0.003328,0.232704
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",376,376,0.086016,0.09267199999999999,0.073216,0.415232
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",376,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",376,376,0.004608,0.005888,0.002304,0.0097279999999999988
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",376,376,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",376,376,2.622464,3.031552,2.317312,3.270912
