case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",354,354,11.322551406919956,11.794203892350197,10.438094846904278,12.147498317062855
0,"length50_a","completed_with_warnings","cpu_frame_ms",354,354,11.321,12.0051,10.1756,12.3882
0,"length50_a","completed_with_warnings","gpu_frame_ms",354,354,11.303296,11.7632,10.418432,12.140032
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",354,354,2.1028000000000002,2.6009,1.8838,3.6857
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",354,354,18307,24125,18307,106162
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",354,354,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",354,354,0.840704,1.214976,0.813824,1.3859839999999999
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",354,354,0.529792,0.54143999999999992,0.523008,0.74393599999999993
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",354,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",354,354,0.135424,0.34022399999999997,0.133632,0.530944
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",354,354,0.38028799999999996,0.72217599999999993,0.36991999999999997,0.908288
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",354,354,0,0.000256,0,0.002048
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",354,354,0.3584,0.56319999999999992,0.311808,0.753408
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",354,354,0.007424,0.011776,0.003072,0.355072
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",354,354,0.085504,0.09344,0.06912,0.489984
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",354,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",354,354,0.004608,0.005888,0.003328,0.379136
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",354,354,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",354,354,2.965632,3.3233919999999997,2.550272,3.716096
