observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1949,53.690784800170064,136505739632,1,9.5187006518244743,12.0401,12.12544,3.8732,18307,0,0.817152,0.64256,,0.139008,0.3776,0.000256,0.357632,0.013824,0.067071999999999993,,0.023552,0,2.921216,1949,357,0,
1950,53.702144401927434,136505860033,1,11.359602212905884,15.8934,11.776512,3.1481,15843,0,0.822784,0.528384,,0.140032,0.37888,0,0.35814399999999996,0.0076799999999999993,0.083712,,0.005632,0,2.9757439999999997,1950,358,0,
1951,53.714268501984122,136506018967,1,12.124099768698215,13.8236,11.74784,3.2848,18307,0,1.099008,0.665088,,0.136192,0.80255999999999994,0.000256,0.362496,0.010239999999999999,0.088576,,0.005376,0,2.8016639999999997,1951,359,0,
1952,53.726546499433105,136506157203,1,12.277997098863125,9.1874,12.105984,3.0804,18307,0,0.82175999999999993,0.52864,,0.142592,0.379648,0,0.359168,0.007424,0.080127999999999991,,0.0051199999999999996,0,2.792704,1952,360,0,
1953,53.738752501417231,136506249077,1,12.20600213855505,10.9962,12.256768,2.8816,18307,0,0.818176,0.527872,,0.14207999999999998,0.38451199999999996,0.000256,0.363264,0.007424,0.084224,,0.004096,0,2.89792,1953,361,0,
1954,53.751316298185941,136506359039,1,12.56379671394825,12.6476,12.186112,2.8288,18509,0,0.837888,0.52608,,0.40703999999999996,0.384768,0.000256,0.35737599999999997,0.007424,0.083456,,0.004352,0,3.048192,1954,362,0,
1955,53.76337100340136,136506485515,1,12.054705061018467,10.9042,12.558336,2.2462,18307,0,0.83686399999999994,0.536064,,0.140288,0.378368,0,0.357888,0.006656,0.08576,,0.004608,0,3.241984,1955,363,0,
1956,53.77546259920635,136506594557,1,12.091595679521561,12.3809,12.023296,2.2429,18307,0,0.838912,0.524288,,0.14464,0.382976,0,0.362496,0.007424,0.086784,,0.004352,0,2.8119039999999997,1956,364,0,
1957,53.788067198129248,136506718366,1,12.604598887264729,12.0844,12.079872,2.2312,18526,0,1.431552,0.545024,,0.137216,0.375808,0,0.355072,0.007936,0.084992,,0.003584,0,2.923008,1957,365,0,
1958,53.80011380385487,136506839210,1,12.046605348587036,12.6969,12.583424,2.1235,18359,0,0.82585599999999992,0.524288,,0.134656,0.382976,0.000256,0.361984,0.008704,0.087808,,0.0051199999999999996,0,3.820544,1958,366,0,
