observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,531968,1
0,VSM.Allocate,2102784,1
0,VSM.ClearPhysicalPages,267008,1
0,VSM.PageOccupancy,65792,1
0,VSM.FinalizePages,1792,1
0,VSM.DynamicRaster,12544,1
0,VSM.LayoutRemap,2560,1
0,VSM.InvalidateStatic,2816,1
0,VSM.StaticCasterCull,133120,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,114176,1
0,VSM.StaticRasterClear,0,1
0,VSM.StaticRasterDraw,4686080,1
0,VSM.DynamicRasterClear,12544,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,4686336,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,4994560,1
0,VSM.ResolveTrace,4853760,1
0,VSM.FilterHorizontal,67072,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,72704,1
0,VSM.ResetFeedback,2048,1
1,VSM.MarkReceiverPages,900352,1
1,VSM.Allocate,2138624,1
1,VSM.ClearPhysicalPages,267264,1
1,VSM.PageOccupancy,64512,1
1,VSM.FinalizePages,1792,1
1,VSM.DynamicRaster,12800,1
1,VSM.LayoutRemap,2304,1
1,VSM.InvalidateStatic,2560,1
1,VSM.StaticCasterCull,125952,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,106240,1
1,VSM.StaticRasterClear,0,1
1,VSM.StaticRasterDraw,4701184,1
1,VSM.DynamicRasterClear,12800,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,4701184,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,5120000,1
1,VSM.ResolveTrace,4979712,1
1,VSM.FilterHorizontal,67072,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,71680,1
1,VSM.ResetFeedback,2048,1
2,VSM.MarkReceiverPages,537600,1
2,VSM.Allocate,2120960,1
2,VSM.ClearPhysicalPages,266752,1
2,VSM.PageOccupancy,66048,1
2,VSM.FinalizePages,1536,1
2,VSM.DynamicRaster,12288,1
2,VSM.LayoutRemap,2560,1
2,VSM.InvalidateStatic,1792,1
2,VSM.StaticCasterCull,114944,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,95744,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,4947968,1
2,VSM.DynamicRasterClear,12288,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,4948224,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,5019392,1
2,VSM.ResolveTrace,4878848,1
