observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,559360,1
0,VSM.Allocate,2106368,1
0,VSM.ClearPhysicalPages,267520,1
0,VSM.PageOccupancy,57856,1
0,VSM.FinalizePages,1792,1
0,VSM.DynamicRaster,11264,1
0,VSM.LayoutRemap,2304,1
0,VSM.InvalidateStatic,1792,1
0,VSM.StaticCasterCull,132352,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,113408,1
0,VSM.StaticRasterClear,0,1
0,VSM.StaticRasterDraw,4350464,1
0,VSM.DynamicRasterClear,11264,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,4350464,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,4001024,1
0,VSM.ResolveTrace,3868672,1
0,VSM.FilterHorizontal,61440,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,70912,1
0,VSM.ResetFeedback,2048,1
1,VSM.MarkReceiverPages,558080,1
1,VSM.Allocate,2121472,1
1,VSM.ClearPhysicalPages,268800,1
1,VSM.PageOccupancy,54528,1
1,VSM.FinalizePages,1792,1
1,VSM.DynamicRaster,12544,1
1,VSM.LayoutRemap,2048,1
1,VSM.InvalidateStatic,2304,1
1,VSM.StaticCasterCull,137472,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,118016,1
1,VSM.StaticRasterClear,0,1
1,VSM.StaticRasterDraw,4379392,1
1,VSM.DynamicRasterClear,12544,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,4379648,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,4005120,1
1,VSM.ResolveTrace,3872000,1
1,VSM.FilterHorizontal,61440,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,71424,1
1,VSM.ResetFeedback,2048,1
2,VSM.MarkReceiverPages,558336,1
2,VSM.Allocate,2143232,1
2,VSM.ClearPhysicalPages,270080,1
2,VSM.PageOccupancy,56320,1
2,VSM.FinalizePages,2048,1
2,VSM.DynamicRaster,11520,1
2,VSM.LayoutRemap,2304,1
2,VSM.InvalidateStatic,1792,1
2,VSM.StaticCasterCull,132608,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,113920,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,4571392,1
2,VSM.DynamicRasterClear,11520,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,4571392,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,4874496,1
2,VSM.ResolveTrace,4566016,1
2,VSM.FilterHorizontal,65536,1
2,VSM.FilterVertical,0,0
2,VSM.FilterTemporalVertical,72960,1
2,VSM.ResetFeedback,2048,1
3,VSM.MarkReceiverPages,865792,1
3,VSM.Allocate,2127104,1
3,VSM.ClearPhysicalPages,269056,1
3,VSM.PageOccupancy,54528,1
3,VSM.FinalizePages,2048,1
3,VSM.DynamicRaster,10752,1
3,VSM.LayoutRemap,2304,1
3,VSM.InvalidateStatic,2304,1
3,VSM.StaticCasterCull,135424,1
3,VSM.DynamicCasterCull,0,1
3,VSM.PageCull,115968,1
3,VSM.StaticRasterClear,256,1
3,VSM.StaticRasterDraw,4397824,1
3,VSM.DynamicRasterClear,10752,1
3,VSM.DynamicRasterDraw,0,1
3,VSM.StaticRaster,4398080,1
3,VSM.UnityCompatibilityRaster,0,0
3,VSM.Resolve,4057088,1
3,VSM.ResolveTrace,3922944,1
3,VSM.FilterHorizontal,61952,1
3,VSM.FilterVertical,0,0
3,VSM.FilterTemporalVertical,71680,1
3,VSM.ResetFeedback,2048,1
4,VSM.MarkReceiverPages,872448,1
4,VSM.Allocate,2130688,1
4,VSM.ClearPhysicalPages,269568,1
4,VSM.PageOccupancy,55296,1
4,VSM.FinalizePages,2048,1
4,VSM.DynamicRaster,12032,1
4,VSM.LayoutRemap,2048,1
4,VSM.InvalidateStatic,2048,1
4,VSM.StaticCasterCull,130048,1
4,VSM.DynamicCasterCull,0,1
4,VSM.PageCull,111104,1
4,VSM.StaticRasterClear,0,1
4,VSM.StaticRasterDraw,4795648,1
4,VSM.DynamicRasterClear,12032,1
4,VSM.DynamicRasterDraw,0,1
4,VSM.StaticRaster,4795648,1
4,VSM.UnityCompatibilityRaster,0,0
4,VSM.Resolve,4052992,1
4,VSM.ResolveTrace,3919104,1
4,VSM.FilterHorizontal,62208,1
4,VSM.FilterVertical,0,0
4,VSM.FilterTemporalVertical,71424,1
4,VSM.ResetFeedback,2304,1
5,VSM.MarkReceiverPages,882688,1
5,VSM.Allocate,2130176,1
5,VSM.ClearPhysicalPages,270080,1
5,VSM.PageOccupancy,55040,1
5,VSM.FinalizePages,1792,1
5,VSM.DynamicRaster,12800,1
5,VSM.LayoutRemap,2048,1
5,VSM.InvalidateStatic,2048,1
5,VSM.StaticCasterCull,125696,1
5,VSM.DynamicCasterCull,0,1
5,VSM.PageCull,106496,1
5,VSM.StaticRasterClear,0,1
5,VSM.StaticRasterDraw,4342016,1
5,VSM.DynamicRasterClear,12800,1
5,VSM.DynamicRasterDraw,0,1
5,VSM.StaticRaster,4342272,1
5,VSM.UnityCompatibilityRaster,0,0
5,VSM.Resolve,4053248,1
5,VSM.ResolveTrace,3919872,1
5,VSM.FilterHorizontal,61952,1
5,VSM.FilterVertical,0,0
5,VSM.FilterTemporalVertical,71424,1
5,VSM.ResetFeedback,2048,1
6,VSM.MarkReceiverPages,560896,1
6,VSM.Allocate,2114048,1
6,VSM.ClearPhysicalPages,268800,1
6,VSM.PageOccupancy,57600,1
6,VSM.FinalizePages,1792,1
6,VSM.DynamicRaster,13056,1
6,VSM.LayoutRemap,2048,1
6,VSM.InvalidateStatic,1792,1
6,VSM.StaticCasterCull,134656,1
6,VSM.DynamicCasterCull,0,1
6,VSM.PageCull,115968,1
6,VSM.StaticRasterClear,0,1
6,VSM.StaticRasterDraw,4360448,1
6,VSM.DynamicRasterClear,13056,1
6,VSM.DynamicRasterDraw,0,1
6,VSM.StaticRaster,4360448,1
6,VSM.UnityCompatibilityRaster,0,0
6,VSM.Resolve,4041472,1
6,VSM.ResolveTrace,3907584,1
6,VSM.FilterHorizontal,62208,1
6,VSM.FilterVertical,0,0
6,VSM.FilterTemporalVertical,71424,1
6,VSM.ResetFeedback,2048,1
7,VSM.MarkReceiverPages,877568,1
7,VSM.Allocate,2129664,1
7,VSM.ClearPhysicalPages,269568,1
7,VSM.PageOccupancy,55040,1
7,VSM.FinalizePages,1792,1
7,VSM.DynamicRaster,11776,1
7,VSM.LayoutRemap,2048,1
7,VSM.InvalidateStatic,2304,1
7,VSM.StaticCasterCull,128512,1
7,VSM.DynamicCasterCull,0,1
7,VSM.PageCull,109056,1
7,VSM.StaticRasterClear,256,1
7,VSM.StaticRasterDraw,4438016,1
7,VSM.DynamicRasterClear,11776,1
7,VSM.DynamicRasterDraw,0,1
7,VSM.StaticRaster,4438272,1
7,VSM.UnityCompatibilityRaster,0,0
7,VSM.Resolve,4059904,1
