observation,marker,gpu_ns,gpu_sample_count
0,VSM.MarkReceiverPages,726784,1
0,VSM.Allocate,11411456,1
0,VSM.ClearPhysicalPages,475904,1
0,VSM.PageOccupancy,70656,1
0,VSM.FinalizePages,2304,1
0,VSM.DynamicRaster,94208,1
0,VSM.LayoutRemap,2304,1
0,VSM.InvalidateStatic,2048,1
0,VSM.StaticCasterCull,175104,1
0,VSM.DynamicCasterCull,0,1
0,VSM.PageCull,155136,1
0,VSM.StaticRasterClear,256,1
0,VSM.StaticRasterDraw,24988672,1
0,VSM.DynamicRasterClear,94208,1
0,VSM.DynamicRasterDraw,0,1
0,VSM.StaticRaster,24988928,1
0,VSM.UnityCompatibilityRaster,0,0
0,VSM.Resolve,5829888,1
0,VSM.ResolveTrace,5697024,1
0,VSM.FilterHorizontal,61952,1
0,VSM.FilterVertical,0,0
0,VSM.FilterTemporalVertical,70912,1
0,VSM.ResetFeedback,2304,1
1,VSM.MarkReceiverPages,726528,1
1,VSM.Allocate,11293696,1
1,VSM.ClearPhysicalPages,472064,1
1,VSM.PageOccupancy,63744,1
1,VSM.FinalizePages,2304,1
1,VSM.DynamicRaster,89856,1
1,VSM.LayoutRemap,2560,1
1,VSM.InvalidateStatic,2304,1
1,VSM.StaticCasterCull,181760,1
1,VSM.DynamicCasterCull,0,1
1,VSM.PageCull,162304,1
1,VSM.StaticRasterClear,0,1
1,VSM.StaticRasterDraw,25309440,1
1,VSM.DynamicRasterClear,89856,1
1,VSM.DynamicRasterDraw,0,1
1,VSM.StaticRaster,25310208,1
1,VSM.UnityCompatibilityRaster,0,0
1,VSM.Resolve,6668032,1
1,VSM.ResolveTrace,6011904,1
1,VSM.FilterHorizontal,68096,1
1,VSM.FilterVertical,0,0
1,VSM.FilterTemporalVertical,72704,1
1,VSM.ResetFeedback,1792,1
2,VSM.MarkReceiverPages,726784,1
2,VSM.Allocate,11330048,1
2,VSM.ClearPhysicalPages,472320,1
2,VSM.PageOccupancy,61696,1
2,VSM.FinalizePages,2304,1
2,VSM.DynamicRaster,88832,1
2,VSM.LayoutRemap,2304,1
2,VSM.InvalidateStatic,2816,1
2,VSM.StaticCasterCull,184576,1
2,VSM.DynamicCasterCull,0,1
2,VSM.PageCull,165120,1
2,VSM.StaticRasterClear,0,1
2,VSM.StaticRasterDraw,27302656,1
2,VSM.DynamicRasterClear,88832,1
2,VSM.DynamicRasterDraw,0,1
2,VSM.StaticRaster,27302912,1
2,VSM.UnityCompatibilityRaster,0,0
2,VSM.Resolve,7170048,1
2,VSM.ResolveTrace,7030784,1
2,VSM.FilterHorizontal,65792,1
2,VSM.FilterVertical,0,0
2,VSM.FilterTemporalVertical,72448,1
2,VSM.ResetFeedback,2048,1
3,VSM.MarkReceiverPages,724992,1
3,VSM.Allocate,11274752,1
3,VSM.ClearPhysicalPages,473856,1
3,VSM.PageOccupancy,70400,1
3,VSM.FinalizePages,2048,1
3,VSM.DynamicRaster,65280,1
3,VSM.LayoutRemap,2560,1
3,VSM.InvalidateStatic,2816,1
3,VSM.StaticCasterCull,180224,1
3,VSM.DynamicCasterCull,0,1
3,VSM.PageCull,160768,1
3,VSM.StaticRasterClear,256,1
3,VSM.StaticRasterDraw,26283008,1
3,VSM.DynamicRasterClear,65280,1
3,VSM.DynamicRasterDraw,0,1
3,VSM.StaticRaster,26283776,1
3,VSM.UnityCompatibilityRaster,0,0
3,VSM.Resolve,7247872,1
3,VSM.ResolveTrace,6612736,1
3,VSM.FilterHorizontal,64000,1
3,VSM.FilterVertical,0,0
3,VSM.FilterTemporalVertical,569856,1
3,VSM.ResetFeedback,1792,1
4,VSM.MarkReceiverPages,726016,1
4,VSM.Allocate,11301376,1
4,VSM.ClearPhysicalPages,505856,1
4,VSM.PageOccupancy,67328,1
4,VSM.FinalizePages,2048,1
4,VSM.DynamicRaster,98048,1
4,VSM.LayoutRemap,2304,1
4,VSM.InvalidateStatic,2816,1
4,VSM.StaticCasterCull,168704,1
4,VSM.DynamicCasterCull,0,1
4,VSM.PageCull,148736,1
4,VSM.StaticRasterClear,0,1
4,VSM.StaticRasterDraw,25484544,1
4,VSM.DynamicRasterClear,98048,1
4,VSM.DynamicRasterDraw,0,1
4,VSM.StaticRaster,25484544,1
4,VSM.UnityCompatibilityRaster,0,0
4,VSM.Resolve,7087360,1
4,VSM.ResolveTrace,6948608,1
4,VSM.FilterHorizontal,65280,1
4,VSM.FilterVertical,0,0
4,VSM.FilterTemporalVertical,72192,1
4,VSM.ResetFeedback,1792,1
5,VSM.MarkReceiverPages,1032960,1
5,VSM.Allocate,11262208,1
5,VSM.ClearPhysicalPages,471296,1
5,VSM.PageOccupancy,70400,1
5,VSM.FinalizePages,2048,1
5,VSM.DynamicRaster,60672,1
5,VSM.LayoutRemap,2304,1
5,VSM.InvalidateStatic,2304,1
5,VSM.StaticCasterCull,175872,1
5,VSM.DynamicCasterCull,0,1
5,VSM.PageCull,156672,1
5,VSM.StaticRasterClear,256,1
5,VSM.StaticRasterDraw,24877312,1
5,VSM.DynamicRasterClear,60672,1
5,VSM.DynamicRasterDraw,0,1
5,VSM.StaticRaster,24878336,1
5,VSM.UnityCompatibilityRaster,0,0
5,VSM.Resolve,7017472,1
5,VSM.ResolveTrace,6882304,1
5,VSM.FilterHorizontal,62464,1
5,VSM.FilterVertical,0,0
5,VSM.FilterTemporalVertical,71424,1
5,VSM.ResetFeedback,1792,1
6,VSM.MarkReceiverPages,728832,1
6,VSM.Allocate,11260672,1
6,VSM.ClearPhysicalPages,472576,1
6,VSM.PageOccupancy,62208,1
6,VSM.FinalizePages,2048,1
6,VSM.DynamicRaster,89344,1
6,VSM.LayoutRemap,2560,1
6,VSM.InvalidateStatic,2048,1
6,VSM.StaticCasterCull,182784,1
6,VSM.DynamicCasterCull,0,1
6,VSM.PageCull,163328,1
6,VSM.StaticRasterClear,0,1
6,VSM.StaticRasterDraw,24911616,1
6,VSM.DynamicRasterClear,89344,1
6,VSM.DynamicRasterDraw,0,1
6,VSM.StaticRaster,24911872,1
6,VSM.UnityCompatibilityRaster,0,0
6,VSM.Resolve,7156480,1
6,VSM.ResolveTrace,7020032,1
6,VSM.FilterHorizontal,63488,1
6,VSM.FilterVertical,0,0
6,VSM.FilterTemporalVertical,71936,1
6,VSM.ResetFeedback,2048,1
7,VSM.MarkReceiverPages,725248,1
7,VSM.Allocate,11340800,1
7,VSM.ClearPhysicalPages,476416,1
7,VSM.PageOccupancy,59392,1
7,VSM.FinalizePages,2048,1
7,VSM.DynamicRaster,62720,1
7,VSM.LayoutRemap,2304,1
7,VSM.InvalidateStatic,2048,1
7,VSM.StaticCasterCull,178688,1
7,VSM.DynamicCasterCull,0,1
7,VSM.PageCull,158720,1
7,VSM.StaticRasterClear,256,1
7,VSM.StaticRasterDraw,25120512,1
7,VSM.DynamicRasterClear,62720,1
7,VSM.DynamicRasterDraw,0,1
7,VSM.StaticRaster,25120768,1
7,VSM.UnityCompatibilityRaster,0,0
7,VSM.Resolve,7000576,1
7,VSM.ResolveTrace,6865408,1
7,VSM.FilterHorizontal,62464,1
7,VSM.FilterVertical,0,0
7,VSM.FilterTemporalVertical,71680,1
7,VSM.ResetFeedback,2048,1
8,VSM.MarkReceiverPages,1121536,1
8,VSM.Allocate,11274240,1
8,VSM.ClearPhysicalPages,472576,1
8,VSM.PageOccupancy,101888,1
8,VSM.FinalizePages,2304,1
8,VSM.DynamicRaster,63744,1
8,VSM.LayoutRemap,2304,1
8,VSM.InvalidateStatic,2816,1
8,VSM.StaticCasterCull,180224,1
8,VSM.DynamicCasterCull,0,1
8,VSM.PageCull,161024,1
8,VSM.StaticRasterClear,0,1
8,VSM.StaticRasterDraw,24770304,1
8,VSM.DynamicRasterClear,63744,1
8,VSM.DynamicRasterDraw,0,1
8,VSM.StaticRaster,24770560,1
8,VSM.UnityCompatibilityRaster,0,0
8,VSM.Resolve,5809152,1
8,VSM.ResolveTrace,5678080,1
8,VSM.FilterHorizontal,61696,1
8,VSM.FilterVertical,0,0
8,VSM.FilterTemporalVertical,69376,1
8,VSM.ResetFeedback,1792,1
9,VSM.MarkReceiverPages,728320,1
9,VSM.Allocate,11296768,1
9,VSM.ClearPhysicalPages,471296,1
9,VSM.PageOccupancy,68096,1
9,VSM.FinalizePages,2304,1
9,VSM.DynamicRaster,49152,1
9,VSM.LayoutRemap,2304,1
9,VSM.InvalidateStatic,1792,1
9,VSM.StaticCasterCull,175360,1
9,VSM.DynamicCasterCull,0,1
9,VSM.PageCull,155648,1
9,VSM.StaticRasterClear,256,1
9,VSM.StaticRasterDraw,24481792,1
9,VSM.DynamicRasterClear,49152,1
9,VSM.DynamicRasterDraw,0,1
9,VSM.StaticRaster,24482048,1
9,VSM.UnityCompatibilityRaster,0,0
9,VSM.Resolve,5815296,1
9,VSM.ResolveTrace,5681920,1
9,VSM.FilterHorizontal,61696,1
9,VSM.FilterVertical,0,0
9,VSM.FilterTemporalVertical,71168,1
9,VSM.ResetFeedback,1792,1
10,VSM.MarkReceiverPages,726784,1
10,VSM.Allocate,11301632,1
10,VSM.ClearPhysicalPages,475648,1
10,VSM.PageOccupancy,62208,1
10,VSM.FinalizePages,2560,1
10,VSM.DynamicRaster,89856,1
10,VSM.LayoutRemap,2048,1
10,VSM.InvalidateStatic,2304,1
10,VSM.StaticCasterCull,187648,1
10,VSM.DynamicCasterCull,256,1
10,VSM.PageCull,168192,1
10,VSM.StaticRasterClear,0,1
10,VSM.StaticRasterDraw,24588544,1
10,VSM.DynamicRasterClear,89856,1
10,VSM.DynamicRasterDraw,0,1
10,VSM.StaticRaster,24588800,1
10,VSM.UnityCompatibilityRaster,0,0
10,VSM.Resolve,5825792,1
10,VSM.ResolveTrace,5693440,1
10,VSM.FilterHorizontal,61952,1
10,VSM.FilterVertical,0,0
10,VSM.FilterTemporalVertical,70400,1
10,VSM.ResetFeedback,2048,1
11,VSM.MarkReceiverPages,726272,1
11,VSM.Allocate,11230976,1
11,VSM.ClearPhysicalPages,471296,1
11,VSM.PageOccupancy,107520,1
11,VSM.FinalizePages,2048,1
11,VSM.DynamicRaster,67328,1
11,VSM.LayoutRemap,2560,1
11,VSM.InvalidateStatic,3072,1
11,VSM.StaticCasterCull,178688,1
11,VSM.DynamicCasterCull,0,1
11,VSM.PageCull,158720,1
11,VSM.StaticRasterClear,256,1
11,VSM.StaticRasterDraw,24404480,1
11,VSM.DynamicRasterClear,67328,1
11,VSM.DynamicRasterDraw,0,1
11,VSM.StaticRaster,24404992,1
11,VSM.UnityCompatibilityRaster,0,0
11,VSM.Resolve,5823488,1
11,VSM.ResolveTrace,5692160,1
11,VSM.FilterHorizontal,61952,1
11,VSM.FilterVertical,0,0
11,VSM.FilterTemporalVertical,68864,1
11,VSM.ResetFeedback,1792,1
12,VSM.MarkReceiverPages,723968,1
12,VSM.Allocate,11319040,1
12,VSM.ClearPhysicalPages,475648,1
12,VSM.PageOccupancy,62208,1
12,VSM.FinalizePages,2048,1
12,VSM.DynamicRaster,84224,1
12,VSM.LayoutRemap,2304,1
12,VSM.InvalidateStatic,2560,1
12,VSM.StaticCasterCull,176896,1
