observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,13854,VSM.MarkReceiverPages,740352,1
0,13854,VSM.Allocate,570880,1
0,13854,VSM.ClearPhysicalPages,261632,1
0,13854,VSM.PageOccupancy,68096,1
0,13854,VSM.FinalizePages,2048,1
0,13854,VSM.DynamicRaster,89344,1
0,13854,VSM.LayoutRemap,0,1
0,13854,VSM.InvalidateStatic,0,0
0,13854,VSM.StaticCasterCull,206080,1
0,13854,VSM.DynamicCasterCull,0,1
0,13854,VSM.PageCull,187392,1
0,13854,VSM.StaticRaster,7168,1
0,13854,VSM.UnityCompatibilityRaster,0,0
0,13854,VSM.Resolve,17564672,1
0,13854,VSM.ResolveTrace,17340672,1
0,13854,VSM.FilterHorizontal,66304,1
0,13854,VSM.FilterVertical,0,0
0,13854,VSM.FilterTemporalVertical,156672,1
0,13854,VSM.ResetFeedback,0,1
1,13855,VSM.MarkReceiverPages,732416,1
1,13855,VSM.Allocate,568320,1
1,13855,VSM.ClearPhysicalPages,261632,1
1,13855,VSM.PageOccupancy,77568,1
1,13855,VSM.FinalizePages,1536,1
1,13855,VSM.DynamicRaster,96512,1
1,13855,VSM.LayoutRemap,0,1
1,13855,VSM.InvalidateStatic,0,0
1,13855,VSM.StaticCasterCull,375040,1
1,13855,VSM.DynamicCasterCull,0,1
1,13855,VSM.PageCull,187136,1
1,13855,VSM.StaticRaster,4608,1
1,13855,VSM.UnityCompatibilityRaster,0,0
1,13855,VSM.Resolve,17010944,1
1,13855,VSM.ResolveTrace,16788224,1
1,13855,VSM.FilterHorizontal,66048,1
1,13855,VSM.FilterVertical,0,0
1,13855,VSM.FilterTemporalVertical,155392,1
1,13855,VSM.ResetFeedback,0,1
2,13856,VSM.MarkReceiverPages,735488,1
2,13856,VSM.Allocate,579584,1
2,13856,VSM.ClearPhysicalPages,261632,1
2,13856,VSM.PageOccupancy,77568,1
2,13856,VSM.FinalizePages,1792,1
2,13856,VSM.DynamicRaster,86272,1
2,13856,VSM.LayoutRemap,0,1
2,13856,VSM.InvalidateStatic,0,0
