observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,7234,VSM.MarkReceiverPages,555264,1
0,7234,VSM.Allocate,269056,1
0,7234,VSM.ClearPhysicalPages,179968,1
0,7234,VSM.PageOccupancy,54272,1
0,7234,VSM.FinalizePages,1536,1
0,7234,VSM.DynamicRaster,86784,1
0,7234,VSM.LayoutRemap,0,1
0,7234,VSM.InvalidateStatic,0,0
0,7234,VSM.StaticCasterCull,130816,1
0,7234,VSM.DynamicCasterCull,0,1
0,7234,VSM.PageCull,112128,1
0,7234,VSM.StaticRaster,7424,1
0,7234,VSM.UnityCompatibilityRaster,0,0
0,7234,VSM.Resolve,7311104,1
0,7234,VSM.ResolveTrace,7084544,1
0,7234,VSM.FilterHorizontal,67584,1
0,7234,VSM.FilterVertical,0,0
0,7234,VSM.FilterTemporalVertical,157696,1
0,7234,VSM.ResetFeedback,0,1
1,7235,VSM.MarkReceiverPages,558336,1
1,7235,VSM.Allocate,268800,1
1,7235,VSM.ClearPhysicalPages,180480,1
1,7235,VSM.PageOccupancy,54016,1
1,7235,VSM.FinalizePages,2304,1
1,7235,VSM.DynamicRaster,85248,1
1,7235,VSM.LayoutRemap,0,1
1,7235,VSM.InvalidateStatic,0,0
1,7235,VSM.StaticCasterCull,131840,1
1,7235,VSM.DynamicCasterCull,0,1
1,7235,VSM.PageCull,113152,1
1,7235,VSM.StaticRaster,7936,1
1,7235,VSM.UnityCompatibilityRaster,0,0
1,7235,VSM.Resolve,6243840,1
1,7235,VSM.ResolveTrace,5831936,1
1,7235,VSM.FilterHorizontal,64000,1
1,7235,VSM.FilterVertical,0,0
1,7235,VSM.FilterTemporalVertical,156416,1
1,7235,VSM.ResetFeedback,0,1
2,7236,VSM.MarkReceiverPages,552192,1
2,7236,VSM.Allocate,267520,1
2,7236,VSM.ClearPhysicalPages,180224,1
2,7236,VSM.PageOccupancy,58368,1
2,7236,VSM.FinalizePages,1792,1
2,7236,VSM.DynamicRaster,84992,1
2,7236,VSM.LayoutRemap,0,1
2,7236,VSM.InvalidateStatic,0,0
2,7236,VSM.StaticCasterCull,135424,1
2,7236,VSM.DynamicCasterCull,0,1
2,7236,VSM.PageCull,116480,1
2,7236,VSM.StaticRaster,7168,1
2,7236,VSM.UnityCompatibilityRaster,0,0
2,7236,VSM.Resolve,5963776,1
2,7236,VSM.ResolveTrace,5743360,1
2,7236,VSM.FilterHorizontal,63744,1
2,7236,VSM.FilterVertical,0,0
2,7236,VSM.FilterTemporalVertical,156416,1
2,7236,VSM.ResetFeedback,0,1
3,7237,VSM.MarkReceiverPages,756736,1
3,7237,VSM.Allocate,272640,1
3,7237,VSM.ClearPhysicalPages,182016,1
3,7237,VSM.PageOccupancy,54528,1
3,7237,VSM.FinalizePages,1536,1
3,7237,VSM.DynamicRaster,92416,1
3,7237,VSM.LayoutRemap,0,1
3,7237,VSM.InvalidateStatic,0,0
3,7237,VSM.StaticCasterCull,143360,1
3,7237,VSM.DynamicCasterCull,0,1
3,7237,VSM.PageCull,123904,1
3,7237,VSM.StaticRaster,8192,1
3,7237,VSM.UnityCompatibilityRaster,0,0
3,7237,VSM.Resolve,6483712,1
3,7237,VSM.ResolveTrace,6259200,1
3,7237,VSM.FilterHorizontal,64512,1
3,7237,VSM.FilterVertical,0,0
3,7237,VSM.FilterTemporalVertical,158720,1
3,7237,VSM.ResetFeedback,0,1
4,7238,VSM.MarkReceiverPages,553984,1
4,7238,VSM.Allocate,273408,1
4,7238,VSM.ClearPhysicalPages,182016,1
4,7238,VSM.PageOccupancy,59136,1
4,7238,VSM.FinalizePages,1536,1
4,7238,VSM.DynamicRaster,81920,1
4,7238,VSM.LayoutRemap,256,1
4,7238,VSM.InvalidateStatic,0,0
4,7238,VSM.StaticCasterCull,131584,1
4,7238,VSM.DynamicCasterCull,0,1
4,7238,VSM.PageCull,113152,1
4,7238,VSM.StaticRaster,3328,1
4,7238,VSM.UnityCompatibilityRaster,0,0
4,7238,VSM.Resolve,6123520,1
4,7238,VSM.ResolveTrace,5902848,1
4,7238,VSM.FilterHorizontal,64000,1
4,7238,VSM.FilterVertical,0,0
4,7238,VSM.FilterTemporalVertical,156416,1
4,7238,VSM.ResetFeedback,0,1
5,7239,VSM.MarkReceiverPages,552960,1
5,7239,VSM.Allocate,270592,1
5,7239,VSM.ClearPhysicalPages,181248,1
5,7239,VSM.PageOccupancy,54528,1
5,7239,VSM.FinalizePages,1536,1
5,7239,VSM.DynamicRaster,84992,1
5,7239,VSM.LayoutRemap,0,1
5,7239,VSM.InvalidateStatic,0,0
5,7239,VSM.StaticCasterCull,145408,1
5,7239,VSM.DynamicCasterCull,0,1
5,7239,VSM.PageCull,126464,1
5,7239,VSM.StaticRaster,3328,1
5,7239,VSM.UnityCompatibilityRaster,0,0
5,7239,VSM.Resolve,6071808,1
5,7239,VSM.ResolveTrace,5852928,1
5,7239,VSM.FilterHorizontal,63744,1
5,7239,VSM.FilterVertical,0,0
5,7239,VSM.FilterTemporalVertical,155136,1
5,7239,VSM.ResetFeedback,0,1
6,7240,VSM.MarkReceiverPages,553728,1
6,7240,VSM.Allocate,268544,1
6,7240,VSM.ClearPhysicalPages,180480,1
6,7240,VSM.PageOccupancy,54016,1
6,7240,VSM.FinalizePages,2560,1
6,7240,VSM.DynamicRaster,82688,1
6,7240,VSM.LayoutRemap,0,1
6,7240,VSM.InvalidateStatic,0,0
6,7240,VSM.StaticCasterCull,130560,1
6,7240,VSM.DynamicCasterCull,0,1
6,7240,VSM.PageCull,111872,1
6,7240,VSM.StaticRaster,7936,1
6,7240,VSM.UnityCompatibilityRaster,0,0
6,7240,VSM.Resolve,6701824,1
6,7240,VSM.ResolveTrace,6480384,1
6,7240,VSM.FilterHorizontal,64256,1
6,7240,VSM.FilterVertical,0,0
6,7240,VSM.FilterTemporalVertical,155904,1
6,7240,VSM.ResetFeedback,0,1
7,7241,VSM.MarkReceiverPages,555520,1
7,7241,VSM.Allocate,272896,1
7,7241,VSM.ClearPhysicalPages,346624,1
7,7241,VSM.PageOccupancy,90880,1
7,7241,VSM.FinalizePages,1792,1
7,7241,VSM.DynamicRaster,93184,1
7,7241,VSM.LayoutRemap,0,1
7,7241,VSM.InvalidateStatic,0,0
7,7241,VSM.StaticCasterCull,138752,1
7,7241,VSM.DynamicCasterCull,0,1
7,7241,VSM.PageCull,118784,1
7,7241,VSM.StaticRaster,3328,1
7,7241,VSM.UnityCompatibilityRaster,0,0
7,7241,VSM.Resolve,6105344,1
7,7241,VSM.ResolveTrace,5884928,1
7,7241,VSM.FilterHorizontal,63744,1
7,7241,VSM.FilterVertical,0,0
7,7241,VSM.FilterTemporalVertical,156160,1
7,7241,VSM.ResetFeedback,0,1
8,7242,VSM.MarkReceiverPages,552448,1
8,7242,VSM.Allocate,273408,1
8,7242,VSM.ClearPhysicalPages,181760,1
8,7242,VSM.PageOccupancy,54528,1
8,7242,VSM.FinalizePages,2048,1
8,7242,VSM.DynamicRaster,84992,1
8,7242,VSM.LayoutRemap,0,1
8,7242,VSM.InvalidateStatic,0,0
8,7242,VSM.StaticCasterCull,134656,1
8,7242,VSM.DynamicCasterCull,0,1
8,7242,VSM.PageCull,116224,1
8,7242,VSM.StaticRaster,7168,1
8,7242,VSM.UnityCompatibilityRaster,0,0
8,7242,VSM.Resolve,7134464,1
8,7242,VSM.ResolveTrace,6908928,1
8,7242,VSM.FilterHorizontal,64768,1
8,7242,VSM.FilterVertical,0,0
8,7242,VSM.FilterTemporalVertical,159488,1
8,7242,VSM.ResetFeedback,0,1
9,7243,VSM.MarkReceiverPages,553728,1
9,7243,VSM.Allocate,272384,1
9,7243,VSM.ClearPhysicalPages,181504,1
9,7243,VSM.PageOccupancy,54784,1
9,7243,VSM.FinalizePages,1536,1
9,7243,VSM.DynamicRaster,89088,1
9,7243,VSM.LayoutRemap,0,1
9,7243,VSM.InvalidateStatic,0,0
9,7243,VSM.StaticCasterCull,133632,1
9,7243,VSM.DynamicCasterCull,0,1
9,7243,VSM.PageCull,114944,1
9,7243,VSM.StaticRaster,3328,1
9,7243,VSM.UnityCompatibilityRaster,0,0
9,7243,VSM.Resolve,6094080,1
9,7243,VSM.ResolveTrace,5873664,1
9,7243,VSM.FilterHorizontal,64000,1
9,7243,VSM.FilterVertical,0,0
9,7243,VSM.FilterTemporalVertical,156416,1
9,7243,VSM.ResetFeedback,0,1
10,7244,VSM.MarkReceiverPages,555520,1
10,7244,VSM.Allocate,272384,1
10,7244,VSM.ClearPhysicalPages,180992,1
10,7244,VSM.PageOccupancy,54784,1
10,7244,VSM.FinalizePages,1536,1
10,7244,VSM.DynamicRaster,97024,1
10,7244,VSM.LayoutRemap,0,1
10,7244,VSM.InvalidateStatic,0,0
10,7244,VSM.StaticCasterCull,148736,1
10,7244,VSM.DynamicCasterCull,0,1
10,7244,VSM.PageCull,130048,1
10,7244,VSM.StaticRaster,7168,1
10,7244,VSM.UnityCompatibilityRaster,0,0
10,7244,VSM.Resolve,6385152,1
10,7244,VSM.ResolveTrace,6164736,1
10,7244,VSM.FilterHorizontal,63744,1
10,7244,VSM.FilterVertical,0,0
10,7244,VSM.FilterTemporalVertical,155392,1
10,7244,VSM.ResetFeedback,0,1
11,7245,VSM.MarkReceiverPages,551936,1
11,7245,VSM.Allocate,266752,1
11,7245,VSM.ClearPhysicalPages,180224,1
11,7245,VSM.PageOccupancy,114944,1
11,7245,VSM.FinalizePages,1536,1
11,7245,VSM.DynamicRaster,91136,1
11,7245,VSM.LayoutRemap,0,1
11,7245,VSM.InvalidateStatic,0,0
11,7245,VSM.StaticCasterCull,131072,1
11,7245,VSM.DynamicCasterCull,0,1
11,7245,VSM.PageCull,112896,1
11,7245,VSM.StaticRaster,3328,1
11,7245,VSM.UnityCompatibilityRaster,0,0
11,7245,VSM.Resolve,6508800,1
11,7245,VSM.ResolveTrace,6286336,1
11,7245,VSM.FilterHorizontal,64512,1
11,7245,VSM.FilterVertical,0,0
11,7245,VSM.FilterTemporalVertical,156672,1
11,7245,VSM.ResetFeedback,0,1
12,7246,VSM.MarkReceiverPages,550144,1
12,7246,VSM.Allocate,270080,1
12,7246,VSM.ClearPhysicalPages,179968,1
12,7246,VSM.PageOccupancy,54016,1
12,7246,VSM.FinalizePages,1536,1
12,7246,VSM.DynamicRaster,94720,1
12,7246,VSM.LayoutRemap,0,1
12,7246,VSM.InvalidateStatic,0,0
12,7246,VSM.StaticCasterCull,143616,1
12,7246,VSM.DynamicCasterCull,0,1
12,7246,VSM.PageCull,124928,1
