scene,old_false_shadow_percent,old_missed_shadow_percent,old_visibility_mae,continuation_false_shadow_percent,continuation_missed_shadow_percent,continuation_visibility_mae
empty,0.0,0.0,0.0,0.0,0.0,0.0
flat_receiver,0.0,0.0,0.0,0.0,0.0,0.0
slope_receiver,0.0,0.0,0.0,0.0,0.0,0.0
steep_receiver,0.0,0.0,0.0,0.0,0.0,0.0
thin_sheet,0.16326121794871795,0.16526442307692307,0.0032852564102564103,0.01201923076923077,0.0,0.0001201923076923077
solid_block,0.0,0.6810897435897436,0.006810897435897436,0.0,0.6670673076923077,0.006670673076923077
contact,0.0,0.0,0.0,0.0,0.0,0.0
far_sheet,1.6045673076923077,1.6376201923076923,0.032421875,0.045072115384615384,0.0,0.00045072115384615387
thin_rod,0.11818910256410256,0.8864182692307693,0.009885817307692307,0.08413461538461539,1.017628205128205,0.011017628205128206
disconnected,0.5318509615384616,0.40064102564102566,0.009244791666666667,0.8513621794871795,0.31850961538461536,0.01061698717948718
overlap,0.735176282051282,0.8874198717948718,0.01622596153846154,0.9995993589743589,0.9014423076923077,0.019010416666666665
sloped_sheet,0.0,0.0,0.0,0.0,0.0,0.0
gap_trap,0.8042868589743589,0.3766025641025641,0.01100761217948718,1.013621794871795,0.19831730769230768,0.012099358974358975
gap_hidden,0.25440705128205127,1.0066105769230769,0.00992588141025641,0.5598958333333334,0.9244791666666666,0.011678685897435898
