step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,2753249.0,607464.0,0,41,0,0,0.00047463178634643555,0.014193832874298096,0,658,0,0
1,124488,2741687.0,607592.0,0,37,0,0,0.0004875063896179199,0.015565872192382812,0,658,0,0
2,124483,2748606.0,607412.0,0,35,0,0,0.000461578369140625,0.015459418296813965,0,658,0,0
3,124494,2745366.0,607596.0,0,38,0,0,0.0004774332046508789,0.0147172212600708,0,663,0,0
4,124487,2751469.0,607300.0,0,41,0,0,0.000485837459564209,0.01570284366607666,0,660,0,0
5,124475,2743108.0,607360.0,0,41,0,0,0.0004878044128417969,0.01333165168762207,0,655,0,0
6,124493,2750519.0,607452.0,0,36,0,0,0.0004774928092956543,0.0134962797164917,0,659,0,0
7,124484,2748751.0,607564.0,0,32,0,0,0.0004755258560180664,0.014371514320373535,0,654,0,0
8,124499,2749936.0,607464.0,0,41,0,0,0.00048089027404785156,0.017043113708496094,0,658,0,0
9,124488,2747529.0,607592.0,0,37,0,0,0.0004462003707885742,0.013523757457733154,0,658,0,0
10,124483,2745670.0,607412.0,0,35,0,0,0.000459134578704834,0.014010071754455566,0,658,0,0
11,124494,2749353.0,607596.0,0,38,0,0,0.0004774332046508789,0.014440000057220459,0,663,0,0
12,124487,2753283.0,607300.0,0,41,0,0,0.00047773122787475586,0.016245365142822266,0,660,0,0
13,124475,2744971.0,607360.0,0,41,0,0,0.0004878044128417969,0.015034079551696777,0,655,0,0
14,124493,2753538.0,607452.0,0,36,0,0,0.0004774928092956543,0.015452265739440918,0,659,0,0
15,124484,2748555.0,607564.0,0,32,0,0,0.0004805326461791992,0.012882351875305176,0,654,0,0
16,124499,2753293.0,607464.0,0,41,0,0,0.00048089027404785156,0.013841450214385986,0,658,0,0
17,124488,2740753.0,607592.0,0,37,0,0,0.0004875063896179199,0.01386725902557373,0,658,0,0
18,124483,2748220.0,607412.0,0,35,0,0,0.00046378374099731445,0.01512002944946289,0,658,0,0
19,124494,2745264.0,607596.0,0,38,0,0,0.0004692673683166504,0.013868212699890137,0,663,0,0
20,124487,2752597.0,607300.0,0,41,0,0,0.00047773122787475586,0.01891911029815674,0,660,0,0
21,124475,2755874.0,607360.0,0,41,0,0,0.0004878044128417969,0.013822674751281738,0,655,0,0
22,124493,2759635.0,607452.0,0,36,0,0,0.00048345327377319336,0.012783527374267578,0,659,0,0
23,124484,2752195.0,607564.0,0,32,0,0,0.0004755258560180664,0.013893663883209229,0,654,0,0
24,124499,2754183.0,607464.0,0,41,0,0,0.0004845857620239258,0.01524055004119873,0,658,0,0
25,124488,2758618.0,607592.0,0,37,0,0,0.00048792362213134766,0.01589810848236084,0,658,0,0
26,124483,2754494.0,607412.0,0,35,0,0,0.0004857778549194336,0.016360104084014893,0,658,0,0
27,124494,2749879.0,607596.0,0,38,0,0,0.0004628896713256836,0.01647847890853882,0,663,0,0
28,124487,2759561.0,607300.0,0,41,0,0,0.00048786401748657227,0.016282081604003906,0,660,0,0
29,124475,2747600.0,607360.0,0,41,0,0,0.0004878044128417969,0.013712406158447266,0,655,0,0
30,124493,2747857.0,607452.0,0,36,0,0,0.00046539306640625,0.01667332649230957,0,659,0,0
31,124484,2752514.0,607564.0,0,32,0,0,0.0004805326461791992,0.01531982421875,0,654,0,0
