step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,2753249.0,607464.0,0,41,0,0,0.00047463178634643555,0.014193832874298096,0,658,0,0
4,124699,2436988.0,540072.0,0,7,0,0,0.0004774928092956543,0.013581991195678711,0,644,0,16
8,124941,2455110.0,545748.0,0,3,0,0,0.00048357248306274414,0.010075867176055908,0,643,0,18
12,125157,2461841.0,542568.0,0,5,0,0,0.00048339366912841797,0.014181673526763916,0,659,0,26
16,125379,2468030.0,543792.0,0,4,0,0,0.00046497583389282227,0.008078277111053467,0,656,0,25
20,125551,2494265.0,549516.0,0,5,0,0,0.0004820823669433594,0.009900450706481934,0,616,0,5
24,125708,2494387.0,549548.0,0,8,0,0,0.0004451870918273926,0.009776413440704346,0,604,0,16
28,125786,2494291.0,548388.0,0,5,0,0,0.0004818439483642578,0.012863218784332275,0,588,0,1
32,125825,2486001.0,548616.0,0,9,0,0,0.0004706382751464844,0.00979149341583252,0,587,0,0
36,125766,2487016.0,548748.0,0,5,0,0,0.0004773736000061035,0.011164069175720215,0,591,0,0
40,125677,2505260.0,550284.0,0,6,0,0,0.0004513263702392578,0.008387386798858643,0,604,0,2
44,125516,2491183.0,548392.0,0,10,0,0,0.0004812479019165039,0.012501001358032227,0,627,0,0
48,125330,2471913.0,546652.0,0,8,0,0,0.0004361867904663086,0.010602951049804688,0,646,0,2
52,125101,2466927.0,544868.0,0,5,0,0,0.0004585385322570801,0.011117875576019287,0,642,0,0
56,125967,2460828.0,546068.0,0,6,0,0,0.00048601627349853516,0.009951889514923096,0,660,0,6
60,124642,2490261.0,548968.0,0,14,0,0,0.00048041343688964844,0.036061644554138184,0,650,0,6
64,124499,2590213.0,573276.0,0,36,0,0,0.00048470497131347656,0.04194283485412598,0,661,0,0
68,124487,2745363.0,607300.0,0,41,0,0,0.000485837459564209,0.014747679233551025,0,660,0,0
72,124499,2752189.0,607464.0,0,41,0,0,0.00048089027404785156,0.015011608600616455,0,658,0,0
76,124487,2753670.0,607300.0,0,41,0,0,0.000485837459564209,0.018298447132110596,0,660,0,0
80,124499,2746375.0,607464.0,0,41,0,0,0.00048089027404785156,0.01554805040359497,0,658,0,0
84,124487,2747402.0,607300.0,0,41,0,0,0.000485837459564209,0.01312488317489624,0,660,0,0
88,124499,2756366.0,607464.0,0,41,0,0,0.0004869699478149414,0.015331566333770752,0,658,0,0
92,124487,2758031.0,607300.0,0,41,0,0,0.00048232078552246094,0.017630338668823242,0,660,0,0
95,124484,2744151.0,607564.0,0,32,0,0,0.00046515464782714844,0.013577580451965332,0,654,0,0
