step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,2753249.0,607464.0,0,41,0,0,0.00047463178634643555,0.014193832874298096,0,658,0,0
4,124508,2546130.0,562640.0,0,22,0,0,0.0004691481590270996,0.03186839818954468,0,661,0,4
8,124539,2432217.0,538148.0,0,9,0,0,0.00044602155685424805,0.01675969362258911,0,658,0,13
12,124559,2447871.0,540612.0,0,15,0,0,0.00048655271530151367,0.018171966075897217,0,662,0,6
16,124593,2438977.0,538612.0,0,4,0,0,0.00047022104263305664,0.01100999116897583,0,663,0,1
20,124598,2432932.0,537380.0,0,11,0,0,0.0004779696464538574,0.011314570903778076,0,660,0,4
24,124616,2432563.0,537052.0,0,5,0,0,0.0004419088363647461,0.010058462619781494,0,657,0,1
28,124597,2439604.0,537556.0,0,7,0,0,0.0004775524139404297,0.011766672134399414,0,664,0,0
32,124592,2433918.0,538276.0,0,5,0,0,0.00048357248306274414,0.011452674865722656,0,671,0,0
36,124552,2425831.0,536684.0,0,6,0,0,0.00047469139099121094,0.012573659420013428,0,662,0,0
40,124540,2442746.0,538132.0,0,12,0,0,0.0004833340644836426,0.021553993225097656,0,660,0,0
44,124503,2555370.0,564112.0,0,16,0,0,0.00048220157623291016,0.038676559925079346,0,662,0,0
48,124500,2740871.0,606816.0,0,42,0,0,0.00048291683197021484,0.013744235038757324,0,656,0,15
52,124459,2743416.0,606712.0,0,54,0,0,0.0004832148551940918,0.013078272342681885,0,651,0,3
56,124474,2449685.0,540248.0,0,6,0,0,0.0004876255989074707,0.01522737741470337,0,646,0,5
60,124460,2438471.0,537600.0,0,15,0,0,0.0004832744598388672,0.012748122215270996,0,647,0,9
64,124468,2427854.0,538128.0,0,6,0,0,0.0004470944404602051,0.010530591011047363,0,638,0,0
68,124455,2426767.0,538228.0,0,8,0,0,0.00047582387924194336,0.010440647602081299,0,635,0,0
72,124462,2427917.0,537124.0,0,7,0,0,0.0004761815071105957,0.014531314373016357,0,638,0,0
76,124456,2427737.0,536784.0,0,11,0,0,0.00047707557678222656,0.010862588882446289,0,637,0,0
80,124471,2419658.0,536584.0,0,7,0,0,0.00046539306640625,0.010064840316772461,0,634,0,0
84,124453,2431393.0,538676.0,0,10,0,0,0.0004699230194091797,0.012943446636199951,0,644,0,1
88,124471,2442214.0,539264.0,0,9,0,0,0.0004781484603881836,0.014397263526916504,0,646,0,10
92,124466,2449953.0,540416.0,0,7,0,0,0.00048291683197021484,0.013552546501159668,0,645,0,1
96,124499,2754785.0,607464.0,0,41,0,0,0.0004869699478149414,0.013795733451843262,0,658,0,0
100,124487,2750264.0,607300.0,0,41,0,0,0.00044792890548706055,0.013131558895111084,0,660,0,0
104,124499,2753282.0,607464.0,0,41,0,0,0.0004763603210449219,0.014715015888214111,0,658,0,0
108,124487,2756446.0,607300.0,0,41,0,0,0.00048786401748657227,0.017303168773651123,0,660,0,0
112,124499,2750752.0,607464.0,0,41,0,0,0.00048089027404785156,0.01732724905014038,0,658,0,0
116,124487,2756928.0,607300.0,0,41,0,0,0.00048786401748657227,0.016988635063171387,0,660,0,0
120,124499,2758303.0,607464.0,0,41,0,0,0.0004869699478149414,0.015864670276641846,0,658,0,0
124,124487,2754351.0,607300.0,0,41,0,0,0.00047773122787475586,0.01662755012512207,0,660,0,0
127,124484,2749153.0,607564.0,0,32,0,0,0.00048607587814331055,0.015922129154205322,0,654,0,0
