revision,case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
after_20260911_141204_818,0,length10_a,completed_with_warnings,frame_interval_ms,240,240,16.733797267079353,17.791999503970146,11.297895573079586,22.922802716493607
after_20260911_141204_818,0,length10_a,completed_with_warnings,cpu_frame_ms,240,0,,,,
after_20260911_141204_818,0,length10_a,completed_with_warnings,gpu_frame_ms,240,0,,,,
after_20260911_141204_818,0,length10_a,completed_with_warnings,cpu_render_thread_ms,240,0,,,,
after_20260911_141204_818,0,length10_a,completed_with_warnings,gc_allocated_in_editor_frame_bytes,240,240,20569,99796,20517,231013
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.LayoutRemap_gpu_ms,240,240,0,0,0,0.000256
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,240,240,4.444672,4.874496,3.6759039999999996,5.2666879999999994
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.Allocate_gpu_ms,240,240,0.54323199999999994,0.56064,0.530432,0.87347199999999992
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,240,0,,,,
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,240,240,0.129024,0.327424,0.12057599999999999,0.65868799999999994
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,240,240,0.372992,0.62771199999999994,0.35737599999999997,1.136128
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,240,240,0,0.000256,0,0.000256
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.PageCull_gpu_ms,240,240,0.353024,0.556288,0.305152,1.11744
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.StaticRaster_gpu_ms,240,240,0.007424,0.011519999999999999,0.003072,0.260096
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.DynamicRaster_gpu_ms,240,240,0.086272,0.091648,0.077568,0.38707199999999997
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,240,0,,,,
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.FinalizePages_gpu_ms,240,240,0.004352,0.005376,0.002048,0.027136
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.ResetFeedback_gpu_ms,240,240,0,0,0,0.000256
after_20260911_141204_818,0,length10_a,completed_with_warnings,VSM.Resolve_gpu_ms,240,240,4.009472,4.456192,3.4086399999999997,4.7623679999999995
after_20260911_141204_818,0,length10_b,completed_with_warnings,frame_interval_ms,228,228,17.641648650169373,18.518997356295586,16.237003728747368,19.058298319578171
after_20260911_141204_818,0,length10_b,completed_with_warnings,cpu_frame_ms,228,228,17.624049999999997,18.9556,13.0874,20.599
after_20260911_141204_818,0,length10_b,completed_with_warnings,gpu_frame_ms,228,227,17.607936,18.505472,16.317952,19.035392
after_20260911_141204_818,0,length10_b,completed_with_warnings,cpu_render_thread_ms,228,228,2.72275,4.0125,2.0071,5.4482
after_20260911_141204_818,0,length10_b,completed_with_warnings,gc_allocated_in_editor_frame_bytes,228,228,14471,92195,14419,250418
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.LayoutRemap_gpu_ms,228,228,0,0,0,0.000256
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,228,228,4.7801599999999995,5.150976,3.67616,5.40032
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.Allocate_gpu_ms,228,228,0.551808,0.567808,0.535808,0.576
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,228,0,,,,
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,228,228,0.135424,0.342784,0.12236799999999999,0.75238399999999994
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,228,228,0.379136,0.76544,0.36403199999999997,1.251072
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,228,228,0,0.000256,0,0.000256
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.PageCull_gpu_ms,228,228,0.35852799999999996,0.662272,0.282368,1.23136
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.StaticRaster_gpu_ms,228,228,0.007424,0.010752,0.003072,0.365824
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.DynamicRaster_gpu_ms,228,228,0.08806399999999999,0.094975999999999991,0.07039999999999999,0.86195199999999994
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,228,0,,,,
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.FinalizePages_gpu_ms,228,228,0.004608,0.005632,0.003072,0.01792
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.ResetFeedback_gpu_ms,228,228,0,0,0,0.000256
after_20260911_141204_818,0,length10_b,completed_with_warnings,VSM.Resolve_gpu_ms,228,228,4.236928,4.733696,3.43552,5.758976
after_20260911_141204_818,0,length50_a,completed_with_warnings,frame_interval_ms,208,208,19.328598864376545,20.391404628753662,17.900999635457993,21.07590064406395
after_20260911_141204_818,0,length50_a,completed_with_warnings,cpu_frame_ms,208,208,19.29105,20.9863,16.0943,22.6214
after_20260911_141204_818,0,length50_a,completed_with_warnings,gpu_frame_ms,208,208,0.017664,0.018944,0.012544,0.250624
after_20260911_141204_818,0,length50_a,completed_with_warnings,cpu_render_thread_ms,208,208,0.20185,0.3384,0.1443,0.453
after_20260911_141204_818,0,length50_a,completed_with_warnings,gc_allocated_in_editor_frame_bytes,208,208,20637,105127,20517,180790
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.LayoutRemap_gpu_ms,208,208,0,0,0,0.000256
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,208,208,4.8733439999999995,5.332736,3.890176,6.2528
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.Allocate_gpu_ms,208,208,0.558592,0.56831999999999994,0.535808,0.706816
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,208,0,,,,
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,208,208,0.13516799999999998,0.386048,0.122112,1.114112
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,208,208,0.380672,0.8448,0.36096,1.130752
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,208,208,0,0.000256,0,0.000256
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.PageCull_gpu_ms,208,208,0.359168,0.68736,0.285184,0.976896
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.StaticRaster_gpu_ms,208,208,0.007424,0.012799999999999999,0.003072,0.838912
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.DynamicRaster_gpu_ms,208,208,0.087551999999999991,0.09472,0.080127999999999991,0.546048
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,208,0,,,,
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.FinalizePages_gpu_ms,208,208,0.004352,0.005632,0.003072,0.013824
after_20260911_141204_818,0,length50_a,completed_with_warnings,VSM.ResetFeedback_gpu_ms,208,208,0,0,0,0.000256
