case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",240,240,16.733797267079353,17.791999503970146,11.297895573079586,22.922802716493607
0,"length10_a","completed_with_warnings","cpu_frame_ms",240,0,,,,
0,"length10_a","completed_with_warnings","gpu_frame_ms",240,0,,,,
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",240,0,,,,
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",240,240,20569,99796,20517,231013
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",240,240,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",240,240,4.444672,4.874496,3.6759039999999996,5.2666879999999994
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",240,240,0.54323199999999994,0.56064,0.530432,0.87347199999999992
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",240,0,,,,
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",240,240,0.129024,0.327424,0.12057599999999999,0.65868799999999994
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",240,240,0.372992,0.62771199999999994,0.35737599999999997,1.136128
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",240,240,0,0.000256,0,0.000256
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",240,240,0.353024,0.556288,0.305152,1.11744
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",240,240,0.007424,0.011519999999999999,0.003072,0.260096
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",240,240,0.086272,0.091648,0.077568,0.38707199999999997
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",240,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",240,240,0.004352,0.005376,0.002048,0.027136
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",240,240,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",240,240,4.009472,4.456192,3.4086399999999997,4.7623679999999995
