case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",228,228,17.641648650169373,18.518997356295586,16.237003728747368,19.058298319578171
0,"length10_b","completed_with_warnings","cpu_frame_ms",228,228,17.624049999999997,18.9556,13.0874,20.599
0,"length10_b","completed_with_warnings","gpu_frame_ms",228,227,17.607936,18.505472,16.317952,19.035392
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",228,228,2.72275,4.0125,2.0071,5.4482
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",228,228,14471,92195,14419,250418
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",228,228,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",228,228,4.7801599999999995,5.150976,3.67616,5.40032
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",228,228,0.551808,0.567808,0.535808,0.576
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",228,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",228,228,0.135424,0.342784,0.12236799999999999,0.75238399999999994
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",228,228,0.379136,0.76544,0.36403199999999997,1.251072
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",228,228,0,0.000256,0,0.000256
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",228,228,0.35852799999999996,0.662272,0.282368,1.23136
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",228,228,0.007424,0.010752,0.003072,0.365824
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",228,228,0.08806399999999999,0.094975999999999991,0.07039999999999999,0.86195199999999994
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",228,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",228,228,0.004608,0.005632,0.003072,0.01792
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",228,228,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",228,228,4.236928,4.733696,3.43552,5.758976
