observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
576,31.082111904761902,156783917061,1,18.459700047969818,19.7291,0.018688,0.187,20517,0,4.149248,0.548352,,0.123136,0.37248,0,0.353792,0.007424,0.086016,,0.004352,0,5.4848,576,223,0,
577,31.101104499716552,156784114352,1,18.992595374584198,16.8023,0.016384,0.1811,55659,0,4.52992,0.542976,,0.122624,0.372224,0,0.353024,0.0063999999999999994,0.086272,,0.004608,0,4.816384,577,224,0,
578,31.119520606575964,156784282375,1,18.416106700897217,17.6029,0.017408,0.3392,50682,0,4.82432,0.542976,,0.13414399999999999,0.378112,0,0.35814399999999996,0.003328,0.08524799999999999,,0.004608,0,4.629504,578,225,0,
579,31.138856505102041,156784458404,1,19.335897639393806,18.8983,0.016384,0.1779,20719,0,4.731392,0.553472,,0.140288,0.37785599999999997,0,0.357888,0.0076799999999999993,0.08576,,0.004608,0,4.758272,579,226,0,
580,31.158289002267573,156784647387,1,19.432496279478073,18.9546,0.015616,0.1796,20517,0,4.4124159999999994,0.548352,,0.386048,0.37862399999999996,0,0.355072,0.004096,0.086784,,0.004096,0,4.9256959999999994,580,227,0,
581,31.176817106009068,156784836933,1,18.528103828430176,18.1442,0.018432,0.1996,20569,0,4.91264,0.540928,,0.137728,0.37273599999999996,0,0.35328,0.008192,0.088832,,0.004096,0,4.903936,581,228,0,
582,31.195286904761904,156785018375,1,18.469799309968948,20.326,0.018688,0.1751,20517,0,4.5375999999999994,0.552192,,0.1344,0.754432,0.000256,0.73471999999999993,0.011776,0.087551999999999991,,0.0038399999999999997,0,4.265216,582,229,0,
583,31.21417570153061,156785221635,1,18.888797610998154,18.4658,0.017408,0.1987,20637,0,4.918784,0.56704,,0.1344,0.37657599999999997,0,0.35712,0.007424,0.086016,,0.004096,0,5.0990079999999995,583,230,0,
584,31.232825602324262,156785406293,1,18.649900332093239,19.3022,0.01792,0.2267,20719,0,4.21632,0.541696,,0.137984,0.3712,0,0.35225599999999996,0.011519999999999999,0.086016,,0.0048639999999999994,0,4.85632,584,231,0,
585,31.250800106292516,156785599315,1,17.974503338336945,18.254,0.015616,0.2305,26795,0,4.328448,0.541184,,0.135936,0.38144,0,0.361984,0.007424,0.08806399999999999,,0.004352,0,4.584448,585,232,0,
586,31.270025,156785781855,1,19.224893301725388,18.4078,0.018176,0.177,20517,0,4.892672,0.559616,,0.134656,0.379136,0.000256,0.358912,0.007936,0.088832,,0.0048639999999999994,0,4.458752,586,233,0,
587,31.289673703231291,156785965933,1,19.648702815175056,18.5933,0.017152,0.1958,20517,0.000256,4.827392,0.558592,,0.13644799999999999,0.375808,0,0.35609599999999997,0.007424,0.08832,,0.0051199999999999996,0,4.736768,587,234,0,
588,31.308462903911565,156786151866,1,18.789200112223625,17.8886,0.018176,0.1711,20517,0,4.882432,0.553472,,0.141312,0.37862399999999996,0,0.359168,0.007424,0.084992,,0.0048639999999999994,0,5.0501119999999995,588,235,0,
589,31.328067800453514,156786330752,1,19.604897126555443,19.5347,0.017408,0.2228,20719,0,4.602112,0.555264,,0.136192,0.37324799999999997,0,0.35353599999999996,0.007424,0.089088,,0.004608,0,4.636928,589,236,0,
590,31.346273001700681,156786526099,1,18.205201253294945,20.0971,0.019712,0.195,20517,0,5.601024,0.558592,,0.12287999999999999,0.38195199999999996,0,0.363008,0.007424,0.083456,,0.0038399999999999997,0,5.4612479999999994,590,237,0,
591,31.365923306405893,156786727070,1,19.650304690003395,19.5404,0.016896,0.1896,20637,0,4.675584,0.55833599999999994,,0.12415999999999999,0.611584,0,0.59264,0.0076799999999999993,0.08524799999999999,,0.004352,0,5.05856,591,238,0,
592,31.383824305555553,156786922474,1,17.900999635457993,18.7346,0.01664,0.2111,20569,0,5.08544,0.5568,,0.123136,0.37888,0,0.35942399999999997,0.011519999999999999,0.083968,,0.004096,0,4.904704,592,239,0,
593,31.403863399943308,156787109820,1,20.039094612002373,18.0287,0.019712,0.2252,20517,0,4.593152,0.564736,,0.123136,0.368128,0.000256,0.34944,0.007424,0.08524799999999999,,0.004352,0,4.988928,593,240,0,
594,31.423734204931971,156787290107,1,19.870804622769356,20.0612,0.015616,0.1914,20719,0,4.583168,0.562176,,0.12287999999999999,0.564736,0,0.545536,0.006656,0.091392,,0.0051199999999999996,0,5.366784,594,241,0,
595,31.443842602040814,156787490719,1,20.10839618742466,17.2578,0.017664,0.1772,20517,0,5.106432,0.56575999999999993,,0.140288,0.5696,0,0.366336,0.006144,0.087296,,0.013824,0,4.7961599999999995,595,242,0,
596,31.462485806405894,156787663297,1,18.643204122781754,20.4825,0.017408,0.1844,20517,0,4.828416,0.556032,,0.13747199999999998,0.38195199999999996,0,0.36224,0.003584,0.089088,,0.004608,0,5.30432,596,243,0,
597,31.481918303571426,156787868122,1,19.432496279478073,20.0954,0.018176,0.2024,20517,0,4.850688,0.559616,,0.134656,0.374272,0,0.35456,0.0076799999999999993,0.084735999999999992,,0.0038399999999999997,0,4.9336319999999994,597,244,0,
598,31.501336104024944,156788069076,1,19.417800009250641,19.9761,0.018176,0.2623,20888,0,5.06752,0.566016,,0.134656,0.380672,0,0.36070399999999997,0.011264,0.089343999999999993,,0.0038399999999999997,0,5.3688319999999994,598,245,0,
599,31.520933801020409,156788268837,1,19.597696140408516,18.405,0.01664,0.186,20984,0,4.814592,0.56166399999999994,,0.1344,0.38323199999999996,0.000256,0.36352,0.007424,0.089088,,0.004096,0,5.124096,599,246,0,
600,31.541617602040816,156788452887,1,20.683800801634789,19.4356,0.018688,0.2122,20517,0,5.043712,0.546304,,0.13516799999999998,0.384,0,0.36403199999999997,0.007168,0.08576,,0.005376,0,4.840704,600,247,0,
601,31.561302806122448,156788647243,1,19.685203209519386,19.7453,0.017664,0.1729,20517,0,5.172224,0.56704,,0.140544,0.377088,0,0.35686399999999996,0.007424,0.088576,,0.004608,0,5.5935999999999995,601,248,0,
602,31.581026601473923,156788844696,1,19.723795354366302,19.6489,0.018176,0.4158,20517,0,5.002496,0.560128,,0.13644799999999999,0.38246399999999997,0,0.36275199999999996,0.0076799999999999993,0.093952,,0.003328,0,4.5260799999999994,602,249,0,
603,31.600263605442176,156789041185,1,19.237004220485687,20.9909,0.017664,0.1954,20569,0,4.851456,0.56243199999999993,,0.14207999999999998,0.379136,0.000256,0.359168,0.007424,0.087808,,0.0038399999999999997,0,5.0421759999999995,603,250,0,
604,31.619452501417232,156789251094,1,19.18889582157135,19.8613,0.017664,0.2335,20719,0,4.447744,0.557824,,0.839424,0.390912,0,0.366848,0.003584,0.087808,,0.004352,0,4.820736,604,251,0,
605,31.639491503684805,156789449707,1,20.039001479744911,19.4172,0.01792,0.2426,20517,0,4.9807359999999994,0.567552,,0.13568,0.385024,0,0.365568,0.007936,0.088576,,0.003584,0,5.18528,605,252,0,
606,31.6579873015873,156789643879,1,18.495798110961914,18.7198,0.01792,0.2185,25615,0,4.208384,0.55168,,0.134656,1.130752,0,0.341504,0.017152,0.087808,,0.0051199999999999996,0,4.460544,606,253,0,
607,31.678378706065757,156789831077,1,20.391404628753662,21.3688,0.018432,0.2424,20637,0,4.9231359999999995,0.56319999999999992,,0.13414399999999999,0.37888,0,0.358912,0.005376,0.088832,,0.003584,0,4.859392,607,254,0,
608,31.698958801020407,156790044765,1,20.580094307661057,21.2448,0.016384,0.2045,20517,0,5.32864,0.565248,,0.13516799999999998,0.372224,0,0.352512,0.007936,0.08524799999999999,,0.005632,0,5.3831679999999995,608,255,0,
609,31.718995904195012,156790257213,1,20.037103444337845,16.0943,0.017664,0.3066,20719,0,4.728832,0.56499199999999994,,0.13568,0.369664,0,0.35020799999999996,0.008192,0.091648,,0.003584,0,5.384704,609,256,0,
610,31.740071804138321,156790418156,1,21.07590064406395,22.6214,0.018944,0.2156,20517,0,5.3457919999999994,0.56243199999999993,,0.134912,0.380928,0,0.361216,0.007936,0.09088,,0.003584,0,5.1921919999999995,610,257,0,
611,31.75979800170068,156790644370,1,19.72619816660881,18.5611,0.018176,0.2435,26795,0,5.282048,0.562176,,0.13516799999999998,0.37862399999999996,0,0.35942399999999997,0.007424,0.41728,,0.0048639999999999994,0,5.3112319999999995,611,258,0,
612,31.78038720238095,156790829981,1,20.589200779795647,20.2337,0.018432,0.2324,20517,0,5.147136,0.557568,,0.13644799999999999,0.37273599999999996,0,0.35328,0.0076799999999999993,0.08806399999999999,,0.0051199999999999996,0,5.252864,612,259,0,
613,31.800457305839,156791032318,1,20.07010392844677,20.808,0.01792,0.2378,20517,0,5.357824,0.563968,,0.135424,0.385024,0,0.365568,0.0076799999999999993,0.093952,,0.003584,0,5.554176,613,260,0,
614,31.820766000566891,156791240398,1,20.308693870902061,20.2456,0.018176,0.2324,20771,0,6.2528,0.562944,,0.140544,0.380416,0,0.36070399999999997,0.0076799999999999993,0.089343999999999993,,0.0038399999999999997,0,4.856832,614,261,0,
615,31.840348306405893,156791442854,1,19.582305103540421,19.5464,0.017664,0.2014,20637,0,5.18272,0.562688,,0.142592,0.386816,0,0.36735999999999996,0.007168,0.087808,,0.005376,0,5.0403839999999995,615,262,0,
616,31.860989002267573,156791638318,1,20.640695467591286,19.3292,0.017664,0.2086,20517,0,4.96768,0.568064,,0.135424,0.38272,0.000256,0.363264,0.003328,0.090112,,0.0038399999999999997,0,4.887296,616,263,0,
617,31.880619699546482,156791831610,1,19.630696624517441,21.7601,0.018944,0.1732,20517,0,4.79488,0.548608,,0.599552,0.390144,0.000256,0.365056,0.0076799999999999993,0.086016,,0.005376,0,5.38112,617,264,0,
618,31.899891000566893,156792049211,1,19.271301105618477,18.9588,0.018432,0.2456,20517,0,4.9792,0.566784,,0.134912,0.996864,0,0.976896,0.0076799999999999993,0.087296,,0.0038399999999999997,0.000256,4.830208,618,265,0,
619,31.919660905612243,156792238799,1,19.769905135035515,20.4523,0.018944,0.2013,20517,0,4.89856,0.557824,,0.141312,0.37888,0,0.358912,0.0076799999999999993,0.089343999999999993,,0.004352,0,5.060352,619,266,0,
620,31.94025460600907,156792443322,1,20.593700930476189,19.0889,0.018432,0.2012,20719,0,5.1522559999999995,0.562176,,0.141312,0.388864,0,0.369664,0.007424,0.091136,,0.0038399999999999997,0,4.95488,620,267,0,
621,31.959989200680269,156792634211,1,19.734594970941544,19.3938,0.018688,0.1731,20517,0,4.529408,0.565248,,0.859904,0.393472,0.000256,0.36735999999999996,0.007424,0.08576,,0.004352,0,5.2764159999999993,621,268,0,
622,31.979579804421768,156792828149,1,19.590603187680244,19.313,0.018176,0.1853,20517,0,4.830208,0.56166399999999994,,0.141312,0.379392,0,0.35968,0.007424,0.086016,,0.005376,0,5.195008,622,269,0,
623,31.999947704081631,156793021279,1,20.367899909615517,20.565,0.01792,0.1771,20637,0,5.0367999999999995,0.56652799999999992,,0.1344,0.529664,0,0.323584,0.033024,0.081408,,0.006144,0,5.265408,623,270,0,
624,32.019912606292515,156793226929,1,19.964901730418205,20.4425,0.0192,0.1927,20888,0,5.332736,0.57164799999999993,,0.14207999999999998,0.38272,0.000256,0.363008,0.007424,0.087551999999999991,,0.0048639999999999994,0,5.1968,624,271,0,
625,32.04035580357143,156793431354,1,20.443197339773178,19.7263,0.022784,0.1851,20916,0,5.626624,0.564224,,0.13516799999999998,0.383488,0.000256,0.364288,0.007424,0.090624,,0.0038399999999999997,0,5.1263999999999994,625,272,0,
626,32.059769600340132,156793628617,1,19.413797184824944,19.667,0.015616,0.2265,20517,0.000256,4.2311679999999994,0.545536,,0.14336,0.380928,0,0.36096,0.003328,0.085504,,0.004096,0,5.312768,626,273,0,
627,32.07825950255102,156793825287,1,18.489902839064598,19.5362,0.016896,0.2035,20517,0,4.543488,0.545024,,0.13414399999999999,0.707584,0,0.68736,0.007424,0.094463999999999992,,0.005376,0,5.473024,627,274,0,
628,32.098317899659861,156794020649,1,20.058397203683853,21.4908,0.01792,0.1757,88216,0,4.941568,0.56166399999999994,,0.13568,0.55244799999999994,0,0.33408,0.012799999999999999,0.08448,,0.005376,0,4.791296,628,275,0,
629,32.117555902777774,156794235557,1,19.238002598285675,18.6654,0.017408,0.1923,20517,0,4.4928,0.547072,,0.134656,0.37401599999999996,0,0.353792,0.007168,0.086272,,0.0051199999999999996,0,5.347072,629,276,0,
630,32.137146301020408,156794422211,1,19.590398296713829,18.8835,0.017408,0.1975,20864,0,5.201408,0.564736,,0.134912,0.379392,0,0.36019199999999996,0.007424,0.083968,,0.003584,0,5.039872,630,277,0,
631,32.156184700963721,156794611046,1,19.038399681448936,20.8214,0.01792,0.2838,20637,0,4.784896,0.55910399999999993,,0.1344,0.38118399999999997,0,0.362496,0.007424,0.086016,,0.0038399999999999997,0,5.5127039999999994,631,278,0,
632,32.176089406179138,156794819260,1,19.904704764485359,19.2799,0.018176,0.1727,26462,0,4.5980159999999994,0.547072,,0.134912,0.371712,0,0.352,0.007424,0.08806399999999999,,0.0048639999999999994,0,4.973824,632,279,0,
633,32.195559204931975,156795012059,1,19.469799473881721,18.2052,0.01792,0.1707,20517,0,4.854016,0.56499199999999994,,0.13747199999999998,0.378368,0,0.358656,0.011007999999999999,0.089343999999999993,,0.004096,0,4.7810559999999995,633,280,0,
634,32.214435005668932,156795194111,1,18.87580007314682,18.8396,0.017152,0.1784,20517,0,4.9666559999999995,0.56831999999999994,,0.134656,0.37529599999999996,0,0.35609599999999997,0.0076799999999999993,0.087551999999999991,,0.004096,0,5.243904,634,281,0,
635,32.233224603174605,156795382507,1,18.789596855640411,20.0793,0.017408,0.1936,20864,0,4.348672,0.54655999999999993,,0.137216,0.38144,0.000256,0.361216,0.0076799999999999993,0.08576,,0.0038399999999999997,0,4.644352,635,282,0,
636,32.25182540391156,156795583300,1,18.600801005959511,20.0983,0.015872,0.1973,26497,0,4.20864,0.542464,,0.13977599999999998,0.386304,0,0.367104,0.0076799999999999993,0.084735999999999992,,0.004608,0,4.347904,636,283,0,
637,32.270689902210883,156795784283,1,18.864497542381287,18.8688,0.016896,0.171,26795,0,4.888064,0.5504,,0.14079999999999998,0.374784,0.000256,0.355072,0.0076799999999999993,0.087039999999999992,,0.005376,0,4.619008,637,284,0,
638,32.289756604308387,156795972971,1,19.0667025744915,18.5793,0.01664,0.1752,20517,0,4.668928,0.551168,,0.134912,0.98227199999999992,0,0.963328,0.003328,0.084992,,0.004096,0,4.7224319999999995,638,285,0,
639,32.308881901927435,156796158764,1,19.125297665596008,19.0704,0.018176,0.1694,20637,0,4.672256,0.548864,,0.13568,0.893952,0.000256,0.32716799999999996,0.025088,0.089855999999999991,,0.003584,0,4.4124159999999994,639,286,0,
640,32.328268005952381,156796349468,1,19.386103376746178,18.7667,0.018176,0.1981,20864,0,4.517632,0.539392,,0.13516799999999998,0.38118399999999997,0,0.361728,0.003328,0.086016,,0.003584,0,5.153536,640,287,0,
641,32.346724206349208,156796537135,1,18.456200137734413,18.7458,0.015872,0.1744,105127,0,5.134848,0.562176,,0.123136,0.377088,0,0.357888,0.007424,0.08576,,0.004608,0,4.917248,641,288,0,
642,32.36521879960317,156796724593,1,18.494592979550362,18.8895,0.018176,0.2494,38448,0,4.91648,0.563712,,0.124416,0.37068799999999996,0.000256,0.352,0.007168,0.084224,,0.0051199999999999996,0,4.637696,642,289,0,
643,32.383449603174604,156796913488,1,18.230803310871124,20.8942,0.016384,0.2621,26591,0,4.711424,0.563968,,0.12415999999999999,0.364288,0.000256,0.346112,0.007168,0.082688,,0.0048639999999999994,0,5.087744,643,290,0,
644,32.40152110260771,156797122430,1,18.071498721837997,18.0145,0.016384,0.23,26301,0,3.890176,0.688896,,0.12544,0.374784,0,0.35584,0.003584,0.085504,,0.003072,0,4.5660159999999994,644,291,0,
645,32.42086120323129,156797302575,1,19.340099766850471,18.2469,0.015872,0.2108,20864,0,4.7943679999999995,0.55398399999999992,,0.123136,0.370432,0,0.35148799999999997,0.007424,0.084224,,0.0048639999999999994,0,4.739584,645,292,0,
646,32.440378706065758,156797485044,1,19.517503678798676,18.0832,0.018432,0.1878,20517,0,4.451328,0.550144,,0.140288,0.38118399999999997,0.000256,0.36096,0.007168,0.087296,,0.0051199999999999996,0,5.073408,646,293,0,
647,32.4589608064059,156797665876,1,18.582100048661232,17.5218,0.018944,0.1847,20689,0,4.6318079999999995,0.54988799999999993,,0.135936,0.37990399999999996,0,0.35968,0.003328,0.087551999999999991,,0.003584,0,5.2587519999999994,647,294,0,
648,32.47815900651927,156797841094,1,19.198199734091759,19.765,0.015616,0.2274,20517,0,4.7303679999999995,0.546816,,0.13977599999999998,0.3776,0,0.357632,0.0076799999999999993,0.087039999999999992,,0.0051199999999999996,0,4.518656,648,295,0,
649,32.497053004535147,156798038744,1,18.893998116254807,19.7457,0.016128,0.2005,32375,0,4.6087679999999995,0.563456,,0.135424,0.379392,0.000256,0.35942399999999997,0.007424,0.083456,,0.004608,0,5.0749439999999995,649,296,0,
650,32.51663590561224,156798236201,1,19.582901149988174,18.6334,0.01792,0.2015,21033,0,4.981504,0.539392,,0.13414399999999999,0.667392,0,0.64767999999999992,0.007424,0.084992,,0.004096,0,5.00992,650,297,0,
651,32.535575,156798422535,1,18.939094617962837,18.762,0.01664,0.2228,20864,0,5.22752,0.562944,,0.135424,0.37452799999999997,0,0.354304,0.003328,0.085504,,0.0038399999999999997,0,5.089536,651,298,0,
652,32.554523802437643,156798610155,1,18.948802724480629,19.9869,0.018176,0.3384,20517,0,4.758272,0.549632,,0.134656,0.378112,0,0.3584,0.007424,0.092928,,0.003328,0,4.918784,652,299,0,
653,32.572685700113375,156798810024,1,18.161898478865623,19.4904,0.018688,0.3234,20517,0,5.276928,0.561408,,0.13516799999999998,0.635648,0,0.364544,0.011519999999999999,0.090112,,0.004096,0,4.229376,653,300,0,
