observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
998,39.272514505385487,156865755190,1,20.113606005907059,19.8053,0.016128,0.2249,20569,0,5.207808,0.561408,,0.136192,0.37657599999999997,0,0.35686399999999996,0.007424,0.086016,,0.003584,0,5.309952,998,214,0,
999,39.291653401360541,156865953243,1,19.138896837830544,20.9538,0.01792,0.1964,20637,0,4.7659519999999995,0.562688,,0.1344,0.387584,0,0.36735999999999996,0.007424,0.086784,,0.004352,0,5.63328,999,215,0,
1000,39.311093905895689,156866162781,1,19.440503790974617,18.8195,0.016384,0.171,20517,0,5.15328,0.56319999999999992,,0.135424,0.37401599999999996,0,0.35456,0.007424,0.083968,,0.0048639999999999994,0,5.037312,1000,216,0,
1001,39.33061930272109,156866350976,1,19.525397568941116,20.2458,0.017664,0.1663,20719,0,4.66048,0.547584,,0.137728,0.37452799999999997,0.000256,0.355072,0.003328,0.083712,,0.003584,0,5.2375039999999995,1001,217,0,
1002,39.349839604591835,156866553434,1,19.220301881432533,18.6632,0.017664,0.2104,20517,0,4.948992,0.560384,,0.13516799999999998,0.558592,0,0.539136,0.0076799999999999993,0.088576,,0.004352,0,5.083648,1002,218,0,
1003,39.367952005385483,156866740066,1,18.11240054666996,20.0165,0.017408,0.1711,20517,0,5.15968,0.566016,,0.13568,0.79897599999999991,0,0.77952,0.0076799999999999993,0.091392,,0.0038399999999999997,0,4.398336,1003,219,0,
1004,39.386488003117911,156866940231,1,18.535997718572617,18.802,0.017664,0.2214,26795,0,4.387072,0.689408,,0.12339199999999999,0.370432,0.000256,0.351744,0.007424,0.083968,,0.003328,0,4.833536,1004,220,0,
1005,39.404232901077094,156867128251,1,17.744898796081543,19.62,0.016128,0.1905,20517,0,4.2112,0.551168,,0.296448,0.374272,0.000256,0.355584,0.004096,0.09036799999999999,,0.0038399999999999997,0,5.127168,1005,221,0,
1006,39.421131604308385,156867324451,1,16.898702830076218,17.8064,0.015872,0.1788,20517,0,4.63872,0.546816,,0.12236799999999999,0.65279999999999994,0,0.35456,0.009472,0.091648,,0.0051199999999999996,0,4.5055999999999994,1006,222,0,
1007,39.541067899659865,156867502515,1,119.93629485368729,18.9847,0.01792,0.2688,21437,0,4.1203199999999995,0.542464,,0.12287999999999999,0.53248,0,0.34815999999999997,0.009216,0.086272,,0.005632,0,4.7828479999999995,1007,223,0,
1008,39.559464505385485,156867692362,1,18.396604806184769,18.3299,0.017152,0.183,20689,0,4.6208,0.556288,,0.12287999999999999,0.81331199999999992,0,0.325376,0.017664,0.08294399999999999,,0.005376,0,4.356608,1008,224,0,
1009,39.664831001984126,156867875661,1,105.36649823188782,16.2549,0.015872,0.2453,300695,0,4.6208,0.556288,,0.12287999999999999,0.81331199999999992,0,0.325376,0.017664,0.08294399999999999,,0.005376,0,4.356608,1009,225,0,
1010,39.671182504251696,156868038210,1,6.3515021465718746,121.1937,0.017152,0.2219,20517,0,4.601856,0.541696,,0.122112,0.36735999999999996,0,0.34892799999999996,0.007168,0.081919999999999993,,0.004608,0,4.91648,1010,226,0,
1011,39.690468402777775,156869250147,1,19.285898655653,17.5617,0.017408,0.2496,26445,0,4.8209919999999995,0.71884799999999993,,0.122624,0.37324799999999997,0,0.35456,0.007168,0.083712,,0.004608,0,5.3360639999999995,1011,227,0,
1012,39.709528599773243,156869425764,1,19.060196354985237,106.6195,0.022528,0.1605,20517,0,4.32384,0.53632,,0.12287999999999999,0.37376,0.000256,0.355328,0.007424,0.080384,,0.004096,0,4.648448,1012,228,0,
1013,39.728699305555551,156870491959,1,19.170705229043961,3.9641,0.007424,0.1806,236138,0,4.564736,0.539648,,0.123904,0.37504,0,0.356608,0.008704,0.08448,,0.004352,0,5.004288,1013,229,0,
1014,39.747044501133786,156870531600,1,18.345195800065994,19.3371,0.00768,0.1592,26301,0,4.139264,0.68352,,0.12032,0.71551999999999993,0,0.3392,0.00896,0.09548799999999999,,0.0025599999999999998,0,5.1210239999999994,1014,230,0,
1015,39.7649281037415,156870724971,1,17.883602529764175,19.2929,0.016128,0.1809,20569,0,4.5501439999999995,0.5568,,0.123648,0.715264,0,0.346624,0.0048639999999999994,0.08832,,0.004608,0.000256,4.684544,1015,231,0,
1016,39.783632603458045,156870917900,1,18.704500049352646,19.9777,0.01792,0.2445,20517,0,4.195584,0.53657599999999994,,0.12415999999999999,0.375552,0.000256,0.356352,0.005888,0.086272,,0.004608,0,4.6681599999999994,1016,232,0,
1017,39.801949900793652,156871117677,1,18.317297101020813,18.4217,0.017664,0.1995,20517,0,3.870208,0.563456,,0.123904,0.37888,0,0.359936,0.003328,0.083712,,0.0051199999999999996,0,4.520448,1017,233,0,
1018,39.819805704365081,156871301894,1,17.855804413557053,18.0374,0.016128,0.1934,20517,0,4.602112,0.54655999999999993,,0.29875199999999996,0.3712,0,0.352,0.003328,0.08448,,0.003584,0,4.466432,1018,234,0,
1019,39.838807603458051,156871482268,1,19.001899287104607,18.6011,0.01664,0.2013,20864,0,4.211968,0.541952,,0.444416,0.370432,0,0.347904,0.007424,0.090624,,0.003584,0,4.416256,1019,235,0,
1020,39.856899100056687,156871668279,1,18.091496080160141,18.3257,0.016128,0.173,108764,0,4.3235839999999994,0.541952,,0.128,0.3776,0.000256,0.357888,0.007424,0.091392,,0.003072,0,4.937728,1020,236,0,
1021,39.875553202947842,156871851536,1,18.654102459549904,17.4863,0.015872,0.1692,38321,0,4.808192,0.56064,,0.13516799999999998,0.581376,0,0.35225599999999996,0.00896,0.087808,,0.0048639999999999994,0,4.38272,1021,237,0,
1022,39.895054705215415,156872026399,1,19.501501694321632,18.4749,0.017408,0.1755,44626,0,4.86784,0.55833599999999994,,0.134656,0.375552,0,0.35609599999999997,0.007424,0.09036799999999999,,0.0038399999999999997,0,4.915712,1022,238,0,
1023,39.914016099773242,156872211148,1,18.96139420568943,18.1358,0.01664,0.1656,20517,0,4.8350719999999994,0.542464,,0.13516799999999998,0.3776,0,0.35814399999999996,0.007424,0.091904,,0.0048639999999999994,0,5.18784,1023,239,0,
1024,39.936496506519276,156872392506,1,22.480405867099762,18.3957,0.019968,0.1707,20864,0,4.721152,0.556032,,0.13516799999999998,0.65766399999999992,0,0.63769599999999993,0.007424,0.087808,,0.0038399999999999997,0,4.929536,1024,240,0,
1025,39.955923802437638,156872576463,1,19.42729577422142,20.5057,0.408832,0.0884,20517,0,4.49792,0.56166399999999994,,0.12339199999999999,0.88268799999999992,0.000256,0.35814399999999996,0.007168,0.093183999999999989,,0.004352,0,4.206592,1025,241,0,
1026,40.002999100056691,156872781520,1,47.0752976834774,19.9224,0.017408,0.1823,268171,0,4.49792,0.56166399999999994,,0.12339199999999999,0.88268799999999992,0.000256,0.35814399999999996,0.007168,0.093183999999999989,,0.004352,0,4.206592,1026,242,0,
1027,40.011249503968251,156872980744,1,8.2504041492939,20.7746,0.007936,0.2035,20517,0,5.082368,0.728576,,0.71219199999999994,0.451072,0,0.42547199999999996,0.007168,0.091392,,0.003072,0,4.7605759999999995,1027,243,0,
1028,40.028546804138323,156873188490,1,17.297299578785896,19.6596,0.016384,0.2335,20517,0,5.0713599999999994,0.560128,,0.133376,1.241088,0.000256,1.22112,0.0076799999999999993,0.086016,,0.0048639999999999994,0,5.219072,1028,244,0,
1029,40.047499000850337,156873385086,1,18.952196463942528,47.7483,0.022784,0.2019,20984,0,4.8256,0.54988799999999993,,0.1344,0.37657599999999997,0,0.356608,0.0076799999999999993,0.08576,,0.0051199999999999996,0.000256,4.8448,1029,245,0,
1030,40.065448405612244,156873862569,1,17.949404194951057,7.3866,0.007424,0.1751,20517,0,4.90112,0.554496,,0.12287999999999999,0.717824,0,0.699136,0.003328,0.083968,,0.005888,0,4.7001599999999994,1030,246,0,
1031,40.085105002834467,156873936435,1,19.656596705317497,17.4253,0.007936,0.177,20517,0,4.1886719999999995,0.678912,,0.12057599999999999,0.614912,0,0.596224,0.003072,0.084735999999999992,,0.002048,0,5.0918399999999995,1031,247,0,
1032,40.104086706349207,156874110688,1,18.981702625751495,19.1188,0.022528,0.2054,32299,0,4.841216,0.558848,,0.12415999999999999,0.367616,0,0.348416,0.007168,0.0832,,0.003328,0,5.4272,1032,248,0,
1033,40.12241220238095,156874301876,1,18.325496464967728,18.316,0.017664,0.173,271723,0,4.538112,0.53990399999999994,,0.12339199999999999,0.366592,0,0.347904,0.007168,0.083968,,0.003584,0,4.63488,1033,249,0,
1034,40.144108503401355,156874485036,1,21.696301177144051,19.164,0.01792,0.1828,20719,0,4.649984,0.55296,,0.47027199999999997,0.39552,0,0.37248,0.007168,0.080896,,0.004096,0,4.9523199999999994,1034,250,0,
1035,40.163514803004531,156874676676,1,19.406300038099289,20.1977,0.016896,0.0813,20517,0,4.059392,0.729088,,0.123904,0.36403199999999997,0,0.345856,0.007424,0.08448,,0.003584,0,5.789696,1035,251,0,
1036,40.1828950042517,156874878653,1,19.380200654268265,18.8246,0.016384,0.1773,20569,0,4.748544,0.559616,,0.12339199999999999,0.811008,0,0.79155199999999992,0.007424,0.092416,,0.004608,0,5.315072,1036,252,0,
1037,40.202311706349207,156875066899,1,19.416702911257744,20.2201,0.00768,0.1744,284399,0,4.727808,0.69504,,0.132096,0.53504,0,0.35712,0.007936,0.092416,,0.002048,0,4.615936,1037,253,0,
1038,40.221854202097504,156875269100,1,19.542496651411057,18.7621,0.017408,0.1733,20517,0,5.170176,0.559616,,0.13568,0.377088,0,0.35609599999999997,0.007424,0.085504,,0.005376,0,5.083392,1038,254,0,
1039,40.240197803287977,156875456721,1,18.343601375818253,19.3016,0.018176,0.1744,20719,0,4.978432,0.559616,,0.544256,0.37632,0,0.352512,0.007424,0.08524799999999999,,0.0048639999999999994,0,5.123584,1039,255,0,
1040,40.259410104875279,156875649737,1,19.212301820516586,19.9453,0.016128,0.2012,310659,0,4.5890559999999994,0.556032,,0.123904,0.367616,0,0.349184,0.0076799999999999993,0.08832,,0.004608,0,5.087744,1040,256,0,
1041,40.2778542020975,156875849190,1,18.44409666955471,20.3381,0.018432,0.1715,14419,0,4.642048,0.544768,,0.135424,0.38272,0,0.363264,0.007424,0.086528,,0.004352,0,4.829952,1041,257,0,
