observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2757,44.538428195861677,154579400756,1,8.64730030298233,8.6,9.051904,2.2978,14419,0,4.008448,0.78848,,0.121088,0.34944,0,0.329472,0.004608,0.086272,,0.0038399999999999997,0,0.384256,2757,449,0,
2758,44.546955598072557,154579486756,1,8.5274018347263336,8.7376,8.63488,2.3341,49561,0,4.256256,0.542208,,0.120832,0.62464,0,0.335872,0.00896,0.09088,,0.002816,0,0.38579199999999997,2758,450,0,
2759,44.556607695578229,154579574132,1,9.6520977094769478,9.7066,8.485376,2.3886,44567,0,3.9616,0.54272,,0.121344,0.348672,0.000256,0.326656,0.0076799999999999993,0.080896,,0.002816,0,0.384256,2759,451,0,
2760,44.565753493480727,154579671198,1,9.1457981616258621,8.1065,9.665792,2.3901,14419,0,4.4451839999999994,0.546816,,0.1216,0.35276799999999997,0,0.33177599999999996,0.003072,0.08576,,0.002816,0,0.383488,2760,452,0,
2761,44.574596499433106,154579752263,1,8.8430056348443031,8.5064,9.118208,2.2403,14564,0,4.097024,0.52812799999999993,,0.121344,0.34176,0,0.32179199999999997,0.007168,0.079615999999999992,,0.003072,0,0.384,2761,453,0,
2762,44.583319593253968,154579837327,1,8.7230941280722618,9.5222,8.827136,2.52,14621,0,4.155904,0.540416,,0.121088,0.346624,0,0.32511999999999996,0.003328,0.089855999999999991,,0.003584,0,0.38579199999999997,2762,454,0,
2763,44.591812294501132,154579932549,1,8.4927016869187355,9.0578,8.712192,2.9733,14539,0,4.09216,0.544256,,0.121344,0.348672,0,0.328192,0.003072,0.091648,,0.003328,0,0.385536,2763,455,0,
2764,44.600595599489793,154580023127,1,8.7833050638437271,9.1244,8.470016,2.4465,14419,0,4.201728,0.542464,,0.121344,0.348416,0,0.32767999999999997,0.0076799999999999993,0.089855999999999991,,0.002816,0,0.573952,2764,456,0,
2765,44.60946549744898,154580114371,1,8.8698975741863251,9.2106,8.769792,2.329,14419,0,4.120832,0.54067199999999993,,0.121344,0.351232,0,0.33100799999999997,0.006912,0.092928,,0.0038399999999999997,0,0.386304,2765,457,0,
2766,44.618307397959185,154580206477,1,8.8419001549482346,8.0843,8.854528,2.4332,14419,0,4.080128,0.525056,,0.121344,0.348416,0,0.32716799999999996,0.007168,0.083456,,0.003584,0,0.383744,2766,458,0,
