case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_b","completed_with_warnings","frame_interval_ms",450,450,8.9022992178797722,9.5044998452067375,8.2601048052310944,9.9411001428961754
0,"length10_b","completed_with_warnings","cpu_frame_ms",450,450,8.89275,9.8599,7.3069,10.6608
0,"length10_b","completed_with_warnings","gpu_frame_ms",450,450,8.8787200000000013,9.488128,8.20096,9.860864
0,"length10_b","completed_with_warnings","cpu_render_thread_ms",450,450,2.30775,3.0791,1.883,7.0041
0,"length10_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",450,450,14419,49681,14419,137618
0,"length10_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",450,450,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",450,450,4.1034239999999995,4.4451839999999994,3.535872,4.87296
0,"length10_b","completed_with_warnings","VSM.Allocate_gpu_ms",450,450,0.539392,0.54732799999999993,0.5184,0.813824
0,"length10_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",450,0,,,,
0,"length10_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",450,450,0.121344,0.305664,0.12006399999999999,0.80896
0,"length10_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",450,450,0.350976,0.634624,0.339456,1.213952
0,"length10_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",450,450,0,0.000256,0,0.000256
0,"length10_b","completed_with_warnings","VSM.PageCull_gpu_ms",450,450,0.32844799999999996,0.532224,0.286464,0.91904
0,"length10_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",450,450,0.007168,0.010496,0.003072,0.397568
0,"length10_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",450,450,0.087808,0.094463999999999992,0.07782399999999999,0.44672
0,"length10_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",450,0,,,,
0,"length10_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",450,450,0.003328,0.004096,0.002048,0.181504
0,"length10_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",450,450,0,0,0,0.000256
0,"length10_b","completed_with_warnings","VSM.Resolve_gpu_ms",450,450,0.384768,0.674048,0.379392,1.011968
