observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1862,36.445761897675737,154498464510,1,9.0326033532619476,8.9811,8.834048,2.2248,76110,0,3.544832,0.525824,,0.120832,0.54579199999999994,0.000256,0.52479999999999993,0.007168,0.083712,,0.0025599999999999998,0,0.384,1862,445,0,
1863,36.4549455994898,154498554321,1,9.1837020590901375,9.2667,9.008128,2.4825,14419,0,4.0145919999999995,0.538368,,0.1216,0.34355199999999997,0,0.323328,0.007168,0.087551999999999991,,0.003584,0,0.38579199999999997,1863,446,0,
1864,36.463247293083896,154498646988,1,8.3016939461231232,9.1225,9.170688,2.4201,14419,0,4.004608,0.52735999999999994,,0.121088,0.345856,0,0.324352,0.003072,0.091136,,0.004608,0,0.386816,1864,447,0,
1865,36.4721170989229,154498738213,1,8.8698063045740128,9.7734,8.27776,2.6962,14766,0,3.9068159999999996,0.525056,,0.12185599999999999,0.35276799999999997,0.000256,0.331264,0.003328,0.091136,,0.003328,0,0.38527999999999996,1865,448,0,
1866,36.4808887967687,154498835947,1,8.7716979905962944,8.7894,8.77184,2.5188,14539,0,3.539968,0.529664,,0.121344,0.352,0,0.330496,0.0038399999999999997,0.087296,,0.0038399999999999997,0,0.38579199999999997,1866,449,0,
1867,36.48995,154498923841,1,9.0612033382058144,8.4698,8.826368,2.801,14419,0,3.7163519999999997,0.5376,,0.1216,0.353792,0,0.333568,0.005376,0.089088,,0.004096,0,0.385536,1867,450,0,
1868,36.49883639455782,154499008539,1,8.8863950222730637,8.589,8.97024,2.85,14419,0,4.034816,0.538624,,0.12185599999999999,0.34815999999999997,0,0.32639999999999997,0.0076799999999999993,0.091904,,0.003072,0,0.651776,1868,451,0,
1869,36.507576395975057,154499094429,1,8.7400013580918312,9.2145,8.948224,2.6523,49561,0,3.822848,0.52992,,0.12236799999999999,0.349696,0,0.329216,0.007424,0.082688,,0.003584,0,0.397312,1869,452,0,
1870,36.516706696428571,154499186574,1,9.1303000226616859,9.6621,8.6464,2.47,44567,0,4.16896,0.545536,,0.12287999999999999,0.350976,0,0.32844799999999996,0.004608,0.086272,,0.003584,0,0.385024,1870,453,0,
1871,36.526200595238095,154499283195,1,9.49389860033989,7.4752,9.18784,2.536,14419,0,3.714304,0.52223999999999993,,0.121344,0.351744,0.000256,0.330752,0.006912,0.09344,,0.0025599999999999998,0,0.382976,1871,454,0,
1872,36.535033297902494,154499357947,1,8.8327024132013321,9.3236,9.471488,2.6153,14471,0,4.04864,0.54323199999999994,,0.12185599999999999,0.35020799999999996,0.000256,0.330752,0.007168,0.088576,,0.003584,0,0.706048,1872,455,0,
1873,36.544001495181405,154499451183,1,8.9681977406144142,8.7029,8.815616,2.3924,14419,0,3.811072,0.52556799999999992,,0.121344,0.34227199999999997,0,0.32128,0.010752,0.08832,,0.002816,0,0.57856,1873,456,0,
1874,36.55290849631519,154499538212,1,8.9070014655590057,9.304,8.951296,3.1747,14419,0,4.001024,0.535296,,0.121088,0.35584,0,0.336128,0.007168,0.094208,,0.003328,0,0.65868799999999994,1874,457,0,
1875,36.561904294217683,154499631252,1,8.9957974851131439,8.8199,8.889088,2.4001,14419,0,3.833856,0.53888,,0.120832,0.346624,0.000256,0.326144,0.006912,0.084735999999999992,,0.002816,0,0.384768,1875,458,0,
