case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_b","completed_with_warnings","frame_interval_ms",446,446,8.9664007537066936,9.5402002334594727,5.8356011286377907,18.403599038720131
0,"length50_b","completed_with_warnings","cpu_frame_ms",446,446,8.9822999999999986,10.0344,5.1576,19.0174
0,"length50_b","completed_with_warnings","gpu_frame_ms",446,446,8.9506559999999986,9.471488,0.0512,10.153984
0,"length50_b","completed_with_warnings","cpu_render_thread_ms",446,446,2.3213,3.1318,0.9013,9.1861
0,"length50_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",446,446,14419,49561,14419,152024
0,"length50_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",446,446,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",446,446,3.9868159999999997,4.286976,3.53024,4.635904
0,"length50_b","completed_with_warnings","VSM.Allocate_gpu_ms",446,446,0.52889599999999992,0.555008,0.519168,0.897536
0,"length50_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",446,0,,,,
0,"length50_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",446,446,0.121344,0.12287999999999999,0.12006399999999999,0.47820799999999997
0,"length50_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",446,446,0.35072,0.607488,0.34099199999999996,0.91110399999999991
0,"length50_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",446,446,0,0.000256,0,0.000256
0,"length50_b","completed_with_warnings","VSM.PageCull_gpu_ms",446,446,0.32844799999999996,0.502784,0.296448,0.724992
0,"length50_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",446,446,0.007168,0.010496,0.003072,0.19558399999999998
0,"length50_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",446,446,0.087551999999999991,0.094463999999999992,0.078336,0.798464
0,"length50_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",446,0,,,,
0,"length50_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",446,446,0.003328,0.004096,0.002048,0.24806399999999998
0,"length50_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",446,446,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.Resolve_gpu_ms",446,446,0.38527999999999996,0.71039999999999992,0.37990399999999996,1.4141439999999998
