scene,x,straight,bent,current,slab_only,surface,halfspace
empty,-1.46875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.46875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.40625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.28125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.28125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.21875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.09375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.09375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-1.03125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.96875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.90625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.90625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.84375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.78125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.71875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.71875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.65625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.59375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.53125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.53125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.46875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.40625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.28125,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.21875,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.09375,1.0,1.0,1.0,1.0,1.0,1.0
empty,-0.03125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.03125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.03125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.09375,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.21875,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.21875,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.28125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.40625,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.40625,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.46875,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.53125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.59375,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.59375,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.65625,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.71875,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.78125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.78125,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.84375,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.90625,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.96875,1.0,1.0,1.0,1.0,1.0,1.0
empty,0.96875,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.03125,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.09375,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.15625,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.21875,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.28125,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.34375,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.40625,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.46875,1.0,1.0,1.0,1.0,1.0,1.0
empty,1.53125,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.46875,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.46875,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.40625,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.34375,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.28125,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.28125,1.0,1.0,1.0,1.0,1.0,1.0
flat_receiver,-1.21875,1.0,1.0,1.0,1.0,1.0,1.0
