id,scene,resolution,diameter,budget,centered,max_length,rule,reference,rays,unavailable,truth_shadow,false_shadow,missed_shadow,visibility_mae,visibility_max
0,empty,64,0.5,4,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
0,empty,64,0.5,4,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
1,empty,64,0.5,8,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
2,empty,64,1.0,4,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
3,empty,64,1.0,8,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
4,empty,64,7.1,4,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
5,empty,64,7.1,8,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
6,empty,128,0.5,4,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
7,empty,128,0.5,8,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,surface,bent,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,halfspace,straight,12480,0,0,0,0,0.0,0.0
8,empty,128,1.0,4,True,10.0,halfspace,bent,12480,0,0,0,0,0.0,0.0
9,empty,128,1.0,8,True,10.0,current,straight,12480,0,0,0,0,0.0,0.0
9,empty,128,1.0,8,True,10.0,current,bent,12480,0,0,0,0,0.0,0.0
9,empty,128,1.0,8,True,10.0,slab_only,straight,12480,0,0,0,0,0.0,0.0
9,empty,128,1.0,8,True,10.0,slab_only,bent,12480,0,0,0,0,0.0,0.0
9,empty,128,1.0,8,True,10.0,surface,straight,12480,0,0,0,0,0.0,0.0
