id,scene,resolution,diameter,budget,max_length,scrolled,terminal_levels,rays,levels,endpoints,mean_reads,max_reads,max_segment_reads,rule,reference,unavailable,false_shadow,missed_shadow,visibility_mae,visibility_max,gpu_mean_reads,gpu_max_reads
0,empty,64,0.5,4,50.0,False,0,12480,1,[50.0],1.625,3,3,old,straight,0,0,0,0.0,0.0,,
0,empty,64,0.5,4,50.0,False,0,12480,1,[50.0],1.625,3,3,old,configured,0,0,0,0.0,0.0,,
0,empty,64,0.5,4,50.0,False,0,12480,1,[50.0],1.625,3,3,continuation,straight,0,0,0,0.0,0.0,1.625,3
0,empty,64,0.5,4,50.0,False,0,12480,1,[50.0],1.625,3,3,continuation,configured,0,0,0,0.0,0.0,1.625,3
1,empty,64,0.5,8,50.0,False,0,12480,1,[50.0],1.625,3,3,old,straight,0,0,0,0.0,0.0,,
1,empty,64,0.5,8,50.0,False,0,12480,1,[50.0],1.625,3,3,old,configured,0,0,0,0.0,0.0,,
1,empty,64,0.5,8,50.0,False,0,12480,1,[50.0],1.625,3,3,continuation,straight,0,0,0,0.0,0.0,1.625,3
1,empty,64,0.5,8,50.0,False,0,12480,1,[50.0],1.625,3,3,continuation,configured,0,0,0,0.0,0.0,1.625,3
2,empty,64,1.0,4,50.0,False,0,12480,2,"[40.49294662475586, 50.0]",3.278766025641026,5,3,old,straight,0,0,0,0.0,0.0,,
2,empty,64,1.0,4,50.0,False,0,12480,2,"[40.49294662475586, 50.0]",3.278766025641026,5,3,old,configured,0,0,0,0.0,0.0,,
2,empty,64,1.0,4,50.0,False,0,12480,2,"[40.49294662475586, 50.0]",3.278766025641026,5,3,continuation,straight,0,0,0,0.0,0.0,3.278765916824341,5
2,empty,64,1.0,4,50.0,False,0,12480,2,"[40.49294662475586, 50.0]",3.278766025641026,5,3,continuation,configured,0,0,0,0.0,0.0,3.278765916824341,5
3,empty,64,1.0,8,50.0,False,0,12480,1,[50.0],2.40625,4,4,old,straight,0,0,0,0.0,0.0,,
3,empty,64,1.0,8,50.0,False,0,12480,1,[50.0],2.40625,4,4,old,configured,0,0,0,0.0,0.0,,
3,empty,64,1.0,8,50.0,False,0,12480,1,[50.0],2.40625,4,4,continuation,straight,0,0,0,0.0,0.0,2.40625,4
