step,receivers,reads,rays,pcf_fallback,failed_footprints,missing,replay_over_1e3,replay_max,replay_abs_sum,unavailable,requested,overflow,new_pages
0,124499,12102444.0,607464.0,0,41,0,0,0.0004786252975463867,0.05047500133514404,0,667,0,0
4,124699,10795978.0,540072.0,0,7,0,0,0.00047767162322998047,0.02161693572998047,0,653,0,17
8,124941,10737417.0,545748.0,0,3,0,0,0.0004680752754211426,0.025486528873443604,0,651,0,20
12,125157,11035010.0,542568.0,0,5,0,0,0.00048792362213134766,0.02933526039123535,0,665,0,27
16,125379,11135930.0,543792.0,0,4,0,0,0.00048613548278808594,0.021696627140045166,0,663,0,27
20,125551,11647559.0,549516.0,0,5,0,0,0.0004417300224304199,0.025042355060577393,0,620,0,4
24,125708,11793112.0,549548.0,0,8,0,0,0.00047600269317626953,0.022197484970092773,0,612,0,17
28,125786,11857377.0,548388.0,0,5,0,0,0.0004818439483642578,0.02639216184616089,0,597,0,1
32,125825,11867864.0,548616.0,0,9,0,0,0.0004824995994567871,0.02467799186706543,0,594,0,0
36,125766,11845403.0,548748.0,0,5,0,0,0.0004731416702270508,0.024671614170074463,0,602,0,0
40,125677,11767486.0,550284.0,0,6,0,0,0.00048673152923583984,0.0251314640045166,0,612,0,2
44,125516,11615742.0,548392.0,0,10,0,0,0.00047659873962402344,0.02366960048675537,0,633,0,0
48,125330,11141120.0,546652.0,0,8,0,0,0.0004140138626098633,0.024764418601989746,0,651,0,2
52,125101,11032679.0,544868.0,0,5,0,0,0.0004807710647583008,0.0262678861618042,0,650,0,0
56,125967,10881479.0,546068.0,0,6,0,0,0.00046646595001220703,0.024585068225860596,0,668,0,6
60,124642,10990922.0,548968.0,0,14,0,0,0.0004691481590270996,0.03568309545516968,0,655,0,6
64,124499,11373841.0,573276.0,0,36,0,0,0.0004805326461791992,0.0481647253036499,0,670,0,0
68,124487,12075180.0,607300.0,0,41,0,0,0.00048410892486572266,0.05553841590881348,0,667,0,0
72,124499,12120799.0,607464.0,0,41,0,0,0.0004756450653076172,0.06011152267456055,0,667,0,0
76,124487,12108240.0,607300.0,0,41,0,0,0.000485837459564209,0.057674288749694824,0,667,0,0
80,124499,12089292.0,607464.0,0,41,0,0,0.0004881620407104492,0.059113383293151855,0,667,0,0
84,124487,12090322.0,607300.0,0,41,0,0,0.0004843473434448242,0.05610835552215576,0,667,0,0
88,124499,12118288.0,607464.0,0,41,0,0,0.0004818439483642578,0.05916476249694824,0,667,0,0
92,124487,12105542.0,607300.0,0,41,0,0,0.00046825408935546875,0.057193875312805176,0,667,0,0
95,124484,12081475.0,607564.0,0,32,0,0,0.0004845261573791504,0.06030535697937012,0,661,0,0
