id,scene,resolution,budget,cap,rays,old_fp,new_fp,old_fn,new_fn,changed,new_mean_reads
4,empty,64,4,1,12480,0,0,0,0,0,7.959695512820513
5,empty,64,8,1,12480,0,0,0,0,0,9.25360576923077
10,empty,128,4,1,12480,0,0,0,0,0,9.549198717948718
12,empty,128,8,1,12480,0,0,0,0,0,12.05889423076923
18,empty,256,4,1,12480,0,0,0,0,0,11.085096153846154
21,empty,256,8,1,12480,0,0,0,0,0,14.833653846153846
28,empty,512,4,1,12480,0,0,0,0,0,12.704246794871795
29,empty,512,8,1,12480,0,0,0,0,0,17.62676282051282
34,flat_receiver,64,4,1,12480,0,0,0,0,0,7.959695512820513
35,flat_receiver,64,8,1,12480,0,0,0,0,0,9.25360576923077
40,flat_receiver,128,4,1,12480,0,0,0,0,0,9.549198717948718
42,flat_receiver,128,8,1,12480,0,0,0,0,0,12.05889423076923
48,flat_receiver,256,4,1,12480,0,0,0,0,0,11.085096153846154
51,flat_receiver,256,8,1,12480,0,0,0,0,0,14.833653846153846
58,flat_receiver,512,4,1,12480,0,0,0,0,0,12.704246794871795
59,flat_receiver,512,8,1,12480,0,0,0,0,0,17.62676282051282
64,slope_receiver,64,4,1,12480,0,0,0,0,0,7.959695512820513
65,slope_receiver,64,8,1,12480,0,0,0,0,0,9.25360576923077
70,slope_receiver,128,4,1,12480,0,0,0,0,0,9.549198717948718
72,slope_receiver,128,8,1,12480,0,0,0,0,0,12.05889423076923
78,slope_receiver,256,4,1,12480,0,0,0,0,0,11.085096153846154
81,slope_receiver,256,8,1,12480,0,0,0,0,0,14.833653846153846
88,slope_receiver,512,4,1,12480,0,0,0,0,0,12.704246794871795
89,slope_receiver,512,8,1,12480,0,0,0,0,0,17.62676282051282
94,steep_receiver,64,4,1,12480,0,0,0,0,0,7.959695512820513
95,steep_receiver,64,8,1,12480,0,0,0,0,0,9.25360576923077
100,steep_receiver,128,4,1,12480,0,0,0,0,0,9.549198717948718
102,steep_receiver,128,8,1,12480,0,0,0,0,0,12.05889423076923
108,steep_receiver,256,4,1,12480,0,0,0,0,0,11.085096153846154
111,steep_receiver,256,8,1,12480,0,0,0,0,0,14.833653846153846
118,steep_receiver,512,4,1,12480,0,0,0,0,0,12.704246794871795
119,steep_receiver,512,8,1,12480,0,0,0,0,0,17.62676282051282
124,thin_sheet,64,4,1,12480,0,0,0,0,0,4.832451923076923
125,thin_sheet,64,8,1,12480,0,0,0,0,0,5.473878205128205
130,thin_sheet,128,4,1,12480,27,0,0,0,27,6.45536858974359
