observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
174,27.122597597789113,171563404613,1,15.422697179019451,15.9763,15.329024,1.9996,14419,0,3.58656,0.661504,,0.134912,0.36352,0,0.34483199999999997,0.007168,0.092928,,0.003584,0,3.6927999999999996,174,137,0,
175,27.13784690334467,171563564376,1,15.249305404722691,15.2501,15.471616,2.2137,14419,0,3.58656,0.661504,,0.134912,0.36352,0,0.34483199999999997,0.007168,0.092928,,0.003584,0,3.6927999999999996,175,138,0,
176,27.15371349914966,171563716877,1,15.866596251726151,16.1731,15.232,1.947,17145,0,3.0965759999999998,0.666624,,0.13312,0.36275199999999996,0.000256,0.34355199999999997,0.007424,0.084992,,0.004352,0,3.7731839999999996,176,139,0,
177,27.168974000850341,171563878608,1,15.260501764714718,14.9492,15.848192,2.1059,14419,0,3.578624,0.66457599999999994,,0.13286399999999998,0.367104,0.000256,0.347392,0.007168,0.089343999999999993,,0.003584,0,4.171264,177,140,0,
178,27.183557801870748,171564028100,1,14.583800919353962,15.1834,15.251712,1.9665,14419,0,3.375104,0.66278399999999993,,0.133632,0.36070399999999997,0,0.341504,0.007168,0.0832,,0.004096,0,3.4024959999999997,178,141,0,
179,27.199185898526075,171564179934,1,15.628097578883171,15.7268,14.540544,1.9483,14539,0,3.034112,0.656384,,0.12236799999999999,0.361728,0.000256,0.343808,0.006912,0.091904,,0.0051199999999999996,0,3.617536,179,142,0,
180,27.214442098922902,171564337202,1,15.256199985742569,15.2342,15.634944,2.4198,14621,0,3.347968,0.664064,,0.133376,0.35968,0.000256,0.34048,0.009984,0.081408,,0.004096,0,4.1354239999999995,180,143,0,
181,27.230378798185939,171564489544,1,15.936698764562607,14.653,15.153408,2.0227,14419,0,3.421696,0.66432,,0.133632,0.36147199999999996,0.000256,0.342528,0.007168,0.088576,,0.005376,0,3.768064,181,144,0,
182,27.244796301020408,171564636074,1,14.417503029108047,15.5363,16.00384,2.0596,14419,0,3.488,0.66687999999999992,,0.13312,0.360448,0,0.34176,0.007168,0.082688,,0.0038399999999999997,0,4.2490879999999995,182,145,0,
183,27.260451403061225,171564791437,1,15.655102208256721,15.3044,14.394112,2.1655,14419,0,3.124736,0.6592,,0.122112,0.361728,0,0.343296,0.006912,0.092159999999999992,,0.0051199999999999996,0,3.7332479999999997,183,146,0,
184,27.27627370323129,171564944481,1,15.822300687432289,15.9342,15.639296,2.2609,14471,0,3.570432,0.667392,,0.13312,0.36147199999999996,0.000256,0.343296,0.007168,0.091904,,0.003328,0,3.9562239999999997,184,147,0,
