case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",226,226,17.60339830070734,18.666602671146393,6.02620467543602,52.340298891067505
0,"length50_a","completed_with_warnings","cpu_frame_ms",226,226,17.596449999999997,19.0016,4.4212,53.0283
0,"length50_a","completed_with_warnings","gpu_frame_ms",226,226,17.58976,18.541312,0.047104,19.0464
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",226,226,2.3987499999999997,3.0989,0.4932,3.4861
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",226,226,14539,133205,14419,245671
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",226,226,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",226,226,4.127616,4.50688,3.5489279999999996,4.860416
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",226,226,0.66790399999999994,0.68787199999999993,0.658432,0.875776
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",226,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",226,226,0.133376,0.13516799999999998,0.121088,0.423936
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",226,226,0.366336,0.62105599999999994,0.35584,0.931584
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",226,226,0,0.000256,0,0.000256
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",226,226,0.346496,0.50892799999999994,0.314112,0.656384
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",226,226,0.007424,0.010496,0.003072,0.027648
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",226,226,0.08832,0.094975999999999991,0.080384,0.56652799999999992
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",226,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",226,226,0.004352,0.005376,0.002048,0.006144
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",226,226,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",226,226,4.60736,5.095168,3.91296,5.3652479999999994
