observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1128,43.467125503117913,171726767614,1,17.296399921178818,19.699,17.782528,2.1427,14419,0,4.255488,0.66790399999999994,,0.13286399999999998,0.357632,0,0.338688,0.007168,0.08294399999999999,,0.004608,0,4.665856,1128,235,0,
1129,43.485117396541945,171726964604,1,17.991892993450165,16.3152,17.30944,2.2472,14419,0,4.10112,0.664064,,0.132608,0.36479999999999996,0.000256,0.345856,0.007424,0.084992,,0.003584,0,4.79104,1129,236,0,
1130,43.502422498582767,171727127756,1,17.305102199316025,17.2634,18.038272,1.9396,14910,0,4.1318399999999995,0.666368,,0.13286399999999998,0.366592,0,0.347136,0.006144,0.09036799999999999,,0.0038399999999999997,0,4.566528,1130,237,0,
1131,43.520408503401356,171727300390,1,17.986005172133446,17.2292,17.290752,1.9752,14419,0,4.332288,0.66867199999999993,,0.13286399999999998,0.37068799999999996,0.000256,0.351744,0.007424,0.088576,,0.004608,0,4.5944319999999994,1131,238,0,
1132,43.538220897108843,171727472682,1,17.812393605709076,18.0493,17.968128,1.9588,14766,0,4.173312,0.66201599999999994,,0.13312,0.558592,0,0.342016,0.012544,0.09088,,0.003584,0,4.52224,1132,239,0,
1133,43.555178096655325,171727653175,1,16.957199200987816,17.3407,17.781504,2.0909,14419,0,4.055296,0.66816,,0.391936,0.359936,0.000256,0.34048,0.003072,0.083456,,0.004096,0,4.8901119999999993,1133,240,0,
1134,43.571924298469384,171727826582,1,16.746202483773232,18.1745,16.948224,2.361,14419,0,4.212224,0.666368,,0.13312,0.36735999999999996,0,0.348416,0.007424,0.091392,,0.004096,0,4.3217919999999994,1134,241,0,
1135,43.589681200396825,171728008327,1,17.756901681423187,17.7296,16.642816,2.2383,17319,0,4.44928,0.665088,,0.13312,0.361216,0,0.34176,0.0076799999999999993,0.083712,,0.003328,0,4.3192319999999995,1135,242,0,
1136,43.607174000850335,171728185623,1,17.492800951004028,17.3861,17.7344,2.1915,14471,0,4.3253759999999994,0.67199999999999993,,0.13312,0.544768,0,0.34431999999999996,0.007424,0.087551999999999991,,0.005376,0,4.63104,1136,243,0,
1137,43.624085303287977,171728359484,1,16.911301761865616,16.8353,17.540096,2.0663,14621,0,4.183808,0.672512,,0.133632,0.36531199999999997,0,0.34559999999999996,0.007424,0.09344,,0.004352,0,4.8030719999999993,1137,244,0,
1138,43.641559899376418,171728527837,1,17.474595457315445,17.439,16.847872,2.0897,14419,0,3.958528,0.670464,,0.133376,0.372224,0,0.35353599999999996,0.007168,0.095744,,0.0051199999999999996,0,4.31872,1138,245,0,
1139,43.659132199546484,171728702227,1,17.572300508618355,17.3194,17.513472,2.2853,14539,0,4.125696,0.668416,,0.133376,0.37529599999999996,0,0.35584,0.0063999999999999994,0.092928,,0.0051199999999999996,0,4.930304,1139,246,0,
