case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_b","completed_with_warnings","frame_interval_ms",230,230,17.47825276106596,18.521202728152275,16.477799043059349,18.866900354623795
0,"length50_b","completed_with_warnings","cpu_frame_ms",230,230,17.4281,18.6039,15.757,19.9294
0,"length50_b","completed_with_warnings","gpu_frame_ms",230,230,17.457408,18.494976,16.51584,18.843136
0,"length50_b","completed_with_warnings","cpu_render_thread_ms",230,230,2.30165,3.1154,1.8336,10.0069
0,"length50_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",230,230,14621,119845,14419,182562
0,"length50_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",230,230,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",230,230,4.121472,4.460544,3.6316159999999997,4.9195519999999995
0,"length50_b","completed_with_warnings","VSM.Allocate_gpu_ms",230,230,0.668928,0.685568,0.659968,0.70118399999999992
0,"length50_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",230,0,,,,
0,"length50_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",230,230,0.133376,0.297472,0.132096,0.402688
0,"length50_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",230,230,0.366848,0.628224,0.356608,0.841984
0,"length50_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",230,230,0,0.000256,0,0.002048
0,"length50_b","completed_with_warnings","VSM.PageCull_gpu_ms",230,230,0.346624,0.531712,0.319488,0.734976
0,"length50_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",230,230,0.007424,0.010752,0.003072,0.028159999999999998
0,"length50_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",230,230,0.087935999999999986,0.094463999999999992,0.077311999999999992,0.39552
0,"length50_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",230,0,,,,
0,"length50_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",230,230,0.004352,0.005376,0.003072,0.009472
0,"length50_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",230,230,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.Resolve_gpu_ms",230,230,4.556032,4.9674239999999994,3.9206399999999997,5.350912
