observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
71,26.392848200113377,0,1,54.484501481056213,,,,21049,0,6.9056,0.651776,0.133376,0.12057599999999999,0.33408,0,0.31462399999999996,36.51968,0.09344,,0.008192,0,2.9250559999999997,71,16,0,
72,26.446627196712019,0,1,53.7789948284626,,,,87904,0,7.332608,0.66687999999999992,0.132352,0.12032,0.32767999999999997,0.000256,0.308736,36.752896,0.08294399999999999,,0.011264,0,2.917888,72,17,0,
73,26.501188796768705,0,1,54.561600089073181,,,,21142,0,7.3093119999999994,0.54323199999999994,0.12595199999999998,0.12236799999999999,0.333568,0,0.31462399999999996,36.542207999999995,0.095744,,0.010752,0,2.271232,73,18,0,
74,26.55503649376417,0,1,53.847696632146835,,,,84919,0,7.9203839999999994,0.53888,0.130816,0.1216,0.482048,0,0.28953599999999996,36.47488,0.091136,,0.010239999999999999,0,2.830336,74,19,0,
75,26.609230300453515,0,1,54.193805903196335,,,,59028,0,7.231488,0.54016,0.147456,0.12287999999999999,0.339968,0,0.32128,36.406016,0.085504,,0.011776,0,2.679808,75,20,0,
76,26.662639597505667,0,1,53.40929701924324,,,,26665,0,6.8689919999999995,0.53734399999999993,0.133888,0.121344,0.332544,0,0.3136,36.46592,0.0896,,0.010496,0,3.0863359999999997,76,21,0,
77,26.715199100056687,0,1,52.5595024228096,,,,27614,0,7.09504,0.54067199999999993,0.12672,0.122112,0.33228799999999997,0,0.3136,36.107264,0.09548799999999999,,0.005632,0,2.8544,77,22,0,
78,26.7298297973356,0,1,14.630697667598724,,,,20637,0,6.7489279999999994,0.532992,0.12672,0.12287999999999999,0.33228799999999997,0,0.3136,36.726783999999995,0.089855999999999991,,0.0097279999999999988,0,2.720512,78,23,0,
79,26.746720599489795,0,1,16.89080148935318,,,,40473,0,7.155968,0.53632,,0.121344,0.517888,0,0.49868799999999996,0.003072,0.091136,,0.004096,0,1.924864,79,24,0,
80,26.763354095804988,0,1,16.633495688438416,,,,38347,0,7.019264,0.530944,,0.122624,0.36863999999999997,0,0.349952,0.006912,0.092159999999999992,,0.004096,0,3.059456,80,25,0,
81,26.779422597789114,0,1,16.068501397967339,,,,20569,0,6.9096959999999994,0.52735999999999994,,0.121344,0.36070399999999997,0,0.34176,0.010752,0.086016,,0.003328,0,2.4952319999999997,81,26,0,
82,26.794974794501133,0,1,15.552196651697159,,,,34255,0,7.686144,0.53811199999999992,,0.121344,0.35456,0,0.335872,0.005376,0.09088,,0.003072,0,2.975488,82,27,0,
