case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_a","completed_with_warnings","frame_interval_ms",222,222,18.126250244677067,18.668396398425102,17.224900424480438,21.129803732037544
0,"length50_a","completed_with_warnings","cpu_frame_ms",222,222,18.170749999999998,19.1972,16.3628,19.9754
0,"length50_a","completed_with_warnings","gpu_frame_ms",222,222,0.016896,0.018688,0.007424,0.288768
0,"length50_a","completed_with_warnings","cpu_render_thread_ms",222,222,0.18105,0.2555,0.0865,0.2943
0,"length50_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",222,222,20719,103580,20517,224687
0,"length50_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",222,222,0,0,0,0.000256
0,"length50_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",222,222,7.963519999999999,8.466432,7.5143679999999993,8.9024
0,"length50_a","completed_with_warnings","VSM.Allocate_gpu_ms",222,222,0.52864,0.541952,0.51891199999999993,0.657152
0,"length50_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",222,0,,,,
0,"length50_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",222,222,0.12236799999999999,0.28620799999999996,0.12032,0.454912
0,"length50_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",222,222,0.363008,0.567808,0.35328,0.737792
0,"length50_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",222,222,0,0.000256,0,0.000256
0,"length50_a","completed_with_warnings","VSM.PageCull_gpu_ms",222,222,0.34342399999999995,0.506624,0.28876799999999997,0.70630399999999993
0,"length50_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",222,222,0.007168,0.010239999999999999,0.003072,0.057344
0,"length50_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",222,222,0.087296,0.094208,0.0768,0.393216
0,"length50_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",222,0,,,,
0,"length50_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",222,222,0.004352,0.005376,0.002816,0.409856
0,"length50_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",222,222,0,0,0,0
0,"length50_a","completed_with_warnings","VSM.Resolve_gpu_ms",222,222,2.8407039999999997,3.195392,2.4988159999999997,3.340032
