case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_b","completed_with_warnings","frame_interval_ms",220,220,18.178249709308147,19.248200580477715,17.062300816178322,19.813697785139084
0,"length50_b","completed_with_warnings","cpu_frame_ms",220,220,18.189300000000003,19.7829,7.8954,27.3667
0,"length50_b","completed_with_warnings","gpu_frame_ms",220,220,0.016896,0.018688,0.015104,0.025856
0,"length50_b","completed_with_warnings","cpu_render_thread_ms",220,220,0.18805,0.2965,0.1546,0.4816
0,"length50_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",220,220,20719,103378,20517,271315
0,"length50_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",220,220,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",220,220,8.037119999999998,8.64768,7.5578879999999993,9.159168
0,"length50_b","completed_with_warnings","VSM.Allocate_gpu_ms",220,220,0.529408,0.54784,0.519936,0.90444799999999992
0,"length50_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",220,0,,,,
0,"length50_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",220,220,0.12236799999999999,0.27827199999999996,0.12032,0.76236799999999993
0,"length50_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",220,220,0.363136,0.55552,0.350976,0.838144
0,"length50_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",220,220,0,0.000256,0,0.000256
0,"length50_b","completed_with_warnings","VSM.PageCull_gpu_ms",220,220,0.343808,0.495872,0.30848,0.70374399999999993
0,"length50_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",220,220,0.007168,0.0097279999999999988,0.003072,0.22195199999999998
0,"length50_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",220,220,0.087039999999999992,0.093183999999999989,0.076288,0.55168
0,"length50_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",220,0,,,,
0,"length50_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",220,220,0.004352,0.005376,0.003072,0.006144
0,"length50_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",220,220,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.Resolve_gpu_ms",220,220,2.871168,3.2883199999999997,2.504448,3.455488
