case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length10_a","completed_with_warnings","frame_interval_ms",321,321,12.483297847211361,13.466496951878071,11.117304675281048,14.021400362253189
0,"length10_a","completed_with_warnings","cpu_frame_ms",321,321,12.4868,13.787,10.2288,14.9583
0,"length10_a","completed_with_warnings","gpu_frame_ms",321,321,12.471552,13.4464,11.100672,14.000384
0,"length10_a","completed_with_warnings","cpu_render_thread_ms",321,321,2.6526,3.2778,2.025,3.9375
0,"length10_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",321,321,14419,97242,14419,213333
0,"length10_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",321,321,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",321,321,3.867904,4.3448319999999994,3.190016,4.550656
0,"length10_a","completed_with_warnings","VSM.Allocate_gpu_ms",321,321,0.54016,0.563456,0.521984,1.277696
0,"length10_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",321,0,,,,
0,"length10_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",321,321,0.130304,0.29209599999999997,0.121344,0.840448
0,"length10_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",321,321,0.352512,0.630016,0.339456,1.0344959999999999
0,"length10_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",321,321,0,0.000256,0,0.005632
0,"length10_a","completed_with_warnings","VSM.PageCull_gpu_ms",321,321,0.33152,0.53504,0.277504,0.862464
0,"length10_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",321,321,0.007424,0.011264,0.003072,0.16896
0,"length10_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",321,321,0.087039999999999992,0.10751999999999999,0.07424,0.80844799999999994
0,"length10_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",321,0,,,,
0,"length10_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",321,321,0.003328,0.004352,0.002048,0.010239999999999999
0,"length10_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",321,321,0,0,0,0.000256
0,"length10_a","completed_with_warnings","VSM.Resolve_gpu_ms",321,321,2.411264,2.865408,1.57056,3.251712
