observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.MarkReceiverPages_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.Resolve_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
1943,46.79954690334467,177217342108,1,12.155598029494286,11.8341,11.858432,2.6159,17319,0,4.1495039999999994,0.54016,,0.130816,0.350976,0.000256,0.330752,0.003584,0.087039999999999992,,0.003584,0,2.511616,1943,340,0,
1944,46.811484006519272,177217460449,1,11.937103234231472,11.6434,12.123136,2.4253,14419,0,4.212736,0.55244799999999994,,0.131328,0.348416,0,0.328192,0.007936,0.085504,,0.003328,0,2.438144,1944,341,0,
1945,46.823535905612246,177217576883,1,12.051898986101151,12.4896,11.926528,2.5641,14419,0,4.2437119999999995,0.548096,,0.130816,0.35584,0,0.33510399999999996,0.009472,0.091648,,0.003072,0,2.532352,1945,342,0,
1946,46.835629301303854,177217701779,1,12.093395926058292,11.3594,11.99488,2.2513,14419,0,4.368384,0.53657599999999994,,0.130048,0.53811199999999992,0,0.33152,0.009472,0.09267199999999999,,0.004096,0,1.894656,1946,343,0,
1947,46.848006299603171,177217815373,1,12.3769985511899,11.8936,12.07936,2.5603,91187,0,3.668224,0.53990399999999994,,0.13055999999999998,0.35225599999999996,0,0.33228799999999997,0.0076799999999999993,0.089855999999999991,,0.003072,0,2.5157119999999997,1947,344,0,
1948,46.859368204365076,177217934309,1,11.361904442310333,12.0928,12.392192,2.5619,67235,0,4.0145919999999995,0.53632,,0.129792,0.35968,0.000256,0.33971199999999996,0.004096,0.087296,,0.003072,0,2.68416,1948,345,0,
1949,46.871427905328794,177218055237,1,12.059700675308704,11.9812,11.337216,3.2874,33768,0,4.039168,0.537088,,0.39577599999999996,0.680192,0,0.654592,0.007424,0.091392,,0.002304,0,1.5933439999999999,1949,346,0,
1950,46.883301105442172,177218175049,1,11.873200535774231,12.9012,12.045568,2.399,14419,0,3.79776,0.54143999999999992,,0.130304,0.355584,0.000256,0.33510399999999996,0.0076799999999999993,0.089855999999999991,,0.0025599999999999998,0,1.592832,1950,347,0,
1951,46.895795904195012,177218304061,1,12.494798749685287,10.9189,11.853824,2.5487,49233,0,3.7647359999999996,0.534528,,0.133632,0.358912,0,0.338432,0.007424,0.091904,,0.004352,0,2.518272,1951,348,0,
1952,46.907735204081632,177218413250,1,11.93930022418499,12.6265,12.485888,2.1227,14419,0,4.002816,0.537088,,0.130816,0.35072,0,0.329984,0.007168,0.087296,,0.0025599999999999998,0,2.89024,1952,349,0,
1953,46.919009403344667,177218539515,1,11.27419900149107,11.1467,11.908352,2.6495,27597,0,3.97952,0.53888,,0.29337599999999997,0.356608,0,0.333824,0.003584,0.089855999999999991,,0.004352,0,2.65728,1953,350,0,
1954,46.930884006519271,177218650982,1,11.874603107571602,13.0008,11.271424,2.3778,20348,0,4.119552,0.53657599999999994,,0.13055999999999998,0.36070399999999997,0,0.33971199999999996,0.007424,0.479744,,0.004096,0,1.595648,1954,351,0,
1955,46.943243601190474,177218780990,1,12.35959492623806,11.4807,11.844608,2.3869,20414,0,4.072704,0.538624,,0.130816,0.352512,0.000256,0.33228799999999997,0.007168,0.086272,,0.004352,0,2.4570879999999997,1955,352,0,
1956,46.955039002267569,177218895797,1,11.795400641858578,11.5326,12.34048,2.7431,14419,0,4.277248,0.536832,,0.131328,0.35148799999999997,0,0.33152,0.0076799999999999993,0.084992,,0.004352,0,2.557952,1956,353,0,
1957,46.966836904761905,177219011123,1,11.797902174293995,12.3785,11.789312,2.4765,14471,0,3.877888,0.540928,,0.29824,0.355328,0,0.33510399999999996,0.0076799999999999993,0.084224,,0.004096,0,1.80864,1957,354,0,
1958,46.978781802721088,177219134908,1,11.944898404181004,12.4303,11.774976,2.715,28998,0,4.1717759999999995,0.54143999999999992,,0.130816,0.35481599999999996,0,0.33433599999999997,0.007424,0.087296,,0.004096,0,1.884672,1958,355,0,
1959,46.99103880385487,177219259211,1,12.257001362740993,11.3196,11.927296,2.2244,14419,0,4.375296,0.540416,,0.130304,0.354304,0,0.33408,0.007424,0.087551999999999991,,0.0038399999999999997,0,2.185216,1959,356,0,
1960,47.003471903344668,177219372407,1,12.433099560439587,11.4043,12.238848,2.4772,14419,0,3.966208,0.55808,,0.130304,0.35712,0.000256,0.337152,0.007936,0.09088,,0.003584,0,2.87872,1960,357,0,
1961,47.014809006519272,177219486450,1,11.337103322148323,12.9189,12.133632,2.453,14419,0,3.6546559999999997,0.54067199999999993,,0.130048,0.814336,0,0.3328,0.009216,0.086784,,0.004352,0,2.182144,1961,358,0,
1962,47.026904903628115,177219615639,1,12.09589745849371,11.18,11.297536,2.568,14539,0,3.65568,0.555008,,0.130816,0.355328,0.000256,0.33510399999999996,0.0076799999999999993,0.086784,,0.003072,0,1.790976,1962,359,0,
1963,47.039663399943308,177219727439,1,12.758496217429638,12.614,12.09088,2.8309,14419,0,4.080128,0.538624,,0.130304,0.630016,0,0.609792,0.007168,0.086528,,0.004352,0,2.543872,1963,360,0,
1964,47.051021704931969,177219853579,1,11.358304880559444,12.3338,12.749312,2.9598,14419,0,3.7603839999999997,0.53888,,0.13055999999999998,0.66687999999999992,0,0.33228799999999997,0.00896,0.087551999999999991,,0.003072,0,2.431232,1964,361,0,
1965,47.062813300736963,177219976917,1,11.791596189141273,13.1361,11.264,2.6024,14419,0,4.03456,0.562176,,0.131328,0.35456,0,0.33433599999999997,0.003584,0.091904,,0.003584,0,1.7973759999999999,1965,362,0,
1966,47.074849100056689,177220108278,1,12.035799212753773,11.1786,11.848704,3.1842,14621,0,4.246016,0.53504,,0.130816,0.36070399999999997,0,0.34048,0.003328,0.092416,,0.003584,0,2.279424,1966,363,0,
1967,47.086936203231289,177220220064,1,12.087102979421616,12.1828,12.009728,2.4611,14419,0,3.996672,0.554752,,0.406528,0.35456,0,0.33228799999999997,0.007168,0.087296,,0.003072,0,2.605568,1967,364,0,
1968,47.099024404761906,177220341892,1,12.088201940059662,11.5547,12.077312,2.5387,14419,0,3.8917119999999996,0.554752,,0.130304,0.35020799999999996,0,0.330496,0.007424,0.08524799999999999,,0.002816,0,2.424832,1968,365,0,
1969,47.11019590419501,177220457439,1,11.171499267220497,11.8494,12.056832,2.9864,14419,0,4.3077119999999995,0.539392,,0.130816,0.36352,0,0.34304,0.004608,0.094208,,0.003584,0,2.447872,1969,366,0,
1970,47.122519706632652,177220575933,1,12.323802337050438,12.1042,11.162112,2.795,20864,0,3.86944,0.55833599999999994,,0.130048,0.352,0,0.33152,0.007424,0.087296,,0.003072,0,1.592064,1970,367,0,
1971,47.134720301870743,177220696975,1,12.200594879686832,11.8153,12.30208,3.0425,69979,0,4.165888,0.55168,,0.130048,0.523264,0.000256,0.318976,0.013312,0.08576,,0.004352,0,2.844928,1971,368,0,
1972,47.146482901077093,177220815128,1,11.762599460780621,10.927,12.184064,2.6242,20348,0,3.659008,0.538624,,0.133376,0.354304,0,0.33433599999999997,0.0076799999999999993,0.085504,,0.003072,0,2.4970239999999997,1972,369,0,
1973,47.158018905895688,177220924398,1,11.536004953086376,12.2736,11.744512,2.5405,14419,0,4.08576,0.536064,,0.13055999999999998,0.356608,0,0.33664,0.007424,0.09088,,0.002304,0,1.9043839999999999,1973,370,0,
1974,47.170195500283448,177221047134,1,12.176594696938992,12.2068,11.510272,2.7677,14818,0,3.894784,0.55065599999999992,,0.13055999999999998,0.352512,0.000256,0.33228799999999997,0.007936,0.088832,,0.002816,0,2.228736,1974,371,0,
1975,47.182256505102039,177221169202,1,12.061004526913166,11.8605,12.159744,2.252,35221,0,3.8970879999999997,0.54067199999999993,,0.13055999999999998,0.35737599999999997,0,0.33766399999999996,0.006912,0.088832,,0.004352,0,2.727424,1975,372,0,
1976,47.194611500850336,177221287807,1,12.354996055364609,11.1722,12.040448,2.1331,14419,0,3.483392,0.53888,,0.131072,0.3584,0,0.338432,0.004352,0.092928,,0.004352,0,2.901504,1976,373,0,
1977,47.205726906179137,177221399529,1,11.115405708551407,12.1123,12.337408,2.262,14419,0,4.0832,0.538368,,0.130816,0.35072,0,0.33100799999999997,0.003072,0.09088,,0.003328,0,2.416896,1977,374,0,
1978,47.217805300453513,177221520652,1,12.078394182026386,12.3337,11.104256,2.7576,17145,0,3.939584,0.554752,,0.130816,0.35020799999999996,0,0.32972799999999997,0.003584,0.08448,,0.0038399999999999997,0,1.9860479999999998,1978,375,0,
1979,47.230323504818593,177221643989,1,12.518204748630524,12.7703,12.071936,2.4944,14419,0,4.05376,0.53145599999999993,,0.130048,0.359168,0,0.33792,0.003584,0.091904,,0.0025599999999999998,0,2.494208,1979,376,0,
1980,47.241685005668934,177221771692,1,11.361501179635525,10.8631,12.492032,2.3948,14419,0,3.919872,0.53376,,0.13055999999999998,0.353792,0.000256,0.333568,0.003328,0.092159999999999992,,0.003584,0,2.4184319999999997,1980,377,0,
1981,47.253359800170067,177221880323,1,11.674794368445873,11.7669,11.342848,2.8606,14419,0,3.9628799999999997,0.54067199999999993,,0.130816,0.353024,0.000256,0.3328,0.0038399999999999997,0.086272,,0.004352,0,1.5879679999999998,1981,378,0,
1982,47.266295004251695,177221997992,1,12.935204431414604,12.8349,11.646208,2.9686,14766,0,4.21632,0.54784,,0.130304,0.35020799999999996,0.000256,0.329984,0.011007999999999999,0.08806399999999999,,0.003584,0,2.297856,1982,379,0,
