case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"length50_b","completed_with_warnings","frame_interval_ms",307,307,13.047902844846249,13.933000154793262,9.82870627194643,16.107793897390366
0,"length50_b","completed_with_warnings","cpu_frame_ms",307,307,13.0363,14.3287,10.465,16.0772
0,"length50_b","completed_with_warnings","gpu_frame_ms",307,307,13.033472,13.902592,11.858432,14.547456
0,"length50_b","completed_with_warnings","cpu_render_thread_ms",307,307,2.5187,3.1572,1.999,3.5828
0,"length50_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",307,307,14419,84755,14419,277145
0,"length50_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",307,307,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.MarkReceiverPages_gpu_ms",307,307,4.123648,4.556032,3.234048,4.83456
0,"length50_b","completed_with_warnings","VSM.Allocate_gpu_ms",307,307,0.550144,0.566784,0.529152,1.4612479999999999
0,"length50_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",307,0,,,,
0,"length50_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",307,307,0.13055999999999998,0.32051199999999996,0.12236799999999999,0.77414399999999994
0,"length50_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",307,307,0.355584,0.66457599999999994,0.346112,1.117696
0,"length50_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",307,307,0,0.000256,0,0.000256
0,"length50_b","completed_with_warnings","VSM.PageCull_gpu_ms",307,307,0.33433599999999997,0.6016,0.29875199999999996,1.073664
0,"length50_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",307,307,0.007424,0.011519999999999999,0.003072,0.939264
0,"length50_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",307,307,0.08806399999999999,0.09548799999999999,0.08294399999999999,0.598016
0,"length50_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",307,0,,,,
0,"length50_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",307,307,0.003328,0.004352,0.002048,0.0048639999999999994
0,"length50_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",307,307,0,0,0,0.000256
0,"length50_b","completed_with_warnings","VSM.Resolve_gpu_ms",307,307,2.7630079999999997,3.395072,2.397952,3.796992
