case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pcf256_a","completed_with_warnings","frame_interval_ms",812,812,6.1491993255913258,6.8165035918354988,4.56940196454525,13.83650116622448
0,"pcf256_a","completed_with_warnings","cpu_frame_ms",812,812,6.1350999999999996,7.1961,3.8409,13.9186
0,"pcf256_a","completed_with_warnings","gpu_frame_ms",812,810,6.074752,6.680832,5.083136,7.269376
0,"pcf256_a","completed_with_warnings","cpu_render_thread_ms",812,812,2.0343999999999998,2.662,1.6521,6.431
0,"pcf256_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",812,812,14539,20949,14539,281038
0,"pcf256_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",812,812,0.001024,0.0012799999999999999,0.000768,0.540928
0,"pcf256_a","completed_with_warnings","VSM.Allocate_gpu_ms",812,812,0.495488,0.566016,0.45055999999999996,0.616448
0,"pcf256_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",812,0,,,,
0,"pcf256_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",812,812,0.036095999999999996,0.042752,0.032512,0.90854399999999991
0,"pcf256_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",812,812,0.173056,0.556288,0.15872,1.1617279999999999
0,"pcf256_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",812,812,0,0.000256,0,0.000256
0,"pcf256_a","completed_with_warnings","VSM.PageCull_gpu_ms",812,812,0.153856,0.175616,0.139008,1.1432959999999999
0,"pcf256_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",812,812,0.024832,0.032512,0.01792,0.53734399999999993
0,"pcf256_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",812,812,0.013312,0.015616,0.005888,0.18816
0,"pcf256_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",812,0,,,,
0,"pcf256_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",812,812,0.004352,0.005632,0.001792,0.745728
0,"pcf256_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",812,0,,,,
0,"pcf256_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",812,812,1.8648319999999998,2.408448,1.49376,2.7584
