case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pcf256_b","completed_with_warnings","frame_interval_ms",815,815,6.13959738984704,6.735402625054121,4.5610046945512295,13.734296895563602
0,"pcf256_b","completed_with_warnings","cpu_frame_ms",815,815,6.1149,6.9822,4.3676,14.6883
0,"pcf256_b","completed_with_warnings","gpu_frame_ms",815,814,6.097792,6.689792,5.224192,7.080704
0,"pcf256_b","completed_with_warnings","cpu_render_thread_ms",815,815,2.0002,2.3945,1.4914,6.3192
0,"pcf256_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",815,815,14539,28924,14539,165942
0,"pcf256_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",815,815,0.001024,0.0012799999999999999,0.000768,0.671744
0,"pcf256_b","completed_with_warnings","VSM.Allocate_gpu_ms",815,815,0.491008,0.557312,0.44799999999999995,0.92287999999999992
0,"pcf256_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",815,0,,,,
0,"pcf256_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",815,815,0.03584,0.04224,0.032,0.763392
0,"pcf256_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",815,815,0.171008,0.369152,0.152576,0.67609599999999992
0,"pcf256_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",815,815,0,0.000256,0,0.0025599999999999998
0,"pcf256_b","completed_with_warnings","VSM.PageCull_gpu_ms",815,815,0.152576,0.159488,0.130304,0.579328
0,"pcf256_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",815,815,0.024832,0.030463999999999998,0.018175999999999998,0.41753599999999996
0,"pcf256_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",815,815,0.012544,0.014591999999999999,0.002304,0.018944
0,"pcf256_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",815,0,,,,
0,"pcf256_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",815,815,0.004608,0.005632,0.001792,0.709888
0,"pcf256_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",815,0,,,,
0,"pcf256_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",815,815,2.088192,2.590208,1.701632,2.9642239999999997
