observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
722,21.761429400510202,1349801360544,1,6.1951032839715481,5.5678,6.17984,1.8271,14539,0.001024,0.408832,,0.062464,0.678912,0,0.22886399999999998,0.0048639999999999994,0.040448,,0.005376,,2.152192,722,690,0,
723,21.766976601473921,1349801416222,1,5.547200795263052,6.2487,6.191104,2.3348,14539,0.001024,0.347904,,0.061952,0.43135999999999997,0,0.41344,0.0076799999999999993,0.037632,,0.004096,,1.6366079999999998,723,691,0,
724,21.773768098072562,1349801478709,1,6.7914966493844986,6.5278,5.524992,3.0529,14539,0.001024,0.348672,,0.062208,0.24447999999999998,0,0.226816,0.003584,0.03968,,0.003584,,2.152192,724,692,0,
725,21.77959329648526,1349801543987,1,5.8251982554793358,6.8472,6.763264,2.2641,14539,0.001024,0.346368,,0.067328,0.245504,0.000256,0.227072,0.006144,0.038655999999999996,,0.004096,,2.054912,725,693,0,
726,21.785797200963717,1349801612459,1,6.2039042823016644,5.6788,5.655808,2.247,14539,0.000768,0.346112,,0.061952,0.236288,0,0.217856,0.003584,0.034048,,0.004096,,2.042624,726,694,0,
727,21.791155399659864,1349801669247,1,5.3581986576318741,6.4274,6.178304,2.3639,14539,0.001024,0.345344,,0.062464,0.23679999999999998,0.000256,0.219136,0.0076799999999999993,0.036608,,0.002048,,2.872576,727,695,0,
728,21.797706001984125,1349801733521,1,6.5506021492183208,6.4499,5.336064,2.285,14539,0.001024,0.345344,,0.063232,0.23884799999999998,0,0.22092799999999999,0.0076799999999999993,0.03712,,0.004608,,1.845248,728,696,0,
729,21.804065901360545,1349801798020,1,6.3598994165658951,5.2952,6.531072,2.516,14539,0.001024,0.34764799999999996,,0.065792,0.67711999999999994,0,0.228352,0.006656,0.03968,,0.004352,,1.834496,729,697,0,
730,21.810305498866214,1349801850972,1,6.23959768563509,5.2311,6.277632,1.9186,14539,0.001024,0.346624,,0.061695999999999994,0.241664,0,0.223488,0.007424,0.037632,,0.004352,,1.6501759999999999,730,698,0,
731,21.815833900226757,1349801903283,1,5.5284015834331512,6.4546,6.287872,2.2215,14539,0.001024,0.345856,,0.066048,0.242688,0,0.22425599999999998,0.007424,0.037888,,0.005376,,1.851136,731,699,0,
732,21.822434197845805,1349801967829,1,6.6002975217998028,7.1759,5.494528,1.8822,14539,0.001024,0.347136,,0.06272,0.23654399999999998,0,0.21836799999999998,0.0076799999999999993,0.036351999999999995,,0.0038399999999999997,,1.8493439999999999,732,700,0,
733,21.828649397675736,1349802039588,1,6.2151998281478882,5.428,6.572032,2.5615,14539,0.001024,0.409344,,0.062464,0.248576,0,0.230656,0.007936,0.039424,,0.002304,,1.645824,733,701,0,
