case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pcf512_a","completed_with_warnings","frame_interval_ms",846,846,5.9057504404336214,6.53129955753684,4.7564981505274773,10.076197795569897
0,"pcf512_a","completed_with_warnings","cpu_frame_ms",846,846,5.9169,6.799,4.2265,10.1198
0,"pcf512_a","completed_with_warnings","gpu_frame_ms",846,844,5.871744,6.483456,4.74752,7.110912
0,"pcf512_a","completed_with_warnings","cpu_render_thread_ms",846,846,1.9492500000000001,2.3726,1.5123,6.084
0,"pcf512_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",846,846,14539,20611,14539,147464
0,"pcf512_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",846,846,0.001024,0.001024,0.000768,0.536832
0,"pcf512_a","completed_with_warnings","VSM.Allocate_gpu_ms",846,846,0.347008,0.408576,0.341248,0.41215999999999997
0,"pcf512_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",846,0,,,,
0,"pcf512_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",846,846,0.062208,0.248832,0.061439999999999995,0.76057599999999992
0,"pcf512_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",846,846,0.24345599999999998,0.72064,0.23219199999999998,1.243136
0,"pcf512_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",846,846,0,0.000256,0,0.000256
0,"pcf512_a","completed_with_warnings","VSM.PageCull_gpu_ms",846,846,0.224768,0.565504,0.214528,1.127168
0,"pcf512_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",846,846,0.0076799999999999993,0.0097279999999999988,0.003072,0.431872
0,"pcf512_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",846,846,0.038144,0.040959999999999996,0.013824,0.482048
0,"pcf512_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",846,0,,,,
0,"pcf512_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",846,846,0.004352,0.005376,0.002048,0.526592
0,"pcf512_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",846,0,,,,
0,"pcf512_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",846,846,1.8727679999999998,2.518272,1.6302079999999999,2.96704
