observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
17456,132.49574270124717,1350908715103,1,6.1707058921456337,5.9674,5.59104,2.1902,14539,0.001024,0.36147199999999996,,0.07039999999999999,0.24447999999999998,0,0.22527999999999998,0.004352,0.0384,,0.003328,,2.196736,17456,829,0,
17457,132.50178120039681,1350908774777,1,6.0384990647435188,5.3072,6.15424,1.9321,14539,0.001024,0.35814399999999996,,0.068352,0.45644799999999996,0,0.22860799999999998,0.009472,0.039936,,0.002304,,2.1826559999999997,17457,830,0,
17458,132.50813259637187,1350908827849,1,6.3513959757983685,5.6468,6.011136,1.9279,14539,0.001024,0.359936,,0.068352,0.24371199999999998,0,0.224512,0.003328,0.039424,,0.004352,,2.431232,17458,831,0,
17459,132.51409029903627,1350908884317,1,5.95770264044404,6.7134,6.334976,1.9323,14539,0.001024,0.36070399999999997,,0.06912,0.23884799999999998,0,0.22067199999999998,0.009472,0.03968,,0.004096,,2.354688,17459,832,0,
17460,132.51999100056688,1350908951451,1,5.9007015079259872,5.5269,5.925376,1.9089,14734,0.001024,0.358912,,0.068608,0.24575999999999998,0.000256,0.22655999999999998,0.007936,0.039168,,0.004096,,2.2248959999999998,17460,833,0,
17461,132.52580729875282,1350909006720,1,5.816298071295023,6.66,5.883648,1.8658,14539,0.001024,0.362496,,0.068096,0.239616,0,0.22092799999999999,0.007936,0.03456,,0.0051199999999999996,,1.721344,17461,834,0,
17462,132.53178560090703,1350909073320,1,5.9783020988106728,5.6666,5.79328,1.8613,14741,0.000768,0.35942399999999997,,0.062464,0.24140799999999998,0.000256,0.223488,0.0076799999999999993,0.038144,,0.003328,,1.7254399999999999,17462,835,0,
17463,132.53758709608843,1350909129986,1,5.8014951646327972,5.9417,5.888256,2.1274,14539,0.000768,0.35712,,0.061695999999999994,0.607744,0,0.219392,0.00896,0.038655999999999996,,0.0051199999999999996,,2.131968,17463,836,0,
17464,132.54350209750567,1350909189403,1,5.9150015003979206,5.7599,5.84576,1.8677,14539,0.001024,0.35584,,0.064767999999999992,0.242944,0,0.223488,0.009216,0.039936,,0.005888,,1.7239039999999999,17464,837,0,
17465,132.54933779761905,1350909247002,1,5.8357003144919872,6.1868,5.902336,2.1227,14591,0.001024,0.356352,,0.38579199999999997,0.253952,0,0.228352,0.008192,0.037376,,0.0051199999999999996,,1.9427839999999998,17465,838,0,
17466,132.55487679988661,1350909308870,1,5.5390023626387119,5.5237,5.816064,2.4432,14539,0.001024,0.359936,,0.062208,0.50636799999999993,0.000256,0.22067199999999998,0.009216,0.03968,,0.0048639999999999994,,1.9832319999999999,17466,839,0,
17467,132.56084859693877,1350909364107,1,5.971797276288271,6.1532,5.521152,1.8814,14539,0.001024,0.35737599999999997,,0.061695999999999994,0.237312,0.000256,0.219392,0.008192,0.039168,,0.004096,,1.7200639999999998,17467,840,0,
17468,132.56710009920636,1350909425639,1,6.2515023164451122,5.7169,5.957376,1.7509,14539,0.001024,0.357888,,0.349696,0.250624,0,0.22630399999999998,0.003584,0.038655999999999996,,0.004352,,2.112,17468,841,0,
17469,132.57336590136055,1350909482808,1,6.2658023089170456,5.5625,6.224896,1.8922,14539,0.001024,0.362496,,0.070656,0.24345599999999998,0.000256,0.22297599999999998,0.0076799999999999993,0.0384,,0.0051199999999999996,,2.217984,17469,842,0,
17470,132.57941539824262,1350909538433,1,6.049497053027153,5.7923,6.247424,1.8925,14539,0.001024,0.36070399999999997,,0.068096,0.24371199999999998,0,0.224512,0.0076799999999999993,0.040959999999999996,,0.0048639999999999994,,2.149632,17470,843,0,
17471,132.58556479591837,1350909596356,1,6.1493976972997189,6.7102,5.936896,2.2505,14539,0.001024,0.3584,,0.068096,0.241664,0,0.22323199999999999,0.0076799999999999993,0.040448,,0.0038399999999999997,,1.861376,17471,844,0,
17472,132.59128499858275,1350909663458,1,5.720202811062336,6.4957,6.227968,1.8403,14539,0.001024,0.36019199999999996,,0.068096,0.530432,0,0.259328,0.0076799999999999993,0.038144,,0.005888,,2.3434239999999997,17472,845,0,
