case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"pcf512_b","completed_with_warnings","frame_interval_ms",830,830,5.9916488826274872,6.5578017383813858,4.3519982136785984,14.450701884925365
0,"pcf512_b","completed_with_warnings","cpu_frame_ms",830,830,6.0008,6.7765,3.5529,15.2144
0,"pcf512_b","completed_with_warnings","gpu_frame_ms",830,829,5.93408,6.501888,5.049856,6.927616
0,"pcf512_b","completed_with_warnings","cpu_render_thread_ms",830,830,1.9924499999999998,2.4885,1.416,5.8763
0,"pcf512_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",830,830,14539,20949,14539,137866
0,"pcf512_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",830,830,0.001024,0.0012799999999999999,0.000768,0.489984
0,"pcf512_b","completed_with_warnings","VSM.Allocate_gpu_ms",830,830,0.358656,0.41856,0.352,0.42624
0,"pcf512_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",830,0,,,,
0,"pcf512_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",830,830,0.062464,0.075264,0.061439999999999995,0.961536
0,"pcf512_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",830,830,0.24115199999999998,0.62591999999999992,0.23219199999999998,1.225984
0,"pcf512_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",830,830,0,0.000256,0,0.004096
0,"pcf512_b","completed_with_warnings","VSM.PageCull_gpu_ms",830,830,0.22195199999999998,0.47359999999999997,0.215552,1.208064
0,"pcf512_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",830,830,0.0076799999999999993,0.009984,0.003072,0.34048
0,"pcf512_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",830,830,0.0384,0.041215999999999996,0.009984,0.044288
0,"pcf512_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",830,0,,,,
0,"pcf512_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",830,830,0.004352,0.005632,0.002048,0.05248
0,"pcf512_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",830,0,,,,
0,"pcf512_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",830,830,2.083584,2.5210879999999998,1.7067519999999998,2.9153279999999997
