case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt256_a","completed_with_warnings","frame_interval_ms",697,697,7.1957977488636971,7.8366994857788086,4.6849986538290977,14.786302112042904
0,"smrt256_a","completed_with_warnings","cpu_frame_ms",697,697,7.1705,8.0744,3.5034,16.0734
0,"smrt256_a","completed_with_warnings","gpu_frame_ms",697,696,7.153024,7.736064,6.159616,8.425472
0,"smrt256_a","completed_with_warnings","cpu_render_thread_ms",697,697,2.0229,2.4751,1.6357,7.372
0,"smrt256_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",697,697,14539,28924,14539,212117
0,"smrt256_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",697,697,0.001024,0.0012799999999999999,0.001024,0.73395199999999994
0,"smrt256_a","completed_with_warnings","VSM.Allocate_gpu_ms",697,697,0.457472,0.535552,0.418048,0.62515199999999993
0,"smrt256_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",697,0,,,,
0,"smrt256_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",697,697,0.036095999999999996,0.042752,0.032512,1.0964479999999999
0,"smrt256_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",697,697,0.173312,0.551936,0.160512,1.1548159999999998
0,"smrt256_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",697,697,0,0.000256,0,0.000256
0,"smrt256_a","completed_with_warnings","VSM.PageCull_gpu_ms",697,697,0.154112,0.16127999999999998,0.141568,1.136128
0,"smrt256_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",697,697,0.022528,0.032512,0.003328,0.59904
0,"smrt256_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",697,697,0.012799999999999999,0.014848,0,0.031744
0,"smrt256_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",697,0,,,,
0,"smrt256_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",697,697,0.004608,0.005632,0.002048,0.609024
0,"smrt256_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",697,0,,,,
0,"smrt256_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",697,697,2.692352,3.2194559999999997,2.0423679999999997,3.6190719999999996
