observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2385,31.821024199263036,1349901978991,1,5.768998060375452,6.7153,5.279232,2.9314,14539,0.001024,0.48895999999999995,,0.069887999999999992,0.247808,0,0.228352,0.0038399999999999997,0.038911999999999995,,0.002304,,1.624576,2385,817,0,
2386,31.826967998866213,1349902046144,1,5.9437993913888931,6.0063,5.213184,2.7331,14539,0.001024,0.389376,,0.069887999999999992,0.24601599999999998,0.000256,0.226816,0.0038399999999999997,0.037632,,0.002304,,1.3941759999999999,2386,818,0,
2387,31.832601296768708,1349902106207,1,5.6332978419959545,4.8667,5.924096,3.1169,14539,0.001024,0.39577599999999996,,0.069632,0.41728,0,0.22016,0.0084479999999999989,0.038144,,0.002304,,1.927168,2387,819,0,
2388,31.838797597789114,1349902154874,1,6.1963009648025036,6.3422,5.32352,2.8777,14539,0.001024,0.391424,,0.070144,0.247552,0.000256,0.228352,0.011264,0.037888,,0.0025599999999999998,,1.41824,2388,820,0,
2389,31.844380895691607,1349902218296,1,5.5832979269325733,5.4198,6.159872,2.6187,14734,0.001024,0.4992,,0.069887999999999992,0.582912,0,0.22067199999999998,0.005888,0.03968,,0.002816,,1.5846399999999998,2389,821,0,
2390,31.850159495464851,1349902272494,1,5.7785999961197376,5.361,5.396224,2.7574,14539,0.001024,0.390144,,0.068096,0.24806399999999998,0,0.22860799999999998,0.011519999999999999,0.039168,,0.0025599999999999998,,1.398528,2390,822,0,
2391,31.855334098639453,1349902326104,1,5.1746033132076263,6.0156,5.750016,2.6105,14539,0.001024,0.38707199999999997,,0.068352,0.247296,0,0.22784,0.003584,0.038144,,0.002304,,1.784832,2391,823,0,
2392,31.861245401077095,1349902386260,1,5.9113022871315479,5.7146,5.15712,2.2894,14741,0.001024,0.384,,0.069632,0.25216,0.000256,0.23296,0.005888,0.03712,,0.002304,,1.414912,2392,824,0,
2393,31.867096095521539,1349902443406,1,5.8506946079432964,5.5184,5.705216,2.4405,14539,0.001024,0.386048,,0.068352,0.24115199999999998,0,0.22144,0.0038399999999999997,0.041215999999999996,,0.002304,,1.8741759999999998,2393,825,0,
2394,31.87258560090703,1349902498590,1,5.4895053617656231,6.0133,5.828096,2.1529,14539,0.001024,0.388864,,0.068864,0.325888,0,0.306176,0.003584,0.036351999999999995,,0.002304,,1.3959679999999999,2394,826,0,
