observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
15864,122.4376091978458,1350808104911,1,6.71099778264761,7.147,6.412544,2.0681,14539,0.001024,0.38323199999999996,,0.061952,0.241664,0.000256,0.22399999999999998,0.0076799999999999993,0.03584,,0.003584,,2.416128,15864,746,0,
15865,122.44390849631519,1350808176381,1,6.2992982566356659,5.6765,6.677248,1.8791,14539,0.001024,0.388864,,0.067583999999999991,0.24345599999999998,0,0.22630399999999998,0.007936,0.038144,,0.005632,,2.126336,15865,747,0,
15866,122.45020639880951,1350808233146,1,6.2979026697576046,6.3792,6.26432,1.919,14539,0.001024,0.386304,,0.061952,0.503296,0,0.225536,0.004608,0.03968,,0.0038399999999999997,,2.146048,15866,748,0,
15867,122.45720999858275,1350808296938,1,7.0035997778177261,6.9216,6.264064,1.8415,14539,0.001024,0.386816,,0.061952,0.246272,0,0.22886399999999998,0.0076799999999999993,0.038144,,0.0038399999999999997,,2.292736,15867,749,0,
15868,122.46381919642856,1350808366154,1,6.6091977059841156,6.1759,7.010816,1.9552,14539,0.001024,0.384768,,0.061952,0.242688,0,0.22527999999999998,0.007424,0.039424,,0.004608,,2.734848,15868,750,0,
15869,122.47076009778911,1350808427913,1,6.9409012794494629,6.5701,6.577152,1.8989,14539,0.001024,0.38527999999999996,,0.075264,0.24831999999999999,0,0.22784,0.0051199999999999996,0.037632,,0.005888,,2.6752,15869,751,0,
15870,122.47746169926303,1350808493614,1,6.7016016691923141,7.1872,6.931456,1.9647,14539,0.001024,0.390144,,0.068096,0.626688,0.000256,0.60851199999999994,0.0076799999999999993,0.037888,,0.004608,,2.586624,15870,752,0,
15871,122.48434969529478,1350808565486,1,6.8879961036145687,6.5155,6.670336,1.8294,14539,0.0012799999999999999,0.388608,,0.072703999999999991,0.247296,0,0.22886399999999998,0.0076799999999999993,0.038144,,0.003584,,2.31168,15871,753,0,
15872,122.49112949971655,1350808630641,1,6.7798043601214886,6.9008,6.88384,1.7868,14539,0.001024,0.386304,,0.068352,0.246528,0,0.228352,0.0076799999999999993,0.037376,,0.003584,,2.81344,15872,754,0,
15873,122.49790829790248,1350808699649,1,6.7787980660796165,6.3808,6.757888,1.8354,14539,0.001024,0.392192,,0.06784,0.244992,0.000256,0.22655999999999998,0.0076799999999999993,0.038911999999999995,,0.003584,,2.48576,15873,755,0,
