case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt4x4_b","completed_with_warnings","frame_interval_ms",763,763,6.551296915858984,7.0791030302643776,5.6675029918551445,12.057306244969368
0,"smrt4x4_b","completed_with_warnings","cpu_frame_ms",763,763,6.5617,7.3836,3.9853,14.8101
0,"smrt4x4_b","completed_with_warnings","gpu_frame_ms",763,762,6.505472,7.0464,5.64608,7.687936
0,"smrt4x4_b","completed_with_warnings","cpu_render_thread_ms",763,763,2.0377,2.504,1.4572,6.8617
0,"smrt4x4_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",763,763,14539,28924,14539,119965
0,"smrt4x4_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",763,763,0.001024,0.0012799999999999999,0.000768,0.253952
0,"smrt4x4_b","completed_with_warnings","VSM.Allocate_gpu_ms",763,763,0.388096,0.48230399999999995,0.38195199999999996,0.494336
0,"smrt4x4_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",763,0,,,,
0,"smrt4x4_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",763,763,0.068096,0.074495999999999993,0.061695999999999994,0.628992
0,"smrt4x4_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",763,763,0.246272,0.62847999999999993,0.23654399999999998,1.4963199999999999
0,"smrt4x4_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",763,763,0,0.000256,0,0.005632
0,"smrt4x4_b","completed_with_warnings","VSM.PageCull_gpu_ms",763,763,0.227328,0.514304,0.21964799999999998,1.4784
0,"smrt4x4_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",763,763,0.0076799999999999993,0.009984,0.003072,0.38988799999999996
0,"smrt4x4_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",763,763,0.0384,0.040959999999999996,0.011264,0.239872
0,"smrt4x4_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",763,0,,,,
0,"smrt4x4_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",763,763,0.004608,0.005632,0.002048,0.342784
0,"smrt4x4_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",763,0,,,,
0,"smrt4x4_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",763,763,2.358016,2.821888,1.9061759999999999,3.4769919999999996
