observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
3968,41.884315497448981,1350002560899,1,7.629400584846735,6.681,6.091008,1.8892,14539,0.001024,0.365568,,0.068096,0.249856,0,0.23168,0.011519999999999999,0.038144,,0.0038399999999999997,,2.108416,3968,759,0,
3969,41.890857695578227,1350002627709,1,6.5421983599662781,6.7547,7.608576,1.8971,14539,0.001024,0.367872,,0.079104,0.246528,0,0.227072,0.003328,0.0384,,0.0051199999999999996,,2.3198719999999997,3969,760,0,
3970,41.898670698696144,1350002695256,1,7.8130029141902924,6.043,6.520576,2.0067,14539,0.001024,0.36531199999999997,,0.068608,0.25113599999999997,0.000256,0.232704,0.0038399999999999997,0.038911999999999995,,0.004608,,1.8672639999999998,3970,761,0,
3971,41.905545797902491,1350002755686,1,6.8750991486012936,7.667,7.790336,2.9875,14539,0.001024,0.36735999999999996,,0.068096,0.251392,0.000256,0.23296,0.008192,0.036864,,0.0038399999999999997,,1.5948799999999999,3971,762,0,
3972,41.912614597505666,1350002832356,1,7.0687998086214066,6.7755,6.676736,2.039,14539,0.001024,0.364544,,0.068096,0.249856,0,0.23116799999999998,0.0084479999999999989,0.038911999999999995,,0.002048,,1.8559999999999999,3972,763,0,
3973,41.919982397959181,1350002900111,1,7.3678004555404186,7.7225,6.995456,2.8644,14539,0.001024,0.434176,,0.069887999999999992,0.26111999999999996,0,0.22988799999999998,0.005376,0.035328,,0.0048639999999999994,,2.685696,3973,764,0,
3974,41.926384495464852,1350002977336,1,6.4020976424217224,7.5133,7.406848,1.9976,14539,0.001024,0.36531199999999997,,0.068608,0.695552,0.000256,0.232704,0.009216,0.040448,,0.004608,,2.7967999999999997,3974,765,0,
3975,41.933200800736962,1350003052469,1,6.8163052201271057,6.6098,6.378752,1.9926,14539,0.0012799999999999999,0.36479999999999996,,0.068352,0.247552,0,0.229376,0.0076799999999999993,0.038911999999999995,,0.005376,,1.887232,3975,766,0,
3976,41.940271095521538,1350003118567,1,7.0702945813536644,7.4591,6.793472,2.3927,14539,0.001024,0.364544,,0.068096,0.24831999999999999,0,0.230144,0.0076799999999999993,0.037376,,0.0038399999999999997,,1.59872,3976,767,0,
3977,41.946825899943306,1350003193158,1,6.5548042766749859,6.4925,7.055872,2.1973,14734,0.001024,0.43724799999999997,,0.071168,0.24703999999999998,0,0.22655999999999998,0.0038399999999999997,0.038911999999999995,,0.005888,,2.185216,3977,768,0,
3978,41.953458099489794,1350003258083,1,6.6321995109319687,6.9508,6.53312,2.2505,14539,0.0012799999999999999,0.36531199999999997,,0.068352,0.24831999999999999,0.000256,0.230144,0.0076799999999999993,0.041984,,0.457472,,2.104576,3978,769,0,
3979,41.961068395691605,1350003327591,1,7.6102963648736477,6.8504,6.616576,2.2261,14539,0.001024,0.365824,,0.068096,0.2432,0,0.22527999999999998,0.007936,0.037376,,0.004352,,1.5936,3979,770,0,
3980,41.967654400510206,1350003396095,1,6.5860049799084663,7.0837,7.600896,2.1023,14741,0.0012799999999999999,0.368384,,0.075264,0.659968,0,0.22860799999999998,0.009472,0.039424,,0.0051199999999999996,,1.7740799999999999,3980,771,0,
3981,41.974172300170068,1350003466932,1,6.5178996883332729,6.8212,6.531584,2.1255,14539,0.001024,0.36352,,0.068096,0.250368,0,0.23219199999999998,0.004352,0.03584,,0.005376,,1.597184,3981,772,0,
3982,41.980839795918364,1350003535144,1,6.6674957051873207,6.6387,6.526464,2.0603,14539,0.001024,0.367104,,0.069887999999999992,0.24575999999999998,0,0.227072,0.0076799999999999993,0.037888,,0.004096,,2.267648,3982,773,0,
3983,41.9879505952381,1350003601531,1,7.1107991971075535,6.7988,6.644736,2.0362,14539,0.001024,0.365568,,0.068096,0.24678399999999998,0,0.22912,0.003328,0.038655999999999996,,0.49612799999999996,,2.20416,3983,774,0,
3984,41.994913201530608,1350003669519,1,6.9626062177121639,6.3981,7.087104,2.3851,14539,0.001024,0.36531199999999997,,0.068096,0.251648,0,0.23347199999999999,0.0076799999999999993,0.035584,,0.005376,,2.580736,3984,775,0,
3985,42.001416298185937,1350003733500,1,6.5030967816710472,6.8609,6.946048,2.0506,14539,0.001024,0.36479999999999996,,0.068096,0.63872,0,0.23168,0.0076799999999999993,0.0384,,0.003328,,1.59616,3985,776,0,
3986,42.008220195578232,1350003802109,1,6.8038972094655037,6.839,6.466304,2.2135,14539,0.001024,0.367104,,0.068352,0.245248,0,0.227072,0.0076799999999999993,0.03712,,0.004096,,2.009856,3986,777,0,
3987,42.015492800453515,1350003870499,1,7.27260485291481,6.9031,6.790656,2.0842,14539,0.001024,0.363776,,0.282112,0.25216,0,0.23347199999999999,0.007936,0.037376,,0.005632,,2.519552,3987,778,0,
3988,42.021834601757369,1350003939530,1,6.34180149063468,6.5438,7.253248,2.1217,14539,0.001024,0.366592,,0.068352,0.632064,0,0.227072,0.009216,0.040704,,0.002816,,2.6275839999999997,3988,779,0,
3989,42.029743898809521,1350004004968,1,7.90929701179266,7.2722,6.314752,2.332,14539,0.001024,0.4352,,0.068096,0.244992,0,0.227072,0.007936,0.037888,,0.005376,,1.88672,3989,780,0,
3990,42.0359420989229,1350004077690,1,6.1981999315321445,6.9363,7.88992,2.0761,14539,0.001024,0.43596799999999997,,0.071424,0.252928,0,0.232448,0.009216,0.028416,,0.015359999999999999,,2.120704,3990,781,0,
3991,42.04241789965986,1350004147053,1,6.4758006483316422,6.1814,6.179584,2.0202,14539,0.001024,0.363264,,0.068096,0.24831999999999999,0,0.229376,0.007936,0.038144,,0.0038399999999999997,,1.5946239999999998,3991,782,0,
3992,42.0479549957483,1350004208867,1,5.537095945328474,8.585,6.45632,1.9518,14539,0.001024,0.366336,,0.073728,0.24345599999999998,0,0.225024,0.0076799999999999993,0.037888,,0.005376,,2.107392,3992,783,0,
3993,42.054234495464854,1350004294717,1,6.2794997356832027,5.4331,5.51424,2.3544,14539,0.001024,0.367104,,0.068096,0.247552,0.000256,0.22988799999999998,0.007168,0.0384,,0.004352,,1.595648,3993,784,0,
3994,42.060207497165528,1350004349048,1,5.9730014763772488,6.4509,6.266624,1.9633,14539,0.001024,0.367616,,0.069632,0.24806399999999998,0,0.230144,0.005888,0.039168,,0.0051199999999999996,,1.822976,3994,785,0,
3995,42.067002898242627,1350004413557,1,6.795401219278574,5.6546,5.945856,2.8372,14591,0.001024,0.366336,,0.068352,0.24678399999999998,0,0.228096,0.004352,0.037376,,0.0048639999999999994,,1.831424,3995,786,0,
3996,42.073074695294785,1350004470103,1,6.0717971064150333,7.0702,6.76992,2.1458,14741,0.001024,0.367616,,0.068352,0.2496,0,0.231424,0.0076799999999999993,0.036864,,0.004096,,1.99424,3996,787,0,
3997,42.07919180130385,1350004540805,1,6.1171059496700764,5.6113,6.05824,2.182,14539,0.0012799999999999999,0.36863999999999997,,0.06784,0.24703999999999998,0,0.22912,0.007936,0.036864,,0.004352,,1.8158079999999999,3997,788,0,
3998,42.085673497732422,1350004596918,1,6.4816963858902454,6.458,6.091776,2.126,14539,0.0012799999999999999,0.438272,,0.068096,0.67968,0,0.661504,0.0076799999999999993,0.0384,,0.005632,,1.5982079999999999,3998,789,0,
3999,42.092158099489794,1350004661498,1,6.4846016466617584,5.8522,6.462208,1.9689,14539,0.0012799999999999999,0.36607999999999996,,0.068352,0.250368,0,0.232448,0.0076799999999999993,0.038655999999999996,,0.004096,,2.143744,3999,790,0,
4000,42.09818949829932,1350004720020,1,6.03139866143465,6.0832,6.464256,1.8738,14734,0.0012799999999999999,0.365824,,0.57497599999999993,0.28620799999999996,0,0.260608,0.0076799999999999993,0.038144,,0.0048639999999999994,,1.613824,4000,791,0,
4001,42.10484409722222,1350004780852,1,6.6545987501740456,6.5366,6.00448,2.037,14539,0.001024,0.365824,,0.068096,0.245504,0,0.227328,0.0076799999999999993,0.037632,,0.004608,,1.831168,4001,792,0,
4002,42.111004896541949,1350004846218,1,6.1607994139194489,6.6021,6.631168,1.9285,14539,0.001024,0.36531199999999997,,0.068096,0.63872,0,0.620544,0.0076799999999999993,0.038911999999999995,,0.005888,,1.80992,4002,793,0,
4003,42.118200297619047,1350004912239,1,7.1954010054469109,6.029,6.153472,3.3534,14539,0.001024,0.36531199999999997,,0.068352,0.389376,0,0.223744,0.005632,0.036608,,0.004608,,2.086912,4003,794,0,
4004,42.124828401360546,1350004972529,1,6.62810355424881,7.02,6.977024,2.6689,14539,0.001024,0.363776,,0.068608,0.24703999999999998,0,0.22886399999999998,0.003328,0.03456,,0.005632,,1.605376,4004,795,0,
4005,42.131201700680272,1350005042729,1,6.3732992857694626,6.2981,6.600192,3.1405,14539,0.001024,0.36403199999999997,,0.068608,0.248832,0,0.2304,0.0076799999999999993,0.040448,,0.004608,,2.672128,4005,796,0,
4006,42.13806680130385,1350005105710,1,6.8651004694402218,6.682,6.353152,4.0851,14539,0.001024,0.366848,,0.068352,0.24601599999999998,0.000256,0.228096,0.003328,0.037376,,0.005376,,1.595392,4006,797,0,
4007,42.145549000850338,1350005172530,1,7.4821994639933109,6.511,6.843136,3.2051,14539,0.49484799999999995,0.36479999999999996,,0.068096,0.245504,0,0.225536,0.0076799999999999993,0.036864,,0.005376,,1.825024,4007,798,0,
4008,42.152136295351475,1350005237640,1,6.5872943960130215,6.8506,7.462912,3.2148,14539,0.0012799999999999999,0.36735999999999996,,0.068352,0.681728,0,0.22527999999999998,0.007936,0.03712,,0.0038399999999999997,,1.5948799999999999,4008,799,0,
4009,42.158202501417229,1350005306146,1,6.0662059113383293,7.4596,6.564096,1.9991,14539,0.001024,0.367616,,0.068608,0.251648,0,0.233728,0.008192,0.039936,,0.0048639999999999994,,1.9765759999999999,4009,800,0,
4010,42.165371499433107,1350005380742,1,7.168998010456562,6.6851,6.03648,2.0198,14910,0.001024,0.36531199999999997,,0.068352,0.250112,0,0.23219199999999998,0.0076799999999999993,0.039168,,0.004352,,1.609216,4010,801,0,
4011,42.171705598072563,1350005447593,1,6.3340985216200352,6.4112,7.157504,2.0932,14886,0.001024,0.367616,,0.068352,0.762624,0,0.22784,0.006144,0.040192,,0.0051199999999999996,,2.09664,4011,802,0,
4012,42.178459601757368,1350005511705,1,6.7540034651756287,6.3447,6.296576,2.0603,14539,0.028928,0.338688,,0.068096,0.24371199999999998,0,0.225024,0.007936,0.040959999999999996,,0.002304,,2.083072,4012,803,0,
