observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
14420,112.37233759920635,1350707433348,1,6.8497024476528168,7.0838,7.04512,2.0098,14539,0.001024,0.449024,,0.073984,0.24703999999999998,0,0.22860799999999998,0.0063999999999999994,0.039168,,0.0038399999999999997,,2.60992,14420,701,0,
14421,112.37945780187074,1350707504186,1,7.120202761143446,6.9678,6.820608,2.1275,14539,0.001024,0.37401599999999996,,0.070656,0.24934399999999998,0,0.229376,0.010496,0.038911999999999995,,0.005632,,2.066176,14421,702,0,
14422,112.38660620039683,1350707573864,1,7.14839855208993,7.7802,7.118592,2.0072,14539,0.001024,0.377088,,0.074752,0.589056,0,0.228096,0.013312,0.012544,,0.033024,,2.2883839999999998,14422,703,0,
14423,112.39348460175736,1350707651666,1,6.8784011527895927,6.3605,7.110144,2.1866,14539,0.001024,0.37376,,0.068096,0.2432,0,0.225024,0.003584,0.037888,,0.004352,,2.8966399999999997,14423,704,0,
14424,112.39978210034013,1350707715271,1,6.2974984757602215,7.6062,6.362624,2.0614,14591,0.001024,0.37657599999999997,,0.068608,0.24908799999999998,0,0.23091199999999998,0.00896,0.039424,,0.005376,,2.28992,14424,705,0,
14425,112.40738429705215,1350707791333,1,7.6021966524422169,6.5889,6.387456,2.4267,14539,0.001024,0.375808,,0.068096,0.24831999999999999,0,0.230144,0.008704,0.038655999999999996,,0.003584,,2.460416,14425,706,0,
14426,112.41419440192743,1350707857222,1,6.8101049400866032,7.1189,7.588096,2.5338,14741,0.001024,0.37401599999999996,,0.068096,0.24473599999999998,0,0.225792,0.0038399999999999997,0.037376,,0.0048639999999999994,,2.593792,14426,707,0,
14427,112.4209639951814,1350707928411,1,6.7695933394134045,6.4554,6.713344,2.1483,14539,0.0012799999999999999,0.37324799999999997,,0.068352,0.24575999999999998,0.000256,0.226816,0.0038399999999999997,0.036095999999999996,,0.002304,,2.486272,14427,708,0,
14428,112.42803709608843,1350707992965,1,7.0731011219322681,8.0235,6.809856,2.1434,14539,0.002816,0.377088,,0.068864,0.442368,0.000256,0.229632,0.009984,0.041728,,0.002304,,2.490624,14428,709,0,
14429,112.43521369756236,1350708073200,1,7.1766013279557228,6.2066,7.056896,2.3004,14539,0.001024,0.37529599999999996,,0.068352,0.244992,0,0.226816,0.003328,0.03712,,0.0051199999999999996,,2.0889599999999997,14429,710,0,
