case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt4x8_b","completed_with_warnings","frame_interval_ms",698,698,7.1389032527804375,7.7955001033842564,4.454995971173048,16.419501975178719
0,"smrt4x8_b","completed_with_warnings","cpu_frame_ms",698,698,7.1438500000000005,8.1438,3.5714,16.6382
0,"smrt4x8_b","completed_with_warnings","gpu_frame_ms",698,697,7.085824,7.694592,0.01536,8.501504
0,"smrt4x8_b","completed_with_warnings","cpu_render_thread_ms",698,698,2.08135,2.7115,0.1567,7.0447
0,"smrt4x8_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",698,698,14539,28924,14539,497211
0,"smrt4x8_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",698,698,0.001024,0.0012799999999999999,0.000768,0.38195199999999996
0,"smrt4x8_b","completed_with_warnings","VSM.Allocate_gpu_ms",698,698,0.37529599999999996,0.44595199999999996,0.370432,0.46054399999999995
0,"smrt4x8_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",698,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",698,698,0.068352,0.080639999999999989,0.061695999999999994,1.238272
0,"smrt4x8_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",698,698,0.247296,0.632832,0.239616,1.049344
0,"smrt4x8_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",698,698,0,0.000256,0,0.30848
0,"smrt4x8_b","completed_with_warnings","VSM.PageCull_gpu_ms",698,698,0.228352,0.556288,0.22092799999999999,1.005056
0,"smrt4x8_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",698,698,0.0076799999999999993,0.010752,0.003072,0.30796799999999996
0,"smrt4x8_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",698,698,0.0384,0.040959999999999996,0.012544,0.046848
0,"smrt4x8_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",698,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",698,698,0.004608,0.005632,0.002048,0.388096
0,"smrt4x8_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",698,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",698,698,2.501376,3.0126079999999997,1.8995199999999999,3.3966079999999996
