case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt8x4_a","completed_with_warnings","frame_interval_ms",743,743,6.3370037823915482,9.1836024075746536,4.8611038364470005,37.347301840782166
0,"smrt8x4_a","completed_with_warnings","cpu_frame_ms",743,743,6.3439,9.4234,3.8134,36.6527
0,"smrt8x4_a","completed_with_warnings","gpu_frame_ms",743,735,6.17216,6.87872,5.219328,7.399424
0,"smrt8x4_a","completed_with_warnings","cpu_render_thread_ms",743,743,2.2008,3.4995,1.5653,7.2319
0,"smrt8x4_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",743,743,14539,20949,14539,165876
0,"smrt8x4_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",743,743,0.001024,0.0012799999999999999,0.000768,0.40294399999999997
0,"smrt8x4_a","completed_with_warnings","VSM.Allocate_gpu_ms",743,743,0.36735999999999996,0.43596799999999997,0.356608,0.45183999999999996
0,"smrt8x4_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",743,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",743,743,0.068608,0.076288,0.061695999999999994,0.601088
0,"smrt8x4_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",743,743,0.245504,0.645888,0.23423999999999998,1.305088
0,"smrt8x4_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",743,743,0,0.000256,0,0.004096
0,"smrt8x4_a","completed_with_warnings","VSM.PageCull_gpu_ms",743,743,0.226816,0.420608,0.195328,1.2869119999999998
0,"smrt8x4_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",743,743,0.0076799999999999993,0.0097279999999999988,0.003072,0.32051199999999996
0,"smrt8x4_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",743,743,0.038655999999999996,0.041728,0.015872,0.046335999999999995
0,"smrt8x4_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",743,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",743,743,0.004096,0.005632,0.001792,0.43392
0,"smrt8x4_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",743,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",743,743,1.6350719999999999,2.132736,1.288448,2.52928
