observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
13003,102.30543249716553,1350606758177,1,6.467198021709919,7.7558,7.459072,2.0543,14741,0.001024,0.361216,,0.068096,0.25088,0,0.23219199999999998,0.007936,0.038144,,0.003584,,2.793472,13003,710,0,
13004,102.31248329790249,1350606835735,1,7.0508006028831005,7.157,6.449664,1.9421,14539,0.001024,0.358656,,0.068096,0.247552,0,0.229376,0.007936,0.038655999999999996,,0.004096,,2.321152,13004,711,0,
13005,102.31988740079365,1350606907305,1,7.4041029438376427,7.1346,7.023104,2.4492,14539,0.0012799999999999999,0.356352,,0.068096,0.246272,0,0.228352,0.003328,0.03712,,0.0048639999999999994,,2.437632,13005,712,0,
13006,102.32718799603174,1350606978651,1,7.3005952872335911,6.8189,7.366656,1.9443,14539,0.001024,0.359936,,0.068352,0.667392,0,0.649216,0.008192,0.038144,,0.0051199999999999996,,2.4903679999999997,13006,713,0,
13007,102.33438539540816,1350607046840,1,7.1973991580307484,6.7957,7.2832,2.1996,14539,0.001024,0.35942399999999997,,0.068608,0.63846399999999992,0,0.61926399999999993,0.0076799999999999993,0.039936,,0.0025599999999999998,,2.299648,13007,714,0,
13008,102.34087310090703,1350607114797,1,6.4877052791416645,7.6926,7.183104,1.9646,14539,0.001024,0.35968,,0.068608,0.24703999999999998,0,0.22912,0.010239999999999999,0.040448,,0.0048639999999999994,,2.978304,13008,715,0,
13009,102.34861240079364,1350607191723,1,7.7392999082803726,7.1632999999999996,6.477056,1.9419,14539,0.001024,0.35686399999999996,,0.068096,0.244992,0,0.22758399999999998,0.007936,0.036864,,0.003584,,2.103296,13009,716,0,
13010,102.35523589852608,1350607263356,1,6.623497698456049,7.0269,7.311104,1.8289,14539,0.001024,0.358912,,0.068352,0.24703999999999998,0,0.22886399999999998,0.003584,0.041215999999999996,,0.004096,,2.105088,13010,717,0,
13011,102.36180559807256,1350607333625,1,6.5696993842720985,7.0243,6.625024,2.3386,14539,0.001024,0.358912,,0.068352,0.24831999999999999,0,0.230144,0.0076799999999999993,0.038911999999999995,,0.0051199999999999996,,2.3011839999999997,13011,718,0,
13012,102.36906919642857,1350607403868,1,7.2635984979569912,7.2444,6.53312,1.9048,14539,0.001024,0.43007999999999996,,0.068096,0.247552,0.000256,0.229632,0.0076799999999999993,0.040192,,0.0038399999999999997,,2.3416319999999997,13012,719,0,
13013,102.37614550028344,1350607476312,1,7.0763039402663708,6.4724,7.24224,2.2459,14539,0.001024,0.35686399999999996,,0.068096,0.246272,0.000256,0.228096,0.0076799999999999993,0.036608,,0.004096,,2.73664,13013,720,0,
13014,102.38352629676871,1350607541036,1,7.38079659640789,6.7128,7.047168,1.9848,14539,0.001024,0.36019199999999996,,0.068096,0.24345599999999998,0,0.225024,0.009472,0.03968,,0.005632,,2.3482879999999997,13014,721,0,
13015,102.39028640164399,1350607608164,1,6.760105025023222,7.3526,7.354112,1.8915,14539,0.001024,0.36019199999999996,,0.068096,0.24678399999999998,0,0.22886399999999998,0.0076799999999999993,0.040448,,0.005632,,2.3065599999999997,13015,722,0,
13016,102.39729440192744,1350607681690,1,7.0080002769827843,6.9166,6.751744,1.852,14539,0.001024,0.360448,,0.068608,0.248832,0,0.230656,0.0076799999999999993,0.03712,,0.0048639999999999994,,2.579968,13016,723,0,
13017,102.4052507015306,1350607750856,1,7.9562999308109283,7.3494,6.98496,1.8247,14741,0.001024,0.357632,,0.068096,0.24473599999999998,0,0.22655999999999998,0.0076799999999999993,0.036608,,0.004608,,2.49344,13017,724,0,
13018,102.41253609693877,1350607824350,1,7.2853956371545792,6.8369,7.935488,1.8688,14539,0.001024,0.35584,,0.073728,0.247808,0,0.229632,0.0076799999999999993,0.039424,,0.0048639999999999994,,2.518272,13018,725,0,
13019,102.41906199688208,1350607892719,1,6.52589974924922,7.2688,7.26016,1.9715,14734,0.001024,0.35712,,0.068096,0.245248,0,0.227328,0.008192,0.039936,,0.003584,,2.836224,13019,726,0,
13020,102.42677819586167,1350607965407,1,7.716198917478323,7.6422,6.505216,1.9135,14539,0.001024,0.359168,,0.068096,0.24806399999999998,0,0.22988799999999998,0.0076799999999999993,0.037632,,0.0048639999999999994,,2.329088,13020,727,0,
13021,102.43367390164399,1350608041829,1,6.8957055918872356,7.273,7.616256,2.0254,14539,0.001024,0.35814399999999996,,0.068352,0.250368,0,0.231936,0.0076799999999999993,0.039168,,0.004608,,3.058176,13021,728,0,
13022,102.44058650085033,1350608114559,1,6.9125993177294731,6.7018,6.95168,2.0899,14539,0.001024,0.358656,,0.068864,0.247296,0,0.22912,0.0076799999999999993,0.040192,,0.005376,,2.569728,13022,729,0,
13023,102.44766999716553,1350608181577,1,7.0834965445101261,7.6404,6.890752,1.8915,14591,0.001024,0.359936,,0.068096,0.246528,0,0.228352,0.0076799999999999993,0.036864,,0.0051199999999999996,,2.4975359999999998,13023,730,0,
13024,102.45505179988662,1350608257981,1,7.3818028904497623,6.8311,7.038464,2.0795,14539,0.001024,0.359168,,0.068096,0.245504,0,0.227072,0.0076799999999999993,0.037632,,0.0038399999999999997,,2.7368959999999998,13024,731,0,
13025,102.46239260204081,1350608326292,1,7.3408023454248905,7.1413,7.406848,1.8985,14539,0.001024,0.35737599999999997,,0.068608,0.250624,0,0.232704,0.0076799999999999993,0.03968,,0.004608,,2.7750399999999997,13025,732,0,
13026,102.46924730017007,1350608397705,1,6.8546980619430542,6.7997,7.314944,2.4866,14539,0.001024,0.36070399999999997,,0.068096,0.563456,0,0.23321599999999998,0.0048639999999999994,0.043519999999999996,,0.0038399999999999997,,2.320896,13026,733,0,
13027,102.47633339710885,1350608465702,1,7.0860967971384525,7.5401,6.811648,1.8586,14539,0.001024,0.35584,,0.068352,0.24908799999999998,0.000256,0.23091199999999998,0.0076799999999999993,0.03968,,0.005376,,2.3247359999999997,13027,734,0,
13028,102.48371449829932,1350608541103,1,7.38110113888979,7.32,7.064064,2.0679,14539,0.001024,0.35942399999999997,,0.068096,0.248832,0,0.230656,0.0076799999999999993,0.039424,,0.005376,,2.754304,13028,735,0,
