observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
506,18.362023200113377,1360856956228,1,5.81089872866869,5.9985,5.585408,1.8401,14551,0.001024,0.374272,,0.061952,0.24140799999999998,0.000256,0.22297599999999998,0.0076799999999999993,0.038911999999999995,,0.002048,,1.7021439999999999,506,504,0,
507,18.368204102891156,1360857016213,1,6.1809029430150986,5.9319,5.794816,1.7691,14551,0.001024,0.374272,,0.061952,0.24140799999999998,0.000256,0.22297599999999998,0.0076799999999999993,0.038911999999999995,,0.002048,,1.7021439999999999,507,505,0,
508,18.373844401927435,1360857075532,1,5.6402990594506264,5.5653,6.15296,1.8175,14551,0.001024,0.376064,,0.305408,0.258304,0,0.238336,0.0076799999999999993,0.038144,,0.002304,,1.9246079999999999,508,506,0,
509,18.37960960175737,1360857131185,1,5.7651996612548828,5.9326,5.617152,1.8231,14551,0.001024,0.378368,,0.06272,0.239872,0,0.22195199999999998,0.009472,0.038911999999999995,,0.002304,,1.908992,509,507,0,
510,18.384989498299319,1360857190511,1,5.3798966109752655,6.0965,5.752576,1.8464,14746,0.001024,0.374272,,0.061952,0.245248,0,0.227072,0.0076799999999999993,0.038144,,0.002048,,1.908992,510,508,0,
511,18.390827203798185,1360857251476,1,5.8377054519951344,5.627,5.348352,1.8761,14551,0.001024,0.3776,,0.062208,0.242944,0,0.224768,0.007936,0.037888,,0.002304,,1.91232,511,509,0,
512,18.396694203514738,1360857307746,1,5.8669997379183769,5.9811,5.815552,2.2651,14551,0.001024,0.379648,,0.062208,0.242944,0,0.223744,0.007936,0.038144,,0.002304,,1.703168,512,510,0,
513,18.402278202947844,1360857367557,1,5.5839992128312588,5.0402,5.84448,1.6989,14551,0.001024,0.37862399999999996,,0.067583999999999991,0.242176,0.000256,0.22399999999999998,0.008192,0.039168,,0.002048,,1.9243519999999998,513,511,0,
514,18.408293402777776,1360857417959,1,6.0151997022330761,5.8415,5.572096,2.0234,14551,0.001024,0.373504,,0.062464,0.242688,0,0.223744,0.0076799999999999993,0.038655999999999996,,0.002048,,1.7070079999999999,514,512,0,
515,18.413444501133785,1360857476374,1,5.1510981284081936,6.5135,5.98912,1.7374,14551,0.001024,0.37862399999999996,,0.062208,0.246272,0.000256,0.228096,0.007936,0.039168,,0.002048,,1.7239039999999999,515,513,0,
516,18.419069203514738,1360857541509,1,5.624702200293541,4.9439,5.12768,1.9094,14551,0.000768,0.373504,,0.061952,0.24192,0,0.223744,0.0051199999999999996,0.039424,,0.002304,,1.7003519999999999,516,514,0,
517,18.425084998582765,1360857590948,1,6.0157952830195427,5.9689,5.600768,1.8003,14551,0.001024,0.377088,,0.063744,0.238336,0,0.219904,0.0076799999999999993,0.038144,,0.002048,,1.9612159999999998,517,515,0,
518,18.431102600623582,1360857650637,1,6.0176020488142967,5.6168,6.004224,2.2774,14805,0.001024,0.379392,,0.062464,0.236032,0,0.217856,0.006912,0.041215999999999996,,0.002048,,2.114048,518,516,0,
519,18.437096201814057,1360857706805,1,5.9936014004051685,5.2116,5.983488,1.9542,14551,0.001024,0.378112,,0.061952,0.24345599999999998,0,0.22527999999999998,0.007424,0.03712,,0.002304,,1.7167359999999998,519,517,0,
520,18.4429125,1360857758921,1,5.816298071295023,6.0191,5.97248,1.873,14551,0.001024,0.37862399999999996,,0.062208,0.23807999999999999,0,0.22016,0.0076799999999999993,0.040959999999999996,,0.002048,,2.044928,520,518,0,
521,18.449029003684807,1360857819112,1,6.1165038496255875,6.1007999999999996,5.767424,2.0635,14551,0.001024,0.379648,,0.062464,0.242688,0,0.22425599999999998,0.007424,0.039424,,0.002048,,1.977344,521,519,0,
522,18.454418601190476,1360857880120,1,5.3895977325737476,5.9206,6.142208,1.9083,14551,0.001024,0.377088,,0.062208,0.593152,0,0.57420799999999994,0.007424,0.039424,,0.002816,,2.113792,522,520,0,
523,18.460157100340137,1360857939326,1,5.7384991087019444,6.273,5.359872,1.9304,14551,0.001024,0.375808,,0.062464,0.24345599999999998,0,0.224512,0.0076799999999999993,0.03968,,0.002048,,1.90208,523,521,0,
524,18.465965603741495,1360858002056,1,5.8085033670067787,5.6782,5.711616,1.8824,14551,0.001024,0.376064,,0.066048,0.239872,0.000256,0.21964799999999998,0.007424,0.040448,,0.0025599999999999998,,1.920512,524,522,0,
525,18.471690299036279,1360858058838,1,5.724695511162281,5.5157,5.793536,2.2613,14551,0.001024,0.37862399999999996,,0.062208,0.242176,0,0.223744,0.009216,0.038655999999999996,,0.002304,,1.971968,525,523,0,
526,18.477099100056687,1360858113995,1,5.4088011384010315,5.6361,5.69984,1.7333,61427,0.001024,0.380672,,0.062208,0.61312,0,0.59417599999999993,0.0076799999999999993,0.039424,,0.0025599999999999998,,1.7185279999999998,526,524,0,
527,18.483088499149659,1360858170356,1,5.9893992729485035,5.7329,5.381888,1.6935,23645,0.001024,0.37734399999999996,,0.062208,0.24192,0,0.223488,0.009984,0.0384,,0.002048,,1.7034239999999998,527,525,0,
528,18.488456200396826,1360858227685,1,5.3677014075219631,5.6642,5.972992,1.8727,14551,0.001024,0.37888,,0.061952,0.248832,0,0.230656,0.0076799999999999993,0.038911999999999995,,0.002304,,1.71648,528,526,0,
529,18.494243098072563,1360858284327,1,5.7868976145982742,5.6192,5.33632,1.7261,14551,0.001024,0.37862399999999996,,0.064,0.247296,0,0.22886399999999998,0.007936,0.040704,,0.002304,,1.7169919999999999,529,527,0,
530,18.500212003968254,1360858340519,1,5.9689059853553772,5.8585,5.785088,1.8779,14551,0.001024,0.378368,,0.06784,0.24371199999999998,0,0.22527999999999998,0.007424,0.041215999999999996,,0.002304,,1.9865599999999999,530,528,0,
531,18.505945401077096,1360858399104,1,5.7333973236382008,5.4169,5.944832,1.7816,14551,0.001024,0.37452799999999997,,0.062464,0.244224,0,0.22527999999999998,0.0076799999999999993,0.041215999999999996,,0.002304,,1.886464,531,529,0,
532,18.511334601757369,1360858453273,1,5.3892005234956741,5.7546,5.715712,2.2014,14551,0.001024,0.376064,,0.062208,0.24371199999999998,0,0.22527999999999998,0.007424,0.039936,,0.002304,,1.703168,532,530,0,
533,18.51696809807256,1360858510819,1,5.6334962137043476,6.007,5.366528,1.9643,14922,0.001024,0.37888,,0.061952,0.237312,0,0.21862399999999999,0.0076799999999999993,0.041471999999999995,,0.002048,,1.7034239999999998,533,531,0,
534,18.523006703514739,1360858570889,1,6.038605235517025,6.7564,5.606144,1.8776,14551,0.001024,0.377088,,0.062464,0.241664,0,0.22297599999999998,0.0076799999999999993,0.040704,,0.002048,,1.9343359999999998,534,532,0,
535,18.528389200680273,1360858638453,1,5.3824973292648792,4.398,6.0224,1.8069,14551,0.001024,0.37657599999999997,,0.061952,0.244224,0.000256,0.225536,0.0076799999999999993,0.041984,,0.002048,,1.9397119999999999,535,533,0,
536,18.533991999716552,1360858682433,1,5.6027988903224468,5.4993,5.353984,1.8269,14898,0.001024,0.37657599999999997,,0.061952,0.238592,0.000256,0.220416,0.007424,0.038144,,0.002304,,1.913344,536,534,0,
537,18.540039200680273,1360858737426,1,6.0472008772194386,6.0774,5.586944,1.8289,19844,0.001024,0.378112,,0.311808,0.261632,0.000256,0.24140799999999998,0.0076799999999999993,0.039936,,0.0025599999999999998,,1.700864,537,535,0,
538,18.545914399092968,1360858798200,1,5.8751986362040043,5.4572,6.027264,1.9953,14551,0.001024,0.37734399999999996,,0.07039999999999999,0.244992,0,0.22527999999999998,0.0076799999999999993,0.039168,,0.0025599999999999998,,2.108416,538,536,0,
539,18.551799404761905,1360858852772,1,5.8850054629147053,5.7677,5.84576,1.7316,14551,0.000768,0.37632,,0.062208,0.238592,0,0.22067199999999998,0.004352,0.039936,,0.002048,,1.7167359999999998,539,537,0,
540,18.557858602607709,1360858910449,1,6.0591977089643478,5.7743,5.676032,1.7394,14551,0.001024,0.37734399999999996,,0.06784,0.2432,0,0.224512,0.0076799999999999993,0.039936,,0.002304,,1.9914239999999999,540,538,0,
541,18.563788903061223,1360858968192,1,5.9303003363311291,5.9996,6.032128,1.7459,14551,0.001024,0.380928,,0.062208,0.247296,0.000256,0.229632,0.0063999999999999994,0.038144,,0.002304,,1.941504,541,539,0,
542,18.569456901927438,1360859028188,1,5.6679989211261272,5.8791,5.908736,2.1768,14551,0.001024,0.38118399999999997,,0.064,0.2432,0,0.224768,0.0076799999999999993,0.03712,,0.002304,,1.9993599999999998,542,540,0,
543,18.575374999999998,1360859086979,1,5.9180981479585171,6.0157,5.645056,1.7191,20961,0.001024,0.38118399999999997,,0.064,0.2432,0,0.224768,0.0076799999999999993,0.03712,,0.002304,,1.9993599999999998,543,541,0,
544,18.581005704365079,1360859147136,1,5.6307045742869377,5.904,5.898496,1.8041,14551,0.001024,0.466176,,0.062208,0.437504,0,0.41881599999999997,0.007424,0.0384,,0.002048,,2.1258239999999997,544,542,0,
545,18.586844897959182,1360859206176,1,5.83919370546937,6.191,5.61024,2.0788,14551,0.001024,0.37785599999999997,,0.062464,0.237056,0,0.21888,0.0063999999999999994,0.040448,,0.002048,,1.96992,545,543,0,
546,18.592676204648527,1360859268086,1,5.8313068002462387,5.6786,5.830144,2.4188,14551,0.001024,0.37888,,0.062464,0.24345599999999998,0,0.22425599999999998,0.007424,0.041215999999999996,,0.002048,,2.034688,546,544,0,
547,18.599063903061225,1360859324872,1,6.3876984640955925,5.4718,5.800704,1.8447,14551,0.001024,0.379136,,0.239872,0.2432,0.000256,0.223744,0.007424,0.040959999999999996,,0.002304,,1.7185279999999998,547,545,0,
548,18.605049503968253,1360859379590,1,5.9856008738279343,5.8389,6.36672,2.0259,14551,0.001024,0.377088,,0.062208,0.619776,0.000256,0.60032,0.0084479999999999989,0.03456,,0.005632,,1.9330559999999999,548,546,0,
549,18.610913803854874,1360859437979,1,5.8642998337745667,5.7497,5.973248,1.7886,14551,0.000768,0.463616,,0.062208,0.24345599999999998,0,0.225024,0.0076799999999999993,0.039424,,0.002048,,2.018304,549,547,0,
550,18.617162003968254,1360859495476,1,6.248200312256813,6.4725,5.834496,1.9095,14551,0.001024,0.379648,,0.068096,0.239872,0,0.22016,0.004096,0.037888,,0.0025599999999999998,,2.059008,550,548,0,
551,18.623170103458047,1360859560201,1,6.0080992989242077,5.8991,5.976064,2.21,14551,0.0012799999999999999,0.380928,,0.074752,0.245504,0,0.22527999999999998,0.010752,0.040959999999999996,,0.002816,,2.099968,551,549,0,
552,18.62869810090703,1360859619192,1,5.5279973894357681,5.8243,5.96096,1.989,14753,0.001024,0.37529599999999996,,0.061695999999999994,0.2432,0,0.224512,0.0076799999999999993,0.039424,,0.002048,,1.904896,552,550,0,
553,18.634281901927437,1360859677435,1,5.5838008411228657,6.6318,5.524992,1.9137,14603,0.001024,0.37529599999999996,,0.061695999999999994,0.2432,0,0.224512,0.0076799999999999993,0.039424,,0.002048,,1.904896,553,551,0,
554,18.640216999716554,1360859743753,1,5.9350975789129734,5.611,5.564672,1.9037,14551,0.001024,0.37657599999999997,,0.062464,0.246528,0,0.22758399999999998,0.008192,0.039424,,0.002048,,1.85856,554,552,0,
555,18.645890398242631,1360859799863,1,5.6733987294137478,6.4263,5.905152,1.7568,14551,0.000768,0.37529599999999996,,0.070144,0.242944,0.000256,0.22399999999999998,0.011007999999999999,0.037888,,0.0025599999999999998,,1.89184,555,553,0,
556,18.651950099206349,1360859864126,1,6.0597010888159275,4.7028,5.65376,1.7778,14551,0.001024,0.38016,,0.062208,0.23936,0.000256,0.22092799999999999,0.0076799999999999993,0.039424,,0.002048,,1.98912,556,554,0,
557,18.657362202380952,1360859911154,1,5.4121031425893307,5.88,6.04544,1.7528,14551,0.001024,0.37529599999999996,,0.061952,0.24678399999999998,0,0.22784,0.0076799999999999993,0.038911999999999995,,0.002304,,1.715712,557,555,0,
558,18.663257801870749,1360859969954,1,5.8955992572009563,5.9225,5.392896,1.8433,14551,0.001024,0.380416,,0.062208,0.247296,0,0.22886399999999998,0.007424,0.038655999999999996,,0.002304,,1.7054719999999999,558,556,0,
559,18.669107901077098,1360860029179,1,5.85009902715683,6.0246,5.880576,2.1767,14551,0.001024,0.467456,,0.064,0.23936,0,0.221184,0.0076799999999999993,0.039168,,0.002048,,2.11328,559,557,0,
560,18.675135303287981,1360860089425,1,6.0274023562669754,5.4325,5.823232,1.8541,14551,0.001024,0.380672,,0.06272,0.429056,0,0.216832,0.00896,0.039424,,0.002048,,1.91488,560,558,0,
561,18.681025899943311,1360860143750,1,5.8905966579914093,5.961,6.012928,2.0009,14551,0.001024,0.38118399999999997,,0.061952,0.24012799999999998,0,0.22169599999999998,0.008704,0.038911999999999995,,0.002304,,1.7185279999999998,561,559,0,
562,18.686742602040816,1360860203360,1,5.7167019695043564,5.8575,5.863936,2.1696,14551,0.001024,0.379392,,0.062464,0.24243199999999998,0.000256,0.223488,0.0076799999999999993,0.036608,,0.002048,,1.718016,562,560,0,
