observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
8013,89.162312003968253,1361564695978,1,6.3656037673354149,32.782,4.965632,2.8036,14551,0.001024,0.35686399999999996,,0.063232,0.245248,0,0.226816,0.007936,0.040448,,0.002048,,1.6432639999999998,8013,616,0,
8014,89.171091602891153,1361565023798,1,8.7795993313193321,6.8268,5.52832,2.4521,14777,0.001024,0.353792,,0.061695999999999994,0.24012799999999998,0,0.22297599999999998,0.0076799999999999993,0.040959999999999996,,0.002304,,1.78304,8014,617,0,
8015,89.19111570294784,1361565092066,1,20.024100318551064,6.4017,5.552128,3.1801,14551,0.001024,0.353792,,0.061695999999999994,0.24012799999999998,0,0.22297599999999998,0.0076799999999999993,0.040959999999999996,,0.002304,,1.78304,8015,618,0,
8016,89.20422200255102,1361565156083,1,13.106299564242363,7.1081,5.520128,4.8633,14551,0.001024,0.354048,,0.062464,0.25856,0.000256,0.239872,0.011776,0.038911999999999995,,0.002304,,1.5664639999999999,8016,619,0,
8017,89.216565901360539,1361565227164,1,12.343898415565491,16.7442,,4.3083,14551,0.001024,0.35686399999999996,,0.06272,0.237568,0,0.219392,0.004608,0.042752,,0.002048,,1.39136,8017,620,0,
8018,89.237030803571429,1361565394606,1,20.464902743697166,17.7634,5.013504,3.712,14898,0.001024,0.350464,,0.063744,0.24371199999999998,0,0.223744,0.0076799999999999993,0.039168,,0.0025599999999999998,,1.5882239999999999,8018,621,0,
8019,89.250810799319723,1361565572240,1,13.779995962977409,9.5375,5.850624,4.2709,14551,0.001024,0.350464,,0.063744,0.24371199999999998,0,0.223744,0.0076799999999999993,0.039168,,0.0025599999999999998,,1.5882239999999999,8019,622,0,
8020,89.2575080994898,1361565667615,1,6.6973003558814526,22.4937,4.715776,3.8443,14746,0.001024,0.352512,,0.06297599999999999,0.247808,0,0.229632,0.009216,0.038911999999999995,,0.002048,,1.3905919999999998,8020,623,0,
8021,89.284043098072559,1361565892552,1,26.534998789429665,14.3352,5.581056,3.0889,14603,0.001024,0.353792,,0.063488,0.23782399999999998,0.000256,0.21964799999999998,0.0076799999999999993,0.038911999999999995,,0.002304,,2.01984,8021,624,0,
8022,89.3001452026644,1361566035904,1,16.102105379104614,7.0699,5.3888,3.9371,14551,0.001024,0.353792,,0.063488,0.23782399999999998,0.000256,0.21964799999999998,0.0076799999999999993,0.038911999999999995,,0.002304,,2.01984,8022,625,0,
8023,89.314702303004537,1361566106603,1,14.557099901139736,23.7198,4.899328,4.4218,14551,0.001024,0.35481599999999996,,0.063232,0.235008,0.000256,0.21734399999999998,0.012032,0.03712,,0.002048,,1.391104,8023,626,0,
8024,89.322836600056689,1361566343801,1,8.1342970952391624,17.491,4.899328,3.4579,14551,0.001024,0.350976,,0.06272,0.234752,0.000256,0.216576,0.003584,0.0384,,0.002048,,1.393408,8024,627,0,
8025,89.3285498015873,1361566518711,1,5.7132015936076641,15.7826,5.288448,3.8576,14551,0.001024,0.3584,,0.063232,0.236288,0,0.2176,0.003584,0.036351999999999995,,0.002048,,1.5815679999999999,8025,628,0,
8026,89.335308602607711,1361566676537,1,6.75880117341876,8.1521,4.828672,3.3544,14753,0.001024,0.416512,,0.063232,0.23936,0,0.22092799999999999,0.003584,0.040704,,0.002048,,1.410304,8026,629,0,
8027,89.341709601757373,1361566758058,1,6.4009991474449635,6.1268,5.564672,2.501,14551,0.001024,0.351744,,0.070912,0.23807999999999999,0,0.219392,0.007936,0.0384,,0.002048,,1.403648,8027,630,0,
8028,89.3559200042517,1361566819326,1,14.21040203422308,5.3815,5.44512,3.5114,14551,0.001024,0.355328,,0.063744,0.24012799999999998,0,0.22144,0.003584,0.03968,,0.002048,,1.414656,8028,631,0,
8029,89.366885402494333,1361566873141,1,10.965398512780666,7.2671,4.734464,3.4178,14551,0.001024,0.355328,,0.063744,0.24012799999999998,0,0.22144,0.003584,0.03968,,0.002048,,1.414656,8029,632,0,
8030,89.373680102040808,1361566945812,1,6.7946994677186012,12.0528,5.473792,3.5313,14551,0.0012799999999999999,0.41625599999999996,,0.063488,0.232448,0,0.214528,0.009984,0.040192,,0.002048,,1.4090239999999998,8030,633,0,
8031,89.383347101757366,1361567066340,1,9.66699980199337,12.374,4.825856,2.8254,14551,0.0012799999999999999,0.41625599999999996,,0.063488,0.232448,0,0.214528,0.009984,0.040192,,0.002048,,1.4090239999999998,8031,634,0,
8032,89.39070760345804,1361567190080,1,7.3605016805231571,8.0535,5.493248,2.8127,14551,0.0012799999999999999,0.35686399999999996,,0.070144,0.2432,0,0.224768,0.0076799999999999993,0.0384,,0.0025599999999999998,,1.398272,8032,635,0,
8033,89.397444203514738,1361567270615,1,6.7365998402237892,8.7627,5.0624,3.5556,14551,0.001024,0.35584,,0.063232,0.237056,0.000256,0.21862399999999999,0.007936,0.038911999999999995,,0.002048,,1.552128,8033,636,0,
