observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
4499,48.663174900793649,1361159838282,1,11.097902432084084,13.0676,6.079232,3.7969,14898,0.001024,0.385536,,0.063488,0.242176,0,0.22425599999999998,0.007936,0.036864,,0.002048,,1.94816,4499,579,0,
4500,48.67328520408163,1361159968958,1,10.110302828252316,8.3973,6.10048,3.6644,14551,0.001024,0.384768,,0.064,0.24192,0,0.22399999999999998,0.008192,0.037888,,0.002048,,1.968896,4500,580,0,
4501,48.682841999716551,1361160052931,1,9.5567954704165459,8.7868,5.406976,3.91,14551,0.001024,0.382208,,0.06297599999999999,0.24601599999999998,0,0.228352,0.004096,0.03968,,0.002048,,2.16064,4501,581,0,
4502,48.691612804705215,1361160140799,1,8.7708048522472382,12.3758,6.28224,2.8707,14551,0.001024,0.385024,,0.072191999999999992,0.239872,0,0.22195199999999998,0.004352,0.038144,,0.002048,,2.1445119999999998,4502,582,0,
4503,48.699501899092965,1361160264557,1,7.8890947625041008,6.792,6.304256,3.3364,14551,0.001024,0.385024,,0.072191999999999992,0.239872,0,0.22195199999999998,0.004352,0.038144,,0.002048,,2.1445119999999998,4503,583,0,
4504,48.706960104875279,1361160332477,1,7.4582058005034924,9.8357,5.729792,3.1764,14551,0.001024,0.388864,,0.063488,0.242688,0,0.224768,0.0076799999999999993,0.03712,,0.002304,,1.55008,4504,584,0,
4505,48.714315398242626,1361160430834,1,7.35529325902462,9.501,5.814784,3.1913,14551,0.001024,0.388096,,0.062464,0.24115199999999998,0.000256,0.223488,0.0076799999999999993,0.040959999999999996,,0.002048,,1.910272,4505,585,0,
4506,48.724278599773243,1361160525844,1,9.9632013589143753,7.4559,6.172928,3.4846,14551,0.001024,0.38323199999999996,,0.063744,0.247552,0,0.22912,0.003584,0.039936,,0.0025599999999999998,,1.53344,4506,586,0,
4507,48.733383000283446,1361160600403,1,9.1044008731842041,7.4808,5.608448,3.2945,14551,0.001024,0.38323199999999996,,0.063744,0.247552,0,0.22912,0.003584,0.039936,,0.0025599999999999998,,1.53344,4507,587,0,
4508,48.742328302154192,1361160675211,1,8.9453021064400673,9.6279,5.920256,3.6532,14551,0.0012799999999999999,0.39168,,0.064,0.237312,0,0.219136,0.003584,0.039936,,0.002304,,1.747712,4508,588,0,
4509,48.750653401360545,1361160771490,1,8.3250990137457848,9.1011,6.11712,3.4147,14551,0.001024,0.390144,,0.069632,0.240896,0,0.222464,0.003328,0.0384,,0.002048,,1.531648,4509,589,0,
4510,48.758473299319725,1361160862501,1,7.8198974952101707,9.3186,6.19008,3.4499,14551,0.001024,0.392192,,0.063744,0.23936,0,0.22144,0.007424,0.03968,,0.002304,,1.948672,4510,590,0,
4511,48.766059098639452,1361160955687,1,7.5857993215322495,8.1745,5.754368,3.7973,14753,0.000768,0.392192,,0.064,0.243968,0,0.22630399999999998,0.007936,0.041215999999999996,,0.002048,,1.7571839999999999,4511,591,0,
4512,48.773609601757364,1361161037432,1,7.5505031272768974,7.8461,6.076928,3.614,14551,0.000768,0.39449599999999996,,0.064,0.236288,0.000256,0.21836799999999998,0.0076799999999999993,0.040192,,0.0025599999999999998,,2.2016,4512,592,0,
4513,48.781399100056689,1361161115893,1,7.7894981950521469,7.1753,6.180352,3.3677,14551,0.000768,0.39449599999999996,,0.064,0.236288,0.000256,0.21836799999999998,0.0076799999999999993,0.040192,,0.0025599999999999998,,2.2016,4513,593,0,
4514,48.787589703798183,1361161187646,1,6.1906035989522934,7.9839,5.4144,3.2583,14746,0.001024,0.386816,,0.064,0.243968,0,0.226048,0.007936,0.03968,,0.002304,,1.547264,4514,594,0,
4515,48.800691099773239,1361161267485,1,13.101396150887012,7.4738,6.071552,2.8909,14551,0.001024,0.38783999999999996,,0.064,0.239872,0,0.222208,0.0038399999999999997,0.037376,,0.002048,,1.95712,4515,595,0,
4516,48.812360600907027,1361161342223,1,11.669500730931759,6.5552,6.212352,3.1347,14603,0.001024,0.38783999999999996,,0.064,0.239872,0,0.222208,0.0038399999999999997,0.037376,,0.002048,,1.95712,4516,596,0,
4517,48.822296201814055,1361161407775,1,9.935600683093071,6.1524,5.870848,4.1002,14551,0.001024,0.38451199999999996,,0.06297599999999999,0.24934399999999998,0,0.23091199999999998,0.007936,0.037632,,0.002048,,1.7738239999999998,4517,597,0,
